CLUB_NAME,PLAYERS_COUNT,PLAYERS_AVG_AGE,LEGIONARIES_COUNT,AVG_MARKET_VALUE,TOTAL_MARKET_VALUE,season
FC Schalke 04,19,"24,8",0,-,-,1963
Preußen Münster,19,"25,7",0,-,-,1963
1.FC Saarbrücken,18,"24,5",0,-,-,1963
Hamburger SV,22,"25,4",0,-,-,1963
1.FC Kaiserslautern,19,"25,0",1,-,-,1963
Hertha BSC,20,"25,4",0,-,-,1963
1.FC Köln,18,"26,1",0,-,-,1963
Karlsruher SC,24,"23,8",0,-,-,1963
1.FC Nürnberg,24,"25,5",0,-,-,1963
Meidericher SV,20,"25,7",1,-,-,1963
Borussia Dortmund,19,"26,4",0,-,-,1963
TSV 1860 München,22,"25,6",2,-,-,1963
Eintracht Braunschweig,19,"24,2",1,-,-,1963
VfB Stuttgart,18,"25,6",0,-,-,1963
Eintracht Frankfurt,23,"26,5",1,-,-,1963
SV Werder Bremen,20,"26,4",1,-,-,1963
Hamburger SV,30,"25,8",2,-,-,1964
Borussia Neunkirchen,23,"25,3",0,-,-,1964
1.FC Kaiserslautern,21,"25,3",1,-,-,1964
Hannover 96,21,"25,9",0,-,-,1964
1.FC Köln,22,"25,6",1,-,-,1964
Hertha BSC,23,"25,9",0,-,-,1964
1.FC Nürnberg,23,"26,2",2,-,-,1964
Karlsruher SC,24,"24,3",0,-,-,1964
Borussia Dortmund,22,"26,7",0,-,-,1964
Meidericher SV,22,"25,7",3,-,-,1964
Eintracht Braunschweig,22,"25,0",1,-,-,1964
TSV 1860 München,20,"25,4",2,-,-,1964
Eintracht Frankfurt,26,"25,8",2,-,-,1964
VfB Stuttgart,22,"25,7",0,-,-,1964
FC Schalke 04,21,"25,5",1,-,-,1964
SV Werder Bremen,21,"26,2",0,-,-,1964
FC Bayern München,25,"23,9",2,-,-,1965
SV Werder Bremen,19,"26,6",1,-,-,1965
1.FC Kaiserslautern,26,"25,4",0,-,-,1965
FC Schalke 04,21,"24,4",0,-,-,1965
Borussia Neunkirchen,24,"25,1",0,-,-,1965
1.FC Köln,24,"24,7",2,-,-,1965
Hamburger SV,25,"26,8",2,-,-,1965
SC Tasmania 1900 Berlin (-1973),24,"26,4",0,-,-,1965
1.FC Nürnberg,22,"25,3",2,-,-,1965
Hannover 96,22,"26,5",1,-,-,1965
