,Rank,Club,Country,Level,Elo,From,To
2432,None,Aachen,GER,2,1490.7310791,2004-01-27,2004-01-31
2433,None,Aachen,GER,2,1480.16052246,2004-02-01,2004-02-08
2434,None,Aachen,GER,2,1475.71862793,2004-02-09,2004-02-15
2435,None,Aachen,GER,2,1463.70935059,2004-02-16,2004-02-22
2436,None,Aachen,GER,2,1471.80493164,2004-02-23,2004-02-24
2437,None,Aachen,GER,2,1471.10620117,2004-02-25,2004-02-25
2438,None,Aachen,GER,2,1468.74060059,2004-02-26,2004-02-27
2439,None,Aachen,GER,2,1467.25671387,2004-02-28,2004-03-08
2440,None,Aachen,GER,2,1460.9597168,2004-03-09,2004-03-09
2441,None,Aachen,GER,2,1460.86523438,2004-03-10,2004-03-10
2442,None,Aachen,GER,2,1459.57067871,2004-03-11,2004-03-12
2443,None,Aachen,GER,2,1466.62365723,2004-03-13,2004-03-21
2444,None,Aachen,GER,2,1467.0513916,2004-03-22,2004-03-28
2445,None,Aachen,GER,2,1471.53601074,2004-03-29,2004-04-02
2446,None,Aachen,GER,2,1472.89257812,2004-04-03,2004-04-08
2447,None,Aachen,GER,2,1479.8067627,2004-04-09,2004-04-19
2448,None,Aachen,GER,2,1472.54638672,2004-04-20,2004-04-26
2449,None,Aachen,GER,2,1465.4987793,2004-04-27,2004-04-30
2450,None,Aachen,GER,2,1468.91516113,2004-05-01,2004-05-10
2451,None,Aachen,GER,2,1478.39672852,2004-05-11,2004-05-16
2452,None,Aachen,GER,2,1474.43151855,2004-05-17,2004-05-23
2453,None,Aachen,GER,2,1467.27783203,2004-05-24,2004-08-09
2454,None,Aachen,GER,2,1466.90734863,2004-08-10,2004-08-11
2455,None,Aachen,GER,2,1470.71057129,2004-08-12,2004-08-15
2456,None,Aachen,GER,2,1472.54199219,2004-08-16,2004-08-25
2457,None,Aachen,GER,2,1472.13623047,2004-08-26,2004-08-27
2458,None,Aachen,GER,2,1481.23120117,2004-08-28,2004-09-12
2459,None,Aachen,GER,2,1493.4276123,2004-09-13,2004-09-14
2460,None,Aachen,GER,2,1490.52783203,2004-09-15,2004-09-15
2461,None,Aachen,GER,2,1497.65124512,2004-09-16,2004-09-16
2462,None,Aachen,GER,2,1504.16027832,2004-09-17,2004-09-19
2463,None,Aachen,GER,2,1494.49304199,2004-09-20,2004-09-26
2464,None,Aachen,GER,2,1496.1887207,2004-09-27,2004-09-28
2465,None,Aachen,GER,2,1496.34155273,2004-09-29,2004-09-29
2466,None,Aachen,GER,2,1500.19433594,2004-09-30,2004-09-30
2467,None,Aachen,GER,2,1495.48583984,2004-10-01,2004-10-04
2468,None,Aachen,GER,2,1502.48937988,2004-10-05,2004-10-17
2469,None,Aachen,GER,2,1521.28527832,2004-10-18,2004-10-19
2470,None,Aachen,GER,2,1522.36730957,2004-10-20,2004-10-20
2471,None,Aachen,GER,2,1525.97399902,2004-10-21,2004-10-21
2472,None,Aachen,GER,2,1540.58569336,2004-10-22,2004-10-24
2473,None,Aachen,GER,2,1545.45898438,2004-10-25,2004-10-27
2474,None,Aachen,GER,2,1535.69836426,2004-10-28,2004-10-31
2475,None,Aachen,GER,2,1539.17773438,2004-11-01,2004-11-02
2476,None,Aachen,GER,2,1541.60302734,2004-11-03,2004-11-03
2477,None,Aachen,GER,2,1539.12658691,2004-11-04,2004-11-04
2478,None,Aachen,GER,2,1541.37561035,2004-11-05,2004-11-08
2479,None,Aachen,GER,2,1535.56958008,2004-11-09,2004-11-14
2480,None,Aachen,GER,2,1529.63525391,2004-11-15,2004-11-22
2481,None,Aachen,GER,2,1539.64562988,2004-11-23,2004-11-23
2482,None,Aachen,GER,2,1542.33520508,2004-11-24,2004-11-24
2483,None,Aachen,GER,2,1541.25170898,2004-11-25,2004-11-25
2484,None,Aachen,GER,2,1538.88439941,2004-11-26,2004-11-28
2485,None,Aachen,GER,2,1549.92993164,2004-11-29,2004-12-01
2486,None,Aachen,GER,2,1547.92456055,2004-12-02,2004-12-02
2487,None,Aachen,GER,2,1545.55004883,2004-12-03,2004-12-05
2488,None,Aachen,GER,2,1551.68383789,2004-12-06,2004-12-07
2489,None,Aachen,GER,2,1558.38195801,2004-12-08,2004-12-08
2490,None,Aachen,GER,2,1562.08325195,2004-12-09,2004-12-10
2491,None,Aachen,GER,2,1556.48059082,2004-12-11,2004-12-15
2492,None,Aachen,GER,2,1579.83251953,2004-12-16,2005-01-24
2493,None,Aachen,GER,2,1574.0625,2005-01-25,2005-01-30
2494,None,Aachen,GER,2,1555.94128418,2005-01-31,2005-02-06
2495,None,Aachen,GER,2,1563.62902832,2005-02-07,2005-02-11
2496,None,Aachen,GER,2,1550.04199219,2005-02-12,2005-02-16
2497,None,Aachen,GER,2,1551.62768555,2005-02-17,2005-02-17
2498,None,Aachen,GER,2,1550.42236328,2005-02-18,2005-02-20
2499,None,Aachen,GER,2,1545.71472168,2005-02-21,2005-02-22
2500,None,Aachen,GER,2,1545.86828613,2005-02-23,2005-02-23
2501,None,Aachen,GER,2,1540.05383301,2005-02-24,2005-02-24
2502,None,Aachen,GER,2,1519.25268555,2005-02-25,2005-02-27
2503,None,Aachen,GER,2,1496.22253418,2005-02-28,2005-03-04
2504,None,Aachen,GER,2,1484.91345215,2005-03-05,2005-03-08
2505,None,Aachen,GER,2,1482.58911133,2005-03-09,2005-03-09
2506,None,Aachen,GER,2,1479.4654541,2005-03-10,2005-03-13
2507,None,Aachen,GER,2,1486.83190918,2005-03-14,2005-03-20
2508,None,Aachen,GER,2,1495.42993164,2005-03-21,2005-04-01
2509,None,Aachen,GER,2,1502.30529785,2005-04-02,2005-04-06
2510,None,Aachen,GER,2,1500.50598145,2005-04-07,2005-04-10
2511,None,Aachen,GER,2,1500.36706543,2005-04-11,2005-04-12
2512,None,Aachen,GER,2,1500.05322266,2005-04-13,2005-04-18
2513,None,Aachen,GER,2,1498.4354248,2005-04-19,2005-04-22
2514,None,Aachen,GER,2,1510.05175781,2005-04-23,2005-05-01
2515,None,Aachen,GER,2,1519.38977051,2005-05-02,2005-05-08
2516,None,Aachen,GER,2,1510.67163086,2005-05-09,2005-05-15
2517,None,Aachen,GER,2,1520.09851074,2005-05-16,2005-05-22
2518,None,Aachen,GER,2,1509.37060547,2005-05-23,2005-07-14
2519,None,Aachen,GER,2,1509.4354248,2005-07-15,2005-07-28
2520,None,Aachen,GER,2,1509.43164062,2005-07-29,2005-08-08
2521,None,Aachen,GER,2,1502.875,2005-08-09,2005-08-10
2522,None,Aachen,GER,2,1501.74768066,2005-08-11,2005-08-11
2523,None,Aachen,GER,2,1501.93457031,2005-08-12,2005-08-12
2524,None,Aachen,GER,2,1507.04248047,2005-08-13,2005-08-24
2525,None,Aachen,GER,2,1510.92553711,2005-08-25,2005-08-25
2526,None,Aachen,GER,2,1511.05273438,2005-08-26,2005-08-28
2527,None,Aachen,GER,2,1518.57214355,2005-08-29,2005-09-09
2528,None,Aachen,GER,2,1524.21777344,2005-09-10,2005-09-13
2529,None,Aachen,GER,2,1523.21105957,2005-09-14,2005-09-14
2530,None,Aachen,GER,2,1520.0480957,2005-09-15,2005-09-15
2531,None,Aachen,GER,2,1515.72119141,2005-09-16,2005-09-18
2532,None,Aachen,GER,2,1500.41882324,2005-09-19,2005-09-21
2533,None,Aachen,GER,2,1507.86132812,2005-09-22,2005-09-26
2534,None,Aachen,GER,2,1502.23937988,2005-09-27,2005-09-27
2535,None,Aachen,GER,2,1499.82177734,2005-09-28,2005-09-28
2536,None,Aachen,GER,2,1500.66027832,2005-09-29,2005-09-29
2537,None,Aachen,GER,2,1496.9979248,2005-09-30,2005-09-30
2538,None,Aachen,GER,2,1486.65783691,2005-10-01,2005-10-17
2539,None,Aachen,GER,2,1499.17358398,2005-10-18,2005-10-18
2540,None,Aachen,GER,2,1502.55847168,2005-10-19,2005-10-19
2541,None,Aachen,GER,2,1503.62561035,2005-10-20,2005-10-20
2542,None,Aachen,GER,2,1514.27233887,2005-10-21,2005-10-21
2543,None,Aachen,GER,2,1501.5168457,2005-10-22,2005-10-31
2544,None,Aachen,GER,2,1505.77453613,2005-11-01,2005-11-01
2545,None,Aachen,GER,2,1508.45605469,2005-11-02,2005-11-02
2546,None,Aachen,GER,2,1507.97216797,2005-11-03,2005-11-03
2547,None,Aachen,GER,2,1503.34436035,2005-11-04,2005-11-07
2548,None,Aachen,GER,2,1507.56884766,2005-11-08,2005-11-18
2549,None,Aachen,GER,2,1529.06066895,2005-11-19,2005-11-22
2550,None,Aachen,GER,2,1528.38415527,2005-11-23,2005-11-23
2551,None,Aachen,GER,2,1533.63415527,2005-11-24,2005-11-24
2552,None,Aachen,GER,2,1531.95141602,2005-11-25,2005-11-27
2553,None,Aachen,GER,2,1536.18273926,2005-11-28,2005-11-30
2554,None,Aachen,GER,2,1537.34887695,2005-12-01,2005-12-02
2555,None,Aachen,GER,2,1536.06481934,2005-12-03,2005-12-06
2556,None,Aachen,GER,2,1535.03088379,2005-12-07,2005-12-07
2557,None,Aachen,GER,2,1535.30871582,2005-12-08,2005-12-12
2558,None,Aachen,GER,2,1548.18566895,2005-12-13,2005-12-14
2559,None,Aachen,GER,2,1549.35021973,2005-12-15,2005-12-15
2560,None,Aachen,GER,2,1548.80895996,2005-12-16,2005-12-18
2561,None,Aachen,GER,2,1555.08227539,2005-12-19,2006-01-20
2562,None,Aachen,GER,2,1561.78674316,2006-01-21,2006-01-30
2563,None,Aachen,GER,2,1553.7421875,2006-01-31,2006-02-05
2564,None,Aachen,GER,2,1557.69226074,2006-02-06,2006-02-15
2565,None,Aachen,GER,2,1554.05297852,2006-02-16,2006-02-16
2566,None,Aachen,GER,2,1548.21582031,2006-02-17,2006-02-20
2567,None,Aachen,GER,2,1543.8692627,2006-02-21,2006-02-21
2568,None,Aachen,GER,2,1542.56103516,2006-02-22,2006-02-22
2569,None,Aachen,GER,2,1543.76245117,2006-02-23,2006-02-23
2570,None,Aachen,GER,2,1548.41906738,2006-02-24,2006-02-26
2571,None,Aachen,GER,2,1556.82348633,2006-02-27,2006-03-06
2572,None,Aachen,GER,2,1562.15808105,2006-03-07,2006-03-07
2573,None,Aachen,GER,2,1559.8482666,2006-03-08,2006-03-08
2574,None,Aachen,GER,2,1555.29199219,2006-03-09,2006-03-09
2575,None,Aachen,GER,2,1548.9543457,2006-03-10,2006-03-14
2576,None,Aachen,GER,2,1549.82751465,2006-03-15,2006-03-15
2577,None,Aachen,GER,2,1550.60144043,2006-03-16,2006-03-16
2578,None,Aachen,GER,2,1555.83117676,2006-03-17,2006-03-17
2579,None,Aachen,GER,2,1560.29174805,2006-03-18,2006-03-24
2580,None,Aachen,GER,2,1567.32531738,2006-03-25,2006-03-29
2581,None,Aachen,GER,2,1577.23779297,2006-03-30,2006-03-30
2582,None,Aachen,GER,2,1580.63330078,2006-03-31,2006-04-03
2583,None,Aachen,GER,2,1584.67687988,2006-04-04,2006-04-06
2584,None,Aachen,GER,2,1584.54858398,2006-04-07,2006-04-07
2585,None,Aachen,GER,2,1589.89660645,2006-04-08,2006-04-17
2586,None,Aachen,GER,2,1576.37243652,2006-04-18,2006-04-20
2587,None,Aachen,GER,2,1575.78686523,2006-04-21,2006-04-21
