,Rank,Club,Country,Level,Elo,From,To
0,None,Aalen,GER,2,1399.12524414,2012-07-01,2012-08-02
1,None,Aalen,GER,2,1399.23999023,2012-08-03,2012-08-05
2,None,Aalen,GER,2,1420.93579102,2012-08-06,2012-08-09
3,None,Aalen,GER,2,1420.96264648,2012-08-10,2012-08-10
4,None,Aalen,GER,2,1415.20178223,2012-08-11,2012-08-21
5,None,Aalen,GER,2,1409.71862793,2012-08-22,2012-08-22
6,None,Aalen,GER,2,1411.29260254,2012-08-23,2012-08-23
7,None,Aalen,GER,2,1411.91247559,2012-08-24,2012-08-26
8,None,Aalen,GER,2,1423.31079102,2012-08-27,2012-08-28
9,None,Aalen,GER,2,1423.87768555,2012-08-29,2012-08-29
10,None,Aalen,GER,2,1425.46044922,2012-08-30,2012-08-30
11,None,Aalen,GER,2,1425.74963379,2012-08-31,2012-09-01
12,None,Aalen,GER,2,1411.99926758,2012-09-02,2012-09-16
13,None,Aalen,GER,2,1408.37414551,2012-09-17,2012-09-18
14,None,Aalen,GER,2,1412.0612793,2012-09-19,2012-09-19
15,None,Aalen,GER,2,1413.17822266,2012-09-20,2012-09-20
16,None,Aalen,GER,2,1407.30310059,2012-09-21,2012-09-21
17,None,Aalen,GER,2,1417.31433105,2012-09-22,2012-09-25
18,None,Aalen,GER,2,1430.70275879,2012-09-26,2012-09-28
19,None,Aalen,GER,2,1444.39562988,2012-09-29,2012-10-02
20,None,Aalen,GER,2,1437.11535645,2012-10-03,2012-10-03
21,None,Aalen,GER,2,1436.40649414,2012-10-04,2012-10-04
22,None,Aalen,GER,2,1428.79602051,2012-10-05,2012-10-07
23,None,Aalen,GER,2,1421.11779785,2012-10-08,2012-10-21
24,None,Aalen,GER,2,1420.4901123,2012-10-22,2012-10-23
25,None,Aalen,GER,2,1422.19946289,2012-10-24,2012-10-24
26,None,Aalen,GER,2,1430.92565918,2012-10-25,2012-10-25
27,None,Aalen,GER,2,1435.77539062,2012-10-26,2012-10-26
28,None,Aalen,GER,2,1428.61401367,2012-10-27,2012-11-04
29,None,Aalen,GER,2,1442.4473877,2012-11-05,2012-11-06
30,None,Aalen,GER,2,1443.4909668,2012-11-07,2012-11-07
31,None,Aalen,GER,2,1444.87719727,2012-11-08,2012-11-08
32,None,Aalen,GER,2,1449.76208496,2012-11-09,2012-11-10
33,None,Aalen,GER,2,1452.80444336,2012-11-11,2012-11-17
34,None,Aalen,GER,2,1445.4708252,2012-11-18,2012-11-20
35,None,Aalen,GER,2,1445.17700195,2012-11-21,2012-11-21
36,None,Aalen,GER,2,1449.50036621,2012-11-22,2012-11-22
37,None,Aalen,GER,2,1449.72045898,2012-11-23,2012-11-23
38,None,Aalen,GER,2,1461.23571777,2012-11-24,2012-11-27
39,None,Aalen,GER,2,1463.08276367,2012-11-28,2012-11-30
40,None,Aalen,GER,2,1463.91479492,2012-12-01,2012-12-04
41,None,Aalen,GER,2,1465.02563477,2012-12-05,2012-12-05
42,None,Aalen,GER,2,1465.38525391,2012-12-06,2012-12-06
43,None,Aalen,GER,2,1466.90649414,2012-12-07,2012-12-07
44,None,Aalen,GER,2,1457.18896484,2012-12-08,2012-12-14
45,None,Aalen,GER,2,1470.48193359,2012-12-15,2013-02-01
46,None,Aalen,GER,2,1468.7376709,2013-02-02,2013-02-08
47,None,Aalen,GER,2,1473.71972656,2013-02-09,2013-02-13
48,None,Aalen,GER,2,1474.79833984,2013-02-14,2013-02-14
49,None,Aalen,GER,2,1465.0982666,2013-02-15,2013-02-16
50,None,Aalen,GER,2,1460.52453613,2013-02-17,2013-02-19
51,None,Aalen,GER,2,1462.49365234,2013-02-20,2013-02-20
52,None,Aalen,GER,2,1463.06323242,2013-02-21,2013-02-21
53,None,Aalen,GER,2,1459.59741211,2013-02-22,2013-02-22
54,None,Aalen,GER,2,1460.85290527,2013-02-23,2013-03-03
55,None,Aalen,GER,2,1452.89880371,2013-03-04,2013-03-05
56,None,Aalen,GER,2,1455.96533203,2013-03-06,2013-03-07
57,None,Aalen,GER,2,1451.10314941,2013-03-08,2013-03-08
58,None,Aalen,GER,2,1437.18493652,2013-03-09,2013-03-12
59,None,Aalen,GER,2,1431.5111084,2013-03-13,2013-03-13
60,None,Aalen,GER,2,1430.40734863,2013-03-14,2013-03-14
61,None,Aalen,GER,2,1428.1829834,2013-03-15,2013-03-17
62,None,Aalen,GER,2,1425.20812988,2013-03-18,2013-03-28
63,None,Aalen,GER,2,1428.08544922,2013-03-29,2013-04-02
64,None,Aalen,GER,2,1429.99108887,2013-04-03,2013-04-03
65,None,Aalen,GER,2,1430.10180664,2013-04-04,2013-04-05
66,None,Aalen,GER,2,1437.69213867,2013-04-06,2013-04-09
67,None,Aalen,GER,2,1439.48327637,2013-04-10,2013-04-10
68,None,Aalen,GER,2,1440.78857422,2013-04-11,2013-04-14
69,None,Aalen,GER,2,1437.24780273,2013-04-15,2013-04-19
70,None,Aalen,GER,2,1451.40454102,2013-04-20,2013-04-23
71,None,Aalen,GER,2,1458.36120605,2013-04-24,2013-04-24
72,None,Aalen,GER,2,1463.70288086,2013-04-25,2013-04-28
73,None,Aalen,GER,2,1466.55163574,2013-04-29,2013-04-30
74,None,Aalen,GER,2,1465.5144043,2013-05-01,2013-05-01
75,None,Aalen,GER,2,1468.87902832,2013-05-02,2013-05-03
76,None,Aalen,GER,2,1473.03405762,2013-05-04,2013-05-12
77,None,Aalen,GER,2,1484.25866699,2013-05-13,2013-05-19
78,None,Aalen,GER,2,1475.14709473,2013-05-20,2013-07-19
79,None,Aalen,GER,2,1474.15014648,2013-07-20,2013-07-26
80,None,Aalen,GER,2,1464.94702148,2013-07-27,2013-08-01
81,None,Aalen,GER,2,1464.74157715,2013-08-02,2013-08-08
