,Rank,Club,Country,Level,Elo,From,To
265,None,Ahlen,GER,2,1415.18029785,2004-02-02,2004-02-06
266,None,Ahlen,GER,2,1403.79345703,2004-02-07,2004-02-15
267,None,Ahlen,GER,2,1404.78686523,2004-02-16,2004-02-22
268,None,Ahlen,GER,2,1399.51538086,2004-02-23,2004-02-24
269,None,Ahlen,GER,2,1398.81665039,2004-02-25,2004-02-25
270,None,Ahlen,GER,2,1396.4510498,2004-02-26,2004-03-07
271,None,Ahlen,GER,2,1402.17248535,2004-03-08,2004-03-09
272,None,Ahlen,GER,2,1402.07800293,2004-03-10,2004-03-10
273,None,Ahlen,GER,2,1400.78356934,2004-03-11,2004-03-12
274,None,Ahlen,GER,2,1402.49694824,2004-03-13,2004-03-17
275,None,Ahlen,GER,2,1412.81860352,2004-03-18,2004-03-21
276,None,Ahlen,GER,2,1403.96374512,2004-03-22,2004-03-28
277,None,Ahlen,GER,2,1411.8807373,2004-03-29,2004-04-04
278,None,Ahlen,GER,2,1423.46557617,2004-04-05,2004-04-11
279,None,Ahlen,GER,2,1420.86364746,2004-04-12,2004-04-18
280,None,Ahlen,GER,2,1422.44494629,2004-04-19,2004-04-25
281,None,Ahlen,GER,2,1429.86975098,2004-04-26,2004-04-30
282,None,Ahlen,GER,2,1420.13769531,2004-05-01,2004-05-09
283,None,Ahlen,GER,2,1425.78747559,2004-05-10,2004-05-16
284,None,Ahlen,GER,2,1429.75256348,2004-05-17,2004-05-23
285,None,Ahlen,GER,2,1441.83630371,2004-05-24,2004-08-08
286,None,Ahlen,GER,2,1437.62451172,2004-08-09,2004-08-11
287,None,Ahlen,GER,2,1441.42785645,2004-08-12,2004-08-15
288,None,Ahlen,GER,2,1439.59643555,2004-08-16,2004-08-25
289,None,Ahlen,GER,2,1439.19067383,2004-08-26,2004-08-29
290,None,Ahlen,GER,2,1427.82287598,2004-08-30,2004-09-12
291,None,Ahlen,GER,2,1431.56628418,2004-09-13,2004-09-14
292,None,Ahlen,GER,2,1428.66662598,2004-09-15,2004-09-15
293,None,Ahlen,GER,2,1435.79003906,2004-09-16,2004-09-16
294,None,Ahlen,GER,2,1438.82836914,2004-09-17,2004-09-17
295,None,Ahlen,GER,2,1436.58947754,2004-09-18,2004-09-24
296,None,Ahlen,GER,2,1438.44384766,2004-09-25,2004-09-28
297,None,Ahlen,GER,2,1438.59667969,2004-09-29,2004-09-29
298,None,Ahlen,GER,2,1442.44946289,2004-09-30,2004-09-30
299,None,Ahlen,GER,2,1438.23620605,2004-10-01,2004-10-01
300,None,Ahlen,GER,2,1448.36437988,2004-10-02,2004-10-17
301,None,Ahlen,GER,2,1452.33947754,2004-10-18,2004-10-19
302,None,Ahlen,GER,2,1453.42150879,2004-10-20,2004-10-20
303,None,Ahlen,GER,2,1457.02819824,2004-10-21,2004-10-21
304,None,Ahlen,GER,2,1461.12939453,2004-10-22,2004-10-26
305,None,Ahlen,GER,2,1473.13000488,2004-10-27,2004-10-29
306,None,Ahlen,GER,2,1469.45007324,2004-10-30,2004-11-02
307,None,Ahlen,GER,2,1471.87548828,2004-11-03,2004-11-03
308,None,Ahlen,GER,2,1469.39892578,2004-11-04,2004-11-04
309,None,Ahlen,GER,2,1473.3026123,2004-11-05,2004-11-07
310,None,Ahlen,GER,2,1466.81628418,2004-11-08,2004-11-14
311,None,Ahlen,GER,2,1472.42578125,2004-11-15,2004-11-19
312,None,Ahlen,GER,2,1474.36499023,2004-11-20,2004-11-23
313,None,Ahlen,GER,2,1477.0546875,2004-11-24,2004-11-24
314,None,Ahlen,GER,2,1475.97106934,2004-11-25,2004-11-25
315,None,Ahlen,GER,2,1473.60375977,2004-11-26,2004-11-26
316,None,Ahlen,GER,2,1462.00012207,2004-11-27,2004-12-01
317,None,Ahlen,GER,2,1459.99475098,2004-12-02,2004-12-02
318,None,Ahlen,GER,2,1459.3638916,2004-12-03,2004-12-03
319,None,Ahlen,GER,2,1452.54394531,2004-12-04,2004-12-07
320,None,Ahlen,GER,2,1459.2421875,2004-12-08,2004-12-08
321,None,Ahlen,GER,2,1462.94348145,2004-12-09,2004-12-12
322,None,Ahlen,GER,2,1470.39672852,2004-12-13,2004-12-15
323,None,Ahlen,GER,2,1476.91320801,2004-12-16,2005-01-23
324,None,Ahlen,GER,2,1465.09997559,2005-01-24,2005-01-30
325,None,Ahlen,GER,2,1483.22119141,2005-01-31,2005-02-06
