,Rank,Club,Country,Level,Elo,From,To
1214,None,Aue,GER,2,1393.61706543,2004-02-02,2004-02-08
1215,None,Aue,GER,2,1400.02307129,2004-02-09,2004-02-15
1216,None,Aue,GER,2,1390.59338379,2004-02-16,2004-02-22
1217,None,Aue,GER,2,1382.49768066,2004-02-23,2004-02-24
1218,None,Aue,GER,2,1381.7989502,2004-02-25,2004-02-25
1219,None,Aue,GER,2,1379.43334961,2004-02-26,2004-02-27
1220,None,Aue,GER,2,1375.33056641,2004-02-28,2004-03-07
1221,None,Aue,GER,2,1381.02294922,2004-03-08,2004-03-09
1222,None,Aue,GER,2,1380.9284668,2004-03-10,2004-03-10
1223,None,Aue,GER,2,1379.6340332,2004-03-11,2004-03-14
1224,None,Aue,GER,2,1401.23022461,2004-03-15,2004-03-21
1225,None,Aue,GER,2,1410.08520508,2004-03-22,2004-03-28
1226,None,Aue,GER,2,1425.71594238,2004-03-29,2004-04-04
1227,None,Aue,GER,2,1436.89733887,2004-04-05,2004-04-11
1228,None,Aue,GER,2,1441.5324707,2004-04-12,2004-04-16
1229,None,Aue,GER,2,1449.61486816,2004-04-17,2004-04-25
1230,None,Aue,GER,2,1450.43945312,2004-04-26,2004-05-02
1231,None,Aue,GER,2,1441.01879883,2004-05-03,2004-05-09
1232,None,Aue,GER,2,1447.30932617,2004-05-10,2004-05-16
1233,None,Aue,GER,2,1448.67541504,2004-05-17,2004-05-23
1234,None,Aue,GER,2,1444.72839355,2004-05-24,2004-08-07
1235,None,Aue,GER,2,1462.72192383,2004-08-08,2004-08-11
1236,None,Aue,GER,2,1466.52514648,2004-08-12,2004-08-13
1237,None,Aue,GER,2,1477.31738281,2004-08-14,2004-08-25
1238,None,Aue,GER,2,1476.91162109,2004-08-26,2004-08-29
1239,None,Aue,GER,2,1472.20556641,2004-08-30,2004-09-12
1240,None,Aue,GER,2,1468.46203613,2004-09-13,2004-09-14
1241,None,Aue,GER,2,1465.56225586,2004-09-15,2004-09-15
1242,None,Aue,GER,2,1472.68566895,2004-09-16,2004-09-16
1243,None,Aue,GER,2,1475.72399902,2004-09-17,2004-09-19
1244,None,Aue,GER,2,1462.99304199,2004-09-20,2004-09-26
1245,None,Aue,GER,2,1461.29724121,2004-09-27,2004-09-28
1246,None,Aue,GER,2,1461.45019531,2004-09-29,2004-09-29
1247,None,Aue,GER,2,1465.30285645,2004-09-30,2004-09-30
