,Rank,Club,Country,Level,Elo,From,To
862,None,Augsburg,GER,2,1385.28137207,2006-07-02,2006-08-09
863,None,Augsburg,GER,2,1384.60119629,2006-08-10,2006-08-10
864,None,Augsburg,GER,2,1384.57763672,2006-08-11,2006-08-14
865,None,Augsburg,GER,2,1377.00744629,2006-08-15,2006-08-20
866,None,Augsburg,GER,2,1371.71923828,2006-08-21,2006-08-22
867,None,Augsburg,GER,2,1375.8302002,2006-08-23,2006-08-24
868,None,Augsburg,GER,2,1375.97875977,2006-08-25,2006-08-27
869,None,Augsburg,GER,2,1374.60693359,2006-08-28,2006-09-12
870,None,Augsburg,GER,2,1374.78100586,2006-09-13,2006-09-13
871,None,Augsburg,GER,2,1372.12731934,2006-09-14,2006-09-14
872,None,Augsburg,GER,2,1375.39941406,2006-09-15,2006-09-15
873,None,Augsburg,GER,2,1385.97302246,2006-09-16,2006-09-24
874,None,Augsburg,GER,2,1387.10021973,2006-09-25,2006-09-26
875,None,Augsburg,GER,2,1385.3203125,2006-09-27,2006-09-27
876,None,Augsburg,GER,2,1392.01867676,2006-09-28,2006-09-28
877,None,Augsburg,GER,2,1382.47399902,2006-09-29,2006-10-01
878,None,Augsburg,GER,2,1378.97998047,2006-10-02,2006-10-13
879,None,Augsburg,GER,2,1387.95849609,2006-10-14,2006-10-17
880,None,Augsburg,GER,2,1385.34631348,2006-10-18,2006-10-18
881,None,Augsburg,GER,2,1389.74230957,2006-10-19,2006-10-19
882,None,Augsburg,GER,2,1386.53894043,2006-10-20,2006-10-23
883,None,Augsburg,GER,2,1389.06066895,2006-10-24,2006-10-27
884,None,Augsburg,GER,2,1403.40405273,2006-10-28,2006-10-31
885,None,Augsburg,GER,2,1405.44006348,2006-11-01,2006-11-01
886,None,Augsburg,GER,2,1400.74865723,2006-11-02,2006-11-02
887,None,Augsburg,GER,2,1403.21740723,2006-11-03,2006-11-05
888,None,Augsburg,GER,2,1406.45007324,2006-11-06,2006-11-08
889,None,Augsburg,GER,2,1418.64697266,2006-11-09,2006-11-12
890,None,Augsburg,GER,2,1411.64367676,2006-11-13,2006-11-19
891,None,Augsburg,GER,2,1418.03210449,2006-11-20,2006-11-21
892,None,Augsburg,GER,2,1417.23498535,2006-11-22,2006-11-22
893,None,Augsburg,GER,2,1420.00061035,2006-11-23,2006-11-23
894,None,Augsburg,GER,2,1416.79943848,2006-11-24,2006-11-24
895,None,Augsburg,GER,2,1422.32507324,2006-11-25,2006-11-29
896,None,Augsburg,GER,2,1420.38354492,2006-11-30,2006-11-30
897,None,Augsburg,GER,2,1420.81884766,2006-12-01,2006-12-03
898,None,Augsburg,GER,2,1413.85168457,2006-12-04,2006-12-05
899,None,Augsburg,GER,2,1412.13989258,2006-12-06,2006-12-06
