,Rank,Club,Country,Level,Elo,From,To
3238,10,Bayern,GER,1,1838.98840332,2004-01-12,2004-01-31
3239,9,Bayern,GER,1,1833.37133789,2004-02-01,2004-02-01
3240,11,Bayern,GER,1,1833.37133789,2004-02-02,2004-02-08
3241,12,Bayern,GER,1,1836.35388184,2004-02-09,2004-02-14
3242,12,Bayern,GER,1,1826.1953125,2004-02-15,2004-02-21
3243,12,Bayern,GER,1,1828.84191895,2004-02-22,2004-02-24
3244,12,Bayern,GER,1,1826.19567871,2004-02-25,2004-02-25
3245,12,Bayern,GER,1,1823.83007812,2004-02-26,2004-02-26
3246,13,Bayern,GER,1,1823.83007812,2004-02-27,2004-02-28
3247,12,Bayern,GER,1,1827.16052246,2004-02-29,2004-02-29
3248,13,Bayern,GER,1,1827.16052246,2004-03-01,2004-03-03
3249,12,Bayern,GER,1,1827.16052246,2004-03-04,2004-03-06
3250,12,Bayern,GER,1,1835.28491211,2004-03-07,2004-03-09
3251,12,Bayern,GER,1,1835.19042969,2004-03-10,2004-03-10
3252,12,Bayern,GER,1,1830.28027344,2004-03-11,2004-03-11
3253,13,Bayern,GER,1,1830.28027344,2004-03-12,2004-03-13
3254,15,Bayern,GER,1,1823.55505371,2004-03-14,2004-03-20
3255,15,Bayern,GER,1,1819.68469238,2004-03-21,2004-03-24
3256,14,Bayern,GER,1,1819.68469238,2004-03-25,2004-03-27
3257,14,Bayern,GER,1,1823.29931641,2004-03-28,2004-03-28
3258,13,Bayern,GER,1,1823.29931641,2004-03-29,2004-04-03
3259,12,Bayern,GER,1,1829.64221191,2004-04-04,2004-04-04
3260,13,Bayern,GER,1,1829.64221191,2004-04-05,2004-04-06
3261,14,Bayern,GER,1,1829.64221191,2004-04-07,2004-04-07
3262,12,Bayern,GER,1,1829.64221191,2004-04-08,2004-04-10
3263,10,Bayern,GER,1,1832.83703613,2004-04-11,2004-04-14
3264,11,Bayern,GER,1,1832.83703613,2004-04-15,2004-04-17
3265,13,Bayern,GER,1,1820.41577148,2004-04-18,2004-04-18
3266,14,Bayern,GER,1,1820.41577148,2004-04-19,2004-04-25
