,Rank,Club,Country,Level,Elo,From,To
2329,None,Bielefeld,GER,2,1539.61682129,2004-02-03,2004-02-08
2330,None,Bielefeld,GER,2,1522.15808105,2004-02-09,2004-02-15
2331,None,Bielefeld,GER,2,1521.16455078,2004-02-16,2004-02-23
2332,None,Bielefeld,GER,2,1524.86535645,2004-02-24,2004-02-24
2333,None,Bielefeld,GER,2,1524.16650391,2004-02-25,2004-02-25
2334,None,Bielefeld,GER,2,1521.80090332,2004-02-26,2004-02-27
2335,None,Bielefeld,GER,2,1521.75805664,2004-02-28,2004-03-07
2336,None,Bielefeld,GER,2,1516.51757812,2004-03-08,2004-03-09
2337,None,Bielefeld,GER,2,1516.4230957,2004-03-10,2004-03-10
2338,None,Bielefeld,GER,2,1515.12854004,2004-03-11,2004-03-14
2339,None,Bielefeld,GER,2,1523.98754883,2004-03-15,2004-03-21
2340,None,Bielefeld,GER,2,1529.50097656,2004-03-22,2004-03-29
2341,None,Bielefeld,GER,2,1544.26782227,2004-03-30,2004-04-04
2342,None,Bielefeld,GER,2,1547.85693359,2004-04-05,2004-04-08
2343,None,Bielefeld,GER,2,1557.80627441,2004-04-09,2004-04-19
2344,None,Bielefeld,GER,2,1565.06665039,2004-04-20,2004-04-25
2345,None,Bielefeld,GER,2,1564.24206543,2004-04-26,2004-05-03
2346,None,Bielefeld,GER,2,1549.4798584,2004-05-04,2004-05-09
2347,None,Bielefeld,GER,2,1558.77392578,2004-05-10,2004-05-16
2348,None,Bielefeld,GER,2,1555.32775879,2004-05-17,2004-05-23
2349,None,Bielefeld,GER,2,1537.49963379,2004-05-24,2004-07-03
2350,None,Bielefeld,GER,1,1537.49963379,2004-07-04,2004-08-08
2351,None,Bielefeld,GER,1,1536.7668457,2004-08-09,2004-08-11
2352,None,Bielefeld,GER,1,1540.57019043,2004-08-12,2004-08-25
2353,None,Bielefeld,GER,1,1540.16442871,2004-08-26,2004-08-28
2354,None,Bielefeld,GER,1,1533.74487305,2004-08-29,2004-09-11
2355,None,Bielefeld,GER,1,1532.12780762,2004-09-12,2004-09-14
2356,None,Bielefeld,GER,1,1529.22814941,2004-09-15,2004-09-15
2357,None,Bielefeld,GER,1,1536.35144043,2004-09-16,2004-09-16
2358,None,Bielefeld,GER,1,1539.38977051,2004-09-17,2004-09-18
2359,None,Bielefeld,GER,1,1537.98693848,2004-09-19,2004-09-25
2360,None,Bielefeld,GER,1,1549.37072754,2004-09-26,2004-09-28
2361,None,Bielefeld,GER,1,1561.14953613,2004-09-29,2004-09-29
2362,None,Bielefeld,GER,1,1565.00231934,2004-09-30,2004-09-30
2363,None,Bielefeld,GER,1,1560.7890625,2004-10-01,2004-10-03
2364,None,Bielefeld,GER,1,1554.08569336,2004-10-04,2004-10-16
2365,None,Bielefeld,GER,1,1571.06896973,2004-10-17,2004-10-19
2366,None,Bielefeld,GER,1,1572.15100098,2004-10-20,2004-10-20
2367,None,Bielefeld,GER,1,1575.75769043,2004-10-21,2004-10-21
2368,None,Bielefeld,GER,1,1579.85888672,2004-10-22,2004-10-23
2369,None,Bielefeld,GER,1,1587.85961914,2004-10-24,2004-10-27
2370,None,Bielefeld,GER,1,1585.37756348,2004-10-28,2004-10-31
2371,None,Bielefeld,GER,1,1579.22619629,2004-11-01,2004-11-02
2372,None,Bielefeld,GER,1,1581.65161133,2004-11-03,2004-11-03
2373,None,Bielefeld,GER,1,1579.1751709,2004-11-04,2004-11-04
2374,None,Bielefeld,GER,1,1583.07873535,2004-11-05,2004-11-06
2375,None,Bielefeld,GER,1,1591.78857422,2004-11-07,2004-11-13
2376,None,Bielefeld,GER,1,1601.95715332,2004-11-14,2004-11-20
2377,None,Bielefeld,GER,1,1612.41186523,2004-11-21,2004-11-23
2378,None,Bielefeld,GER,1,1615.10144043,2004-11-24,2004-11-24
2379,None,Bielefeld,GER,1,1614.01782227,2004-11-25,2004-11-25
2380,None,Bielefeld,GER,1,1611.6505127,2004-11-26,2004-11-28
2381,None,Bielefeld,GER,1,1608.3515625,2004-11-29,2004-12-01
