,Rank,Club,Country,Level,Elo,From,To
2789,None,Braunschweig,GER,2,1388.49169922,2005-07-02,2005-07-14
2790,None,Braunschweig,GER,2,1388.55651855,2005-07-15,2005-07-28
2791,None,Braunschweig,GER,2,1388.55273438,2005-07-29,2005-08-06
2792,None,Braunschweig,GER,2,1383.61791992,2005-08-07,2005-08-10
2793,None,Braunschweig,GER,2,1382.49060059,2005-08-11,2005-08-11
2794,None,Braunschweig,GER,2,1382.6776123,2005-08-12,2005-08-14
2795,None,Braunschweig,GER,2,1392.34606934,2005-08-15,2005-08-24
2796,None,Braunschweig,GER,2,1396.22912598,2005-08-25,2005-08-25
2797,None,Braunschweig,GER,2,1396.35632324,2005-08-26,2005-08-26
2798,None,Braunschweig,GER,2,1410.04980469,2005-08-27,2005-09-11
2799,None,Braunschweig,GER,2,1424.40966797,2005-09-12,2005-09-13
2800,None,Braunschweig,GER,2,1423.4029541,2005-09-14,2005-09-14
2801,None,Braunschweig,GER,2,1420.23999023,2005-09-15,2005-09-15
2802,None,Braunschweig,GER,2,1415.91308594,2005-09-16,2005-09-16
2803,None,Braunschweig,GER,2,1419.6184082,2005-09-17,2005-09-20
2804,None,Braunschweig,GER,2,1427.34204102,2005-09-21,2005-09-23
2805,None,Braunschweig,GER,2,1423.95532227,2005-09-24,2005-09-27
2806,None,Braunschweig,GER,2,1421.53771973,2005-09-28,2005-09-28
2807,None,Braunschweig,GER,2,1422.3762207,2005-09-29,2005-09-29
2808,None,Braunschweig,GER,2,1418.71386719,2005-09-30,2005-10-02
2809,None,Braunschweig,GER,2,1418.16210938,2005-10-03,2005-10-16
2810,None,Braunschweig,GER,2,1421.39086914,2005-10-17,2005-10-18
2811,None,Braunschweig,GER,2,1424.77563477,2005-10-19,2005-10-19
2812,None,Braunschweig,GER,2,1425.84289551,2005-10-20,2005-10-20
2813,None,Braunschweig,GER,2,1436.48962402,2005-10-21,2005-10-21
2814,None,Braunschweig,GER,2,1425.38110352,2005-10-22,2005-10-28
2815,None,Braunschweig,GER,2,1430.97570801,2005-10-29,2005-11-01
2816,None,Braunschweig,GER,2,1433.65722656,2005-11-02,2005-11-02
2817,None,Braunschweig,GER,2,1433.17333984,2005-11-03,2005-11-03
2818,None,Braunschweig,GER,2,1428.54553223,2005-11-04,2005-11-07
2819,None,Braunschweig,GER,2,1424.32116699,2005-11-08,2005-11-18
2820,None,Braunschweig,GER,2,1414.77038574,2005-11-19,2005-11-22
2821,None,Braunschweig,GER,2,1414.09387207,2005-11-23,2005-11-23
2822,None,Braunschweig,GER,2,1419.34375,2005-11-24,2005-11-24
2823,None,Braunschweig,GER,2,1417.66113281,2005-11-25,2005-11-25
2824,None,Braunschweig,GER,2,1434.78186035,2005-11-26,2005-11-30
2825,None,Braunschweig,GER,2,1435.94799805,2005-12-01,2005-12-02
2826,None,Braunschweig,GER,2,1443.24768066,2005-12-03,2005-12-06
2827,None,Braunschweig,GER,2,1442.21374512,2005-12-07,2005-12-07
2828,None,Braunschweig,GER,2,1442.49169922,2005-12-08,2005-12-11
2829,None,Braunschweig,GER,2,1436.39746094,2005-12-12,2005-12-14
2830,None,Braunschweig,GER,2,1437.56201172,2005-12-15,2005-12-15
2831,None,Braunschweig,GER,2,1437.02075195,2005-12-16,2005-12-18
2832,None,Braunschweig,GER,2,1425.38500977,2005-12-19,2006-01-29
2833,None,Braunschweig,GER,2,1413.80871582,2006-01-30,2006-02-12
2834,None,Braunschweig,GER,2,1426.48083496,2006-02-13,2006-02-15
2835,None,Braunschweig,GER,2,1422.84155273,2006-02-16,2006-02-16
2836,None,Braunschweig,GER,2,1417.00427246,2006-02-17,2006-02-17
2837,None,Braunschweig,GER,2,1422.61254883,2006-02-18,2006-02-21
2838,None,Braunschweig,GER,2,1421.30444336,2006-02-22,2006-02-22
2839,None,Braunschweig,GER,2,1422.50585938,2006-02-23,2006-02-23
2840,None,Braunschweig,GER,2,1427.16247559,2006-02-24,2006-02-26
2841,None,Braunschweig,GER,2,1415.44262695,2006-02-27,2006-03-05
2842,None,Braunschweig,GER,2,1415.38464355,2006-03-06,2006-03-07
2843,None,Braunschweig,GER,2,1413.0748291,2006-03-08,2006-03-08
2844,None,Braunschweig,GER,2,1400.26782227,2006-03-09,2006-03-09
2845,None,Braunschweig,GER,2,1393.93005371,2006-03-10,2006-03-12
2846,None,Braunschweig,GER,2,1389.7298584,2006-03-13,2006-03-15
2847,None,Braunschweig,GER,2,1390.50378418,2006-03-16,2006-03-16
2848,None,Braunschweig,GER,2,1395.73352051,2006-03-17,2006-03-19
2849,None,Braunschweig,GER,2,1390.95800781,2006-03-20,2006-03-24
2850,None,Braunschweig,GER,2,1401.11303711,2006-03-25,2006-03-29
2851,None,Braunschweig,GER,2,1416.45617676,2006-03-30,2006-03-30
2852,None,Braunschweig,GER,2,1419.85180664,2006-03-31,2006-04-02
2853,None,Braunschweig,GER,2,1405.18591309,2006-04-03,2006-04-06
2854,None,Braunschweig,GER,2,1405.05773926,2006-04-07,2006-04-07
2855,None,Braunschweig,GER,2,1399.70959473,2006-04-08,2006-04-16
2856,None,Braunschweig,GER,2,1410.98718262,2006-04-17,2006-04-20
2857,None,Braunschweig,GER,2,1410.40161133,2006-04-21,2006-04-23
2858,None,Braunschweig,GER,2,1401.97155762,2006-04-24,2006-04-27
2859,None,Braunschweig,GER,2,1399.35168457,2006-04-28,2006-05-03
2860,None,Braunschweig,GER,2,1386.78771973,2006-05-04,2006-05-07
2861,None,Braunschweig,GER,2,1398.76623535,2006-05-08,2006-05-14
2862,None,Braunschweig,GER,2,1389.18127441,2006-05-15,2006-08-09
2863,None,Braunschweig,GER,2,1388.50109863,2006-08-10,2006-08-10
2864,None,Braunschweig,GER,2,1388.47753906,2006-08-11,2006-08-13
2865,None,Braunschweig,GER,2,1387.39196777,2006-08-14,2006-08-18
2866,None,Braunschweig,GER,2,1389.39709473,2006-08-19,2006-08-22
2867,None,Braunschweig,GER,2,1393.50793457,2006-08-23,2006-08-24
2868,None,Braunschweig,GER,2,1393.65661621,2006-08-25,2006-08-27
2869,None,Braunschweig,GER,2,1379.57995605,2006-08-28,2006-09-12
2870,None,Braunschweig,GER,2,1379.75390625,2006-09-13,2006-09-13
2871,None,Braunschweig,GER,2,1377.1003418,2006-09-14,2006-09-14
2872,None,Braunschweig,GER,2,1380.37231445,2006-09-15,2006-09-15
2873,None,Braunschweig,GER,2,1375.73327637,2006-09-16,2006-09-22
2874,None,Braunschweig,GER,2,1377.77575684,2006-09-23,2006-09-26
2875,None,Braunschweig,GER,2,1375.99597168,2006-09-27,2006-09-27
2876,None,Braunschweig,GER,2,1382.69421387,2006-09-28,2006-09-28
2877,None,Braunschweig,GER,2,1373.14953613,2006-09-29,2006-10-01
2878,None,Braunschweig,GER,2,1364.9128418,2006-10-02,2006-10-13
2879,None,Braunschweig,GER,2,1378.09399414,2006-10-14,2006-10-17
2880,None,Braunschweig,GER,2,1375.48193359,2006-10-18,2006-10-18
2881,None,Braunschweig,GER,2,1379.87792969,2006-10-19,2006-10-19
2882,None,Braunschweig,GER,2,1376.67443848,2006-10-20,2006-10-22
2883,None,Braunschweig,GER,2,1368.60827637,2006-10-23,2006-10-27
2884,None,Braunschweig,GER,2,1358.58300781,2006-10-28,2006-10-31
2885,None,Braunschweig,GER,2,1360.61901855,2006-11-01,2006-11-01
2886,None,Braunschweig,GER,2,1355.9276123,2006-11-02,2006-11-02
2887,None,Braunschweig,GER,2,1358.3963623,2006-11-03,2006-11-03
2888,None,Braunschweig,GER,2,1355.04467773,2006-11-04,2006-11-07
2889,None,Braunschweig,GER,2,1345.60229492,2006-11-08,2006-11-10
2890,None,Braunschweig,GER,2,1339.83911133,2006-11-11,2006-11-17
2891,None,Braunschweig,GER,2,1343.15222168,2006-11-18,2006-11-21
2892,None,Braunschweig,GER,2,1342.35510254,2006-11-22,2006-11-22
2893,None,Braunschweig,GER,2,1345.12072754,2006-11-23,2006-11-23
2894,None,Braunschweig,GER,2,1341.91955566,2006-11-24,2006-11-26
2895,None,Braunschweig,GER,2,1345.66308594,2006-11-27,2006-11-29
2896,None,Braunschweig,GER,2,1343.72167969,2006-11-30,2006-11-30
2897,None,Braunschweig,GER,2,1344.15686035,2006-12-01,2006-12-03
2898,None,Braunschweig,GER,2,1339.67126465,2006-12-04,2006-12-05
2899,None,Braunschweig,GER,2,1337.95959473,2006-12-06,2006-12-06
2900,None,Braunschweig,GER,2,1340.61914062,2006-12-07,2006-12-10
2901,None,Braunschweig,GER,2,1344.47521973,2006-12-11,2006-12-13
2902,None,Braunschweig,GER,2,1346.29699707,2006-12-14,2006-12-14
2903,None,Braunschweig,GER,2,1347.43920898,2006-12-15,2006-12-17
2904,None,Braunschweig,GER,2,1339.66235352,2006-12-18,2007-01-21
2905,None,Braunschweig,GER,2,1343.49414062,2007-01-22,2007-01-26
2906,None,Braunschweig,GER,2,1350.32568359,2007-01-27,2007-02-02
2907,None,Braunschweig,GER,2,1344.43200684,2007-02-03,2007-02-09
2908,None,Braunschweig,GER,2,1338.80639648,2007-02-10,2007-02-14
2909,None,Braunschweig,GER,2,1342.4630127,2007-02-15,2007-02-18
2910,None,Braunschweig,GER,2,1339.32092285,2007-02-19,2007-02-20
2911,None,Braunschweig,GER,2,1339.20007324,2007-02-21,2007-02-22
2912,None,Braunschweig,GER,2,1342.39880371,2007-02-23,2007-02-23
2913,None,Braunschweig,GER,2,1333.36340332,2007-02-24,2007-03-04
2914,None,Braunschweig,GER,2,1327.94311523,2007-03-05,2007-03-07
2915,None,Braunschweig,GER,2,1331.70922852,2007-03-08,2007-03-08
2916,None,Braunschweig,GER,2,1333.67419434,2007-03-09,2007-03-09
2917,None,Braunschweig,GER,2,1344.23596191,2007-03-10,2007-03-14
2918,None,Braunschweig,GER,2,1352.99584961,2007-03-15,2007-03-18
2919,None,Braunschweig,GER,2,1348.43347168,2007-03-19,2007-04-01
2920,None,Braunschweig,GER,2,1341.22253418,2007-04-02,2007-04-03
2921,None,Braunschweig,GER,2,1343.27648926,2007-04-04,2007-04-05
2922,None,Braunschweig,GER,2,1337.94421387,2007-04-06,2007-04-08
2923,None,Braunschweig,GER,2,1332.46936035,2007-04-09,2007-04-11
2924,None,Braunschweig,GER,2,1325.42785645,2007-04-12,2007-04-12
2925,None,Braunschweig,GER,2,1329.34082031,2007-04-13,2007-04-13
2926,None,Braunschweig,GER,2,1333.2923584,2007-04-14,2007-04-22
2927,None,Braunschweig,GER,2,1340.27807617,2007-04-23,2007-04-26
2928,None,Braunschweig,GER,2,1334.40527344,2007-04-27,2007-04-27
2929,None,Braunschweig,GER,2,1345.84838867,2007-04-28,2007-05-03
2930,None,Braunschweig,GER,2,1343.47253418,2007-05-04,2007-05-06
2931,None,Braunschweig,GER,2,1349.8717041,2007-05-07,2007-05-13
2932,None,Braunschweig,GER,2,1343.58337402,2007-05-14,2007-05-20
2933,None,Braunschweig,GER,2,1346.68884277,2007-05-21,2007-07-01
2934,None,Braunschweig,GER,2,1420.23986816,2011-07-02,2011-07-17
2935,None,Braunschweig,GER,2,1433.70483398,2011-07-18,2011-07-24
2936,None,Braunschweig,GER,2,1449.41162109,2011-07-25,2011-07-28
2937,None,Braunschweig,GER,2,1448.0300293,2011-07-29,2011-08-04
2938,None,Braunschweig,GER,2,1445.53063965,2011-08-05,2011-08-07
2939,None,Braunschweig,GER,2,1435.80102539,2011-08-08,2011-08-12
2940,None,Braunschweig,GER,2,1449.98669434,2011-08-13,2011-08-17
2941,None,Braunschweig,GER,2,1450.69055176,2011-08-18,2011-08-18
2942,None,Braunschweig,GER,2,1448.44848633,2011-08-19,2011-08-20
2943,None,Braunschweig,GER,2,1447.47351074,2011-08-21,2011-08-23
2944,None,Braunschweig,GER,2,1447.74145508,2011-08-24,2011-08-25
2945,None,Braunschweig,GER,2,1453.96472168,2011-08-26,2011-08-28
