,Rank,Club,Country,Level,Elo,From,To
107,None,Burghausen,GER,2,1471.67944336,2004-02-01,2004-02-06
108,None,Burghausen,GER,2,1470.89367676,2004-02-07,2004-02-13
109,None,Burghausen,GER,2,1455.07299805,2004-02-14,2004-02-22
110,None,Burghausen,GER,2,1471.4675293,2004-02-23,2004-02-24
111,None,Burghausen,GER,2,1470.76879883,2004-02-25,2004-02-25
112,None,Burghausen,GER,2,1468.40319824,2004-02-26,2004-03-05
113,None,Burghausen,GER,2,1465.38586426,2004-03-06,2004-03-09
114,None,Burghausen,GER,2,1465.29138184,2004-03-10,2004-03-10
115,None,Burghausen,GER,2,1463.99694824,2004-03-11,2004-03-14
116,None,Burghausen,GER,2,1455.13793945,2004-03-15,2004-03-17
117,None,Burghausen,GER,2,1444.81628418,2004-03-18,2004-03-21
118,None,Burghausen,GER,2,1440.76464844,2004-03-22,2004-03-26
119,None,Burghausen,GER,2,1441.29125977,2004-03-27,2004-04-04
120,None,Burghausen,GER,2,1430.10986328,2004-04-05,2004-04-11
121,None,Burghausen,GER,2,1417.79626465,2004-04-12,2004-04-18
122,None,Burghausen,GER,2,1412.67431641,2004-04-19,2004-04-23
123,None,Burghausen,GER,2,1418.64953613,2004-04-24,2004-05-02
124,None,Burghausen,GER,2,1428.56896973,2004-05-03,2004-05-07
125,None,Burghausen,GER,2,1435.54943848,2004-05-08,2004-05-16
126,None,Burghausen,GER,2,1438.70446777,2004-05-17,2004-05-23
127,None,Burghausen,GER,2,1445.97729492,2004-05-24,2004-08-07
128,None,Burghausen,GER,2,1447.97265625,2004-08-08,2004-08-11
129,None,Burghausen,GER,2,1451.77587891,2004-08-12,2004-08-13
130,None,Burghausen,GER,2,1461.95825195,2004-08-14,2004-08-25
131,None,Burghausen,GER,2,1461.55249023,2004-08-26,2004-08-29
132,None,Burghausen,GER,2,1462.37243652,2004-08-30,2004-09-10
133,None,Burghausen,GER,2,1449.98840332,2004-09-11,2004-09-14
134,None,Burghausen,GER,2,1447.08874512,2004-09-15,2004-09-15
135,None,Burghausen,GER,2,1454.2121582,2004-09-16,2004-09-16
136,None,Burghausen,GER,2,1457.25036621,2004-09-17,2004-09-19
137,None,Burghausen,GER,2,1467.30224609,2004-09-20,2004-09-24
138,None,Burghausen,GER,2,1471.49084473,2004-09-25,2004-09-28
139,None,Burghausen,GER,2,1471.64379883,2004-09-29,2004-09-29
140,None,Burghausen,GER,2,1475.49645996,2004-09-30,2004-09-30
141,None,Burghausen,GER,2,1471.2833252,2004-10-01,2004-10-03
142,None,Burghausen,GER,2,1488.65100098,2004-10-04,2004-10-17
143,None,Burghausen,GER,2,1479.69042969,2004-10-18,2004-10-19
144,None,Burghausen,GER,2,1480.77233887,2004-10-20,2004-10-20
145,None,Burghausen,GER,2,1484.37902832,2004-10-21,2004-10-21
146,None,Burghausen,GER,2,1488.48034668,2004-10-22,2004-10-26
147,None,Burghausen,GER,2,1495.13317871,2004-10-27,2004-10-31
148,None,Burghausen,GER,2,1485.80029297,2004-11-01,2004-11-02
149,None,Burghausen,GER,2,1488.22570801,2004-11-03,2004-11-03
150,None,Burghausen,GER,2,1485.74914551,2004-11-04,2004-11-04
151,None,Burghausen,GER,2,1489.65283203,2004-11-05,2004-11-05
152,None,Burghausen,GER,2,1486.41455078,2004-11-06,2004-11-12
153,None,Burghausen,GER,2,1478.55151367,2004-11-13,2004-11-21
154,None,Burghausen,GER,2,1477.25952148,2004-11-22,2004-11-23
155,None,Burghausen,GER,2,1479.94921875,2004-11-24,2004-11-24
156,None,Burghausen,GER,2,1478.86560059,2004-11-25,2004-11-25
157,None,Burghausen,GER,2,1476.49829102,2004-11-26,2004-11-29
158,None,Burghausen,GER,2,1492.38476562,2004-11-30,2004-12-01
159,None,Burghausen,GER,2,1490.37939453,2004-12-02,2004-12-02
160,None,Burghausen,GER,2,1489.74853516,2004-12-03,2004-12-05
161,None,Burghausen,GER,2,1483.61474609,2004-12-06,2004-12-07
162,None,Burghausen,GER,2,1490.31286621,2004-12-08,2004-12-08
163,None,Burghausen,GER,2,1494.01428223,2004-12-09,2004-12-10
164,None,Burghausen,GER,2,1477.59643555,2004-12-11,2004-12-15
165,None,Burghausen,GER,2,1484.11303711,2004-12-16,2005-01-22
166,None,Burghausen,GER,2,1479.85058594,2005-01-23,2005-01-28
167,None,Burghausen,GER,2,1470.88745117,2005-01-29,2005-02-07
168,None,Burghausen,GER,2,1475.14770508,2005-02-08,2005-02-13
169,None,Burghausen,GER,2,1490.79101562,2005-02-14,2005-02-16
170,None,Burghausen,GER,2,1492.37670898,2005-02-17,2005-02-17
171,None,Burghausen,GER,2,1492.05371094,2005-02-18,2005-02-20
172,None,Burghausen,GER,2,1488.22631836,2005-02-21,2005-02-22
173,None,Burghausen,GER,2,1488.37976074,2005-02-23,2005-02-23
174,None,Burghausen,GER,2,1482.56542969,2005-02-24,2005-02-24
175,None,Burghausen,GER,2,1466.21594238,2005-02-25,2005-02-25
176,None,Burghausen,GER,2,1475.47912598,2005-02-26,2005-03-04
177,None,Burghausen,GER,2,1460.53613281,2005-03-05,2005-03-08
178,None,Burghausen,GER,2,1458.21191406,2005-03-09,2005-03-09
179,None,Burghausen,GER,2,1455.08825684,2005-03-10,2005-03-18
180,None,Burghausen,GER,2,1460.19628906,2005-03-19,2005-04-03
181,None,Burghausen,GER,2,1469.79724121,2005-04-04,2005-04-06
182,None,Burghausen,GER,2,1472.11242676,2005-04-07,2005-04-10
183,None,Burghausen,GER,2,1470.14599609,2005-04-11,2005-04-12
184,None,Burghausen,GER,2,1469.83215332,2005-04-13,2005-04-17
185,None,Burghausen,GER,2,1483.62121582,2005-04-18,2005-04-24
186,None,Burghausen,GER,2,1465.64257812,2005-04-25,2005-04-27
187,None,Burghausen,GER,2,1479.3392334,2005-04-28,2005-05-01
188,None,Burghausen,GER,2,1474.72131348,2005-05-02,2005-05-08
189,None,Burghausen,GER,2,1471.52368164,2005-05-09,2005-05-15
190,None,Burghausen,GER,2,1462.09692383,2005-05-16,2005-05-22
191,None,Burghausen,GER,2,1456.1307373,2005-05-23,2005-07-14
192,None,Burghausen,GER,2,1456.19555664,2005-07-15,2005-07-28
193,None,Burghausen,GER,2,1456.19165039,2005-07-29,2005-08-07
194,None,Burghausen,GER,2,1450.77233887,2005-08-08,2005-08-10
195,None,Burghausen,GER,2,1449.64501953,2005-08-11,2005-08-11
196,None,Burghausen,GER,2,1449.83190918,2005-08-12,2005-08-14
197,None,Burghausen,GER,2,1448.51452637,2005-08-15,2005-08-24
198,None,Burghausen,GER,2,1452.39758301,2005-08-25,2005-08-25
199,None,Burghausen,GER,2,1452.52490234,2005-08-26,2005-08-28
200,None,Burghausen,GER,2,1462.99951172,2005-08-29,2005-09-09
201,None,Burghausen,GER,2,1459.0480957,2005-09-10,2005-09-13
202,None,Burghausen,GER,2,1458.04138184,2005-09-14,2005-09-14
203,None,Burghausen,GER,2,1454.8782959,2005-09-15,2005-09-15
204,None,Burghausen,GER,2,1450.5513916,2005-09-16,2005-09-18
205,None,Burghausen,GER,2,1449.93164062,2005-09-19,2005-09-21
206,None,Burghausen,GER,2,1440.17260742,2005-09-22,2005-09-25
207,None,Burghausen,GER,2,1441.03137207,2005-09-26,2005-09-27
208,None,Burghausen,GER,2,1438.61376953,2005-09-28,2005-09-28
209,None,Burghausen,GER,2,1439.45227051,2005-09-29,2005-09-29
210,None,Burghausen,GER,2,1435.78991699,2005-09-30,2005-10-02
211,None,Burghausen,GER,2,1435.97253418,2005-10-03,2005-10-16
212,None,Burghausen,GER,2,1426.44970703,2005-10-17,2005-10-18
213,None,Burghausen,GER,2,1429.83459473,2005-10-19,2005-10-19
214,None,Burghausen,GER,2,1430.9017334,2005-10-20,2005-10-20
215,None,Burghausen,GER,2,1441.54858398,2005-10-21,2005-10-21
216,None,Burghausen,GER,2,1447.55529785,2005-10-22,2005-10-30
217,None,Burghausen,GER,2,1460.34179688,2005-10-31,2005-11-01
218,None,Burghausen,GER,2,1463.0234375,2005-11-02,2005-11-02
219,None,Burghausen,GER,2,1462.53942871,2005-11-03,2005-11-03
220,None,Burghausen,GER,2,1457.91162109,2005-11-04,2005-11-18
221,None,Burghausen,GER,2,1467.46240234,2005-11-19,2005-11-22
222,None,Burghausen,GER,2,1466.78588867,2005-11-23,2005-11-23
223,None,Burghausen,GER,2,1472.0357666,2005-11-24,2005-11-24
224,None,Burghausen,GER,2,1470.35314941,2005-11-25,2005-11-25
