,Rank,Club,Country,Level,Elo,From,To
780,None,Cottbus,GER,2,1479.28552246,2005-01-24,2005-01-31
781,None,Cottbus,GER,2,1488.15881348,2005-02-01,2005-02-04
782,None,Cottbus,GER,2,1485.36645508,2005-02-05,2005-02-11
783,None,Cottbus,GER,2,1495.22131348,2005-02-12,2005-02-16
784,None,Cottbus,GER,2,1496.80700684,2005-02-17,2005-02-17
785,None,Cottbus,GER,2,1496.48400879,2005-02-18,2005-02-18
786,None,Cottbus,GER,2,1492.09191895,2005-02-19,2005-02-22
787,None,Cottbus,GER,2,1492.24536133,2005-02-23,2005-02-23
788,None,Cottbus,GER,2,1486.43103027,2005-02-24,2005-02-24
789,None,Cottbus,GER,2,1470.08154297,2005-02-25,2005-02-25
790,None,Cottbus,GER,2,1466.00964355,2005-02-26,2005-03-06
791,None,Cottbus,GER,2,1476.35864258,2005-03-07,2005-03-08
792,None,Cottbus,GER,2,1474.03430176,2005-03-09,2005-03-09
793,None,Cottbus,GER,2,1470.91064453,2005-03-10,2005-03-13
794,None,Cottbus,GER,2,1460.93469238,2005-03-14,2005-03-20
795,None,Cottbus,GER,2,1456.94909668,2005-03-21,2005-04-01
796,None,Cottbus,GER,2,1450.25769043,2005-04-02,2005-04-06
797,None,Cottbus,GER,2,1448.45837402,2005-04-07,2005-04-08
798,None,Cottbus,GER,2,1453.95874023,2005-04-09,2005-04-12
799,None,Cottbus,GER,2,1453.64501953,2005-04-13,2005-04-15
800,None,Cottbus,GER,2,1454.59985352,2005-04-16,2005-04-24
801,None,Cottbus,GER,2,1462.37145996,2005-04-25,2005-05-01
802,None,Cottbus,GER,2,1453.03344727,2005-05-02,2005-05-08
803,None,Cottbus,GER,2,1456.23095703,2005-05-09,2005-05-15
804,None,Cottbus,GER,2,1443.39465332,2005-05-16,2005-05-22
805,None,Cottbus,GER,2,1437.61425781,2005-05-23,2005-07-14
806,None,Cottbus,GER,2,1437.67907715,2005-07-15,2005-07-28
807,None,Cottbus,GER,2,1437.67529297,2005-07-29,2005-08-06
808,None,Cottbus,GER,2,1442.60998535,2005-08-07,2005-08-10
809,None,Cottbus,GER,2,1441.48278809,2005-08-11,2005-08-11
810,None,Cottbus,GER,2,1441.66967773,2005-08-12,2005-08-15
811,None,Cottbus,GER,2,1448.0682373,2005-08-16,2005-08-24
812,None,Cottbus,GER,2,1451.95129395,2005-08-25,2005-08-25
813,None,Cottbus,GER,2,1452.07861328,2005-08-26,2005-08-28
814,None,Cottbus,GER,2,1440.49499512,2005-08-29,2005-09-11
815,None,Cottbus,GER,2,1453.98986816,2005-09-12,2005-09-13
816,None,Cottbus,GER,2,1452.9831543,2005-09-14,2005-09-14
817,None,Cottbus,GER,2,1449.82019043,2005-09-15,2005-09-15
818,None,Cottbus,GER,2,1445.49328613,2005-09-16,2005-09-18
819,None,Cottbus,GER,2,1460.7956543,2005-09-19,2005-09-21
820,None,Cottbus,GER,2,1470.5546875,2005-09-22,2005-09-25
821,None,Cottbus,GER,2,1476.75183105,2005-09-26,2005-09-27
822,None,Cottbus,GER,2,1474.33435059,2005-09-28,2005-09-28
823,None,Cottbus,GER,2,1475.17285156,2005-09-29,2005-09-29
824,None,Cottbus,GER,2,1471.51049805,2005-09-30,2005-10-02
825,None,Cottbus,GER,2,1464.92834473,2005-10-03,2005-10-16
826,None,Cottbus,GER,2,1470.59802246,2005-10-17,2005-10-18
827,None,Cottbus,GER,2,1473.98278809,2005-10-19,2005-10-19
828,None,Cottbus,GER,2,1475.05004883,2005-10-20,2005-10-20
829,None,Cottbus,GER,2,1485.69677734,2005-10-21,2005-10-23
830,None,Cottbus,GER,2,1495.04956055,2005-10-24,2005-10-30
831,None,Cottbus,GER,2,1484.75317383,2005-10-31,2005-11-01
832,None,Cottbus,GER,2,1487.43469238,2005-11-02,2005-11-02
833,None,Cottbus,GER,2,1486.95068359,2005-11-03,2005-11-03
834,None,Cottbus,GER,2,1482.32299805,2005-11-04,2005-11-04
835,None,Cottbus,GER,2,1477.76586914,2005-11-05,2005-11-21
836,None,Cottbus,GER,2,1481.77502441,2005-11-22,2005-11-22
