,Rank,Club,Country,Level,Elo,From,To
1581,None,Darmstadt,GER,2,1397.40576172,2014-07-01,2014-07-31
1582,None,Darmstadt,GER,2,1397.76647949,2014-08-01,2014-08-03
1583,None,Darmstadt,GER,2,1404.83349609,2014-08-04,2014-08-07
1584,None,Darmstadt,GER,2,1396.77416992,2014-08-08,2014-08-10
1585,None,Darmstadt,GER,2,1400.5369873,2014-08-11,2014-08-19
1586,None,Darmstadt,GER,2,1401.36669922,2014-08-20,2014-08-21
1587,None,Darmstadt,GER,2,1401.49133301,2014-08-22,2014-08-24
1588,None,Darmstadt,GER,2,1413.46887207,2014-08-25,2014-08-27
1589,None,Darmstadt,GER,2,1414.19177246,2014-08-28,2014-08-28
1590,None,Darmstadt,GER,2,1414.44006348,2014-08-29,2014-08-31
1591,None,Darmstadt,GER,2,1417.15441895,2014-09-01,2014-09-13
1592,None,Darmstadt,GER,2,1425.78686523,2014-09-14,2014-09-16
1593,None,Darmstadt,GER,2,1425.0982666,2014-09-17,2014-09-17
1594,None,Darmstadt,GER,2,1428.52844238,2014-09-18,2014-09-18
1595,None,Darmstadt,GER,2,1425.22131348,2014-09-19,2014-09-19
1596,None,Darmstadt,GER,2,1418.66418457,2014-09-20,2014-09-24
1597,None,Darmstadt,GER,2,1432.2154541,2014-09-25,2014-09-27
1598,None,Darmstadt,GER,2,1434.38757324,2014-09-28,2014-09-30
1599,None,Darmstadt,GER,2,1432.56384277,2014-10-01,2014-10-01
1600,None,Darmstadt,GER,2,1438.57897949,2014-10-02,2014-10-02
1601,None,Darmstadt,GER,2,1436.03149414,2014-10-03,2014-10-05
1602,None,Darmstadt,GER,2,1424.15869141,2014-10-06,2014-10-17
1603,None,Darmstadt,GER,2,1426.83654785,2014-10-18,2014-10-21
1604,None,Darmstadt,GER,2,1431.67871094,2014-10-22,2014-10-22
1605,None,Darmstadt,GER,2,1438.18188477,2014-10-23,2014-10-23
1606,None,Darmstadt,GER,2,1442.41638184,2014-10-24,2014-10-27
1607,None,Darmstadt,GER,2,1458.3762207,2014-10-28,2014-11-01
1608,None,Darmstadt,GER,2,1460.20568848,2014-11-02,2014-11-04
1609,None,Darmstadt,GER,2,1464.61242676,2014-11-05,2014-11-05
1610,None,Darmstadt,GER,2,1460.49145508,2014-11-06,2014-11-06
1611,None,Darmstadt,GER,2,1463.58203125,2014-11-07,2014-11-08
1612,None,Darmstadt,GER,2,1470.23901367,2014-11-09,2014-11-21
1613,None,Darmstadt,GER,2,1474.48779297,2014-11-22,2014-11-25
1614,None,Darmstadt,GER,2,1466.39404297,2014-11-26,2014-11-26
1615,None,Darmstadt,GER,2,1458.92932129,2014-11-27,2014-11-27
1616,None,Darmstadt,GER,2,1455.39343262,2014-11-28,2014-11-28
1617,None,Darmstadt,GER,2,1455.50549316,2014-11-29,2014-12-06
1618,None,Darmstadt,GER,2,1455.67358398,2014-12-07,2014-12-09
1619,None,Darmstadt,GER,2,1454.33618164,2014-12-10,2014-12-10
1620,None,Darmstadt,GER,2,1456.04736328,2014-12-11,2014-12-11
1621,None,Darmstadt,GER,2,1461.03991699,2014-12-12,2014-12-14
1622,None,Darmstadt,GER,2,1469.32263184,2014-12-15,2014-12-17
1623,None,Darmstadt,GER,2,1477.78210449,2014-12-18,2014-12-21
1624,None,Darmstadt,GER,2,1478.48486328,2014-12-22,2015-02-06
1625,None,Darmstadt,GER,2,1478.63195801,2015-02-07,2015-02-15
1626,None,Darmstadt,GER,2,1475.89379883,2015-02-16,2015-02-17
1627,None,Darmstadt,GER,2,1475.39428711,2015-02-18,2015-02-18
1628,None,Darmstadt,GER,2,1474.63537598,2015-02-19,2015-02-19
1629,None,Darmstadt,GER,2,1475.15942383,2015-02-20,2015-02-20
1630,None,Darmstadt,GER,2,1483.26708984,2015-02-21,2015-02-24
1631,None,Darmstadt,GER,2,1482.37145996,2015-02-25,2015-02-25
1632,None,Darmstadt,GER,2,1484.62573242,2015-02-26,2015-02-26
1633,None,Darmstadt,GER,2,1482.26049805,2015-02-27,2015-02-27
1634,None,Darmstadt,GER,2,1490.26757812,2015-02-28,2015-03-08
1635,None,Darmstadt,GER,2,1491.43469238,2015-03-09,2015-03-10
1636,None,Darmstadt,GER,2,1491.67480469,2015-03-11,2015-03-11
1637,None,Darmstadt,GER,2,1493.77087402,2015-03-12,2015-03-12
1638,None,Darmstadt,GER,2,1495.32263184,2015-03-13,2015-03-13
1639,None,Darmstadt,GER,2,1508.81201172,2015-03-14,2015-03-17
1640,None,Darmstadt,GER,2,1508.84924316,2015-03-18,2015-03-18
1641,None,Darmstadt,GER,2,1504.87634277,2015-03-19,2015-03-19
1642,None,Darmstadt,GER,2,1505.75439453,2015-03-20,2015-03-21
1643,None,Darmstadt,GER,2,1496.54638672,2015-03-22,2015-04-05
1644,None,Darmstadt,GER,2,1505.16784668,2015-04-06,2015-04-10
1645,None,Darmstadt,GER,2,1506.79321289,2015-04-11,2015-04-15
1646,None,Darmstadt,GER,2,1502.38903809,2015-04-16,2015-04-16
1647,None,Darmstadt,GER,2,1494.87854004,2015-04-17,2015-04-19
1648,None,Darmstadt,GER,2,1490.96594238,2015-04-20,2015-04-21
1649,None,Darmstadt,GER,2,1497.82556152,2015-04-22,2015-04-23
1650,None,Darmstadt,GER,2,1497.68164062,2015-04-24,2015-04-24
1651,None,Darmstadt,GER,2,1490.54516602,2015-04-25,2015-05-02
1652,None,Darmstadt,GER,2,1499.29821777,2015-05-03,2015-05-06
1653,None,Darmstadt,GER,2,1495.20617676,2015-05-07,2015-05-11
1654,None,Darmstadt,GER,2,1506.10876465,2015-05-12,2015-05-12
1655,None,Darmstadt,GER,2,1506.6081543,2015-05-13,2015-05-17
1656,None,Darmstadt,GER,2,1498.92785645,2015-05-18,2015-05-24
1657,None,Darmstadt,GER,2,1504.24658203,2015-05-25,2015-07-01
1658,None,Darmstadt,GER,1,1504.24658203,2015-07-02,2015-07-30
1659,None,Darmstadt,GER,1,1504.44824219,2015-07-31,2015-08-06
1660,None,Darmstadt,GER,1,1504.89221191,2015-08-07,2015-08-15
1661,None,Darmstadt,GER,1,1507.09631348,2015-08-16,2015-08-18
1662,None,Darmstadt,GER,1,1504.9128418,2015-08-19,2015-08-20
1663,None,Darmstadt,GER,1,1505.16882324,2015-08-21,2015-08-22
1664,None,Darmstadt,GER,1,1511.8112793,2015-08-23,2015-08-26
1665,None,Darmstadt,GER,1,1517.66320801,2015-08-27,2015-08-27
1666,None,Darmstadt,GER,1,1517.9576416,2015-08-28,2015-08-29
1667,None,Darmstadt,GER,1,1520.74035645,2015-08-30,2015-09-12
1668,None,Darmstadt,GER,1,1536.70336914,2015-09-13,2015-09-15
1669,None,Darmstadt,GER,1,1536.52575684,2015-09-16,2015-09-16
1670,None,Darmstadt,GER,1,1539.11401367,2015-09-17,2015-09-17
1671,None,Darmstadt,GER,1,1541.48864746,2015-09-18,2015-09-19
1672,None,Darmstadt,GER,1,1539.63305664,2015-09-20,2015-09-22
1673,None,Darmstadt,GER,1,1549.64697266,2015-09-23,2015-09-27
1674,None,Darmstadt,GER,1,1557.25268555,2015-09-28,2015-09-29
1675,None,Darmstadt,GER,1,1557.14868164,2015-09-30,2015-09-30
1676,None,Darmstadt,GER,1,1552.23535156,2015-10-01,2015-10-01
1677,None,Darmstadt,GER,1,1544.42980957,2015-10-02,2015-10-02
1678,None,Darmstadt,GER,1,1538.52148438,2015-10-03,2015-10-17
1679,None,Darmstadt,GER,1,1555.2565918,2015-10-18,2015-10-20
1680,None,Darmstadt,GER,1,1548.80981445,2015-10-21,2015-10-21
1681,None,Darmstadt,GER,1,1552.18200684,2015-10-22,2015-10-22
1682,None,Darmstadt,GER,1,1554.08374023,2015-10-23,2015-10-24
1683,None,Darmstadt,GER,1,1550.70019531,2015-10-25,2015-11-01
1684,None,Darmstadt,GER,1,1542.46118164,2015-11-02,2015-11-03
1685,None,Darmstadt,GER,1,1537.88745117,2015-11-04,2015-11-04
1686,None,Darmstadt,GER,1,1537.85314941,2015-11-05,2015-11-05
1687,None,Darmstadt,GER,1,1540.44421387,2015-11-06,2015-11-07
1688,None,Darmstadt,GER,1,1541.61474609,2015-11-08,2015-11-22
1689,None,Darmstadt,GER,1,1532.80810547,2015-11-23,2015-11-24
1690,None,Darmstadt,GER,1,1532.49609375,2015-11-25,2015-11-25
1691,None,Darmstadt,GER,1,1540.06066895,2015-11-26,2015-11-26
1692,None,Darmstadt,GER,1,1535.64086914,2015-11-27,2015-11-27
1693,None,Darmstadt,GER,1,1538.07641602,2015-11-28,2015-12-06
1694,None,Darmstadt,GER,1,1549.96130371,2015-12-07,2015-12-08
1695,None,Darmstadt,GER,1,1549.79394531,2015-12-09,2015-12-09
1696,None,Darmstadt,GER,1,1552.39379883,2015-12-10,2015-12-10
1697,None,Darmstadt,GER,1,1552.16210938,2015-12-11,2015-12-12
1698,None,Darmstadt,GER,1,1539.60925293,2015-12-13,2015-12-20
1699,None,Darmstadt,GER,1,1537.51635742,2015-12-21,2016-01-23
1700,None,Darmstadt,GER,1,1548.73132324,2016-01-24,2016-01-30
1701,None,Darmstadt,GER,1,1541.46508789,2016-01-31,2016-02-07
1702,None,Darmstadt,GER,1,1557.93786621,2016-02-08,2016-02-13
1703,None,Darmstadt,GER,1,1554.4588623,2016-02-14,2016-02-17
1704,None,Darmstadt,GER,1,1556.51831055,2016-02-18,2016-02-18
1705,None,Darmstadt,GER,1,1561.84631348,2016-02-19,2016-02-20
1706,None,Darmstadt,GER,1,1560.87158203,2016-02-21,2016-02-23
1707,None,Darmstadt,GER,1,1561.85925293,2016-02-24,2016-02-25
1708,None,Darmstadt,GER,1,1557.13513184,2016-02-26,2016-02-27
1709,None,Darmstadt,GER,1,1560.05944824,2016-02-28,2016-03-02
1710,None,Darmstadt,GER,1,1556.20275879,2016-03-03,2016-03-06
1711,None,Darmstadt,GER,1,1561.6619873,2016-03-07,2016-03-08
1712,None,Darmstadt,GER,1,1562.05810547,2016-03-09,2016-03-10
1713,None,Darmstadt,GER,1,1563.42993164,2016-03-11,2016-03-12
1714,None,Darmstadt,GER,1,1564.78552246,2016-03-13,2016-03-16
1715,None,Darmstadt,GER,1,1567.60400391,2016-03-17,2016-03-17
1716,None,Darmstadt,GER,1,1567.99719238,2016-03-18,2016-03-19
1717,None,Darmstadt,GER,1,1574.30981445,2016-03-20,2016-04-02
1718,None,Darmstadt,GER,1,1575.07861328,2016-04-03,2016-04-05
1719,None,Darmstadt,GER,1,1575.66052246,2016-04-06,2016-04-06
