,Rank,Club,Country,Level,Elo,From,To
4075,53,Dortmund,GER,1,1696.90283203,2005-01-04,2005-01-04
4076,54,Dortmund,GER,1,1696.90283203,2005-01-05,2005-01-21
4077,53,Dortmund,GER,1,1696.90283203,2005-01-22,2005-01-22
4078,48,Dortmund,GER,1,1707.09460449,2005-01-23,2005-01-23
4079,47,Dortmund,GER,1,1707.09460449,2005-01-24,2005-01-29
4080,49,Dortmund,GER,1,1702.35998535,2005-01-30,2005-02-05
4081,44,Dortmund,GER,1,1716.70007324,2005-02-06,2005-02-06
4082,43,Dortmund,GER,1,1716.70007324,2005-02-07,2005-02-12
4083,40,Dortmund,GER,1,1720.52038574,2005-02-13,2005-02-13
4084,41,Dortmund,GER,1,1720.52038574,2005-02-14,2005-02-16
4085,40,Dortmund,GER,1,1722.1060791,2005-02-17,2005-02-17
4086,40,Dortmund,GER,1,1721.78308105,2005-02-18,2005-02-19
4087,44,Dortmund,GER,1,1714.18835449,2005-02-20,2005-02-20
4088,47,Dortmund,GER,1,1714.18835449,2005-02-21,2005-02-22
4089,47,Dortmund,GER,1,1714.34179688,2005-02-23,2005-02-23
4090,48,Dortmund,GER,1,1708.52734375,2005-02-24,2005-02-24
4091,60,Dortmund,GER,1,1692.17797852,2005-02-25,2005-02-26
4092,56,Dortmund,GER,1,1697.37011719,2005-02-27,2005-03-05
4093,59,Dortmund,GER,1,1697.37011719,2005-03-06,2005-03-06
4094,58,Dortmund,GER,1,1696.71386719,2005-03-07,2005-03-08
4095,61,Dortmund,GER,1,1694.38964844,2005-03-09,2005-03-09
4096,60,Dortmund,GER,1,1691.26599121,2005-03-10,2005-03-12
4097,61,Dortmund,GER,1,1691.26599121,2005-03-13,2005-03-13
4098,74,Dortmund,GER,1,1677.66125488,2005-03-14,2005-03-17
4099,75,Dortmund,GER,1,1677.66125488,2005-03-18,2005-03-19
4100,64,Dortmund,GER,1,1688.75585938,2005-03-20,2005-03-20
4101,62,Dortmund,GER,1,1688.75585938,2005-03-21,2005-04-02
4102,65,Dortmund,GER,1,1688.75585938,2005-04-03,2005-04-03
4103,56,Dortmund,GER,1,1695.16088867,2005-04-04,2005-04-06
4104,58,Dortmund,GER,1,1693.3614502,2005-04-07,2005-04-07
4105,60,Dortmund,GER,1,1693.3614502,2005-04-08,2005-04-09
4106,48,Dortmund,GER,1,1704.93005371,2005-04-10,2005-04-10
4107,51,Dortmund,GER,1,1704.93005371,2005-04-11,2005-04-12
4108,51,Dortmund,GER,1,1704.61621094,2005-04-13,2005-04-13
4109,50,Dortmund,GER,1,1704.61621094,2005-04-14,2005-04-14
4110,51,Dortmund,GER,1,1704.61621094,2005-04-15,2005-04-16
4111,54,Dortmund,GER,1,1698.83813477,2005-04-17,2005-04-17
4112,53,Dortmund,GER,1,1698.83813477,2005-04-18,2005-04-20
4113,54,Dortmund,GER,1,1698.83813477,2005-04-21,2005-04-23
4114,47,Dortmund,GER,1,1704.4909668,2005-04-24,2005-04-24
4115,48,Dortmund,GER,1,1704.4909668,2005-04-25,2005-04-27
4116,49,Dortmund,GER,1,1704.4909668,2005-04-28,2005-04-30
4117,48,Dortmund,GER,1,1701.18164062,2005-05-01,2005-05-01
4118,50,Dortmund,GER,1,1701.18164062,2005-05-02,2005-05-08
4119,46,Dortmund,GER,1,1708.39819336,2005-05-09,2005-05-11
4120,45,Dortmund,GER,1,1708.39819336,2005-05-12,2005-05-14
4121,39,Dortmund,GER,1,1718.72265625,2005-05-15,2005-05-15
4122,40,Dortmund,GER,1,1718.72265625,2005-05-16,2005-05-21
4123,36,Dortmund,GER,1,1721.59863281,2005-05-22,2005-05-22
4124,35,Dortmund,GER,1,1721.59863281,2005-05-23,2005-05-29
4125,36,Dortmund,GER,1,1721.59863281,2005-05-30,2005-06-11
4126,37,Dortmund,GER,1,1721.59863281,2005-06-12,2005-06-15
4127,36,Dortmund,GER,1,1721.59863281,2005-06-16,2005-06-18
4128,37,Dortmund,GER,1,1721.59863281,2005-06-19,2005-06-26
4129,36,Dortmund,GER,1,1721.59863281,2005-06-27,2005-07-03
4130,37,Dortmund,GER,1,1721.59863281,2005-07-04,2005-07-14
4131,37,Dortmund,GER,1,1721.66345215,2005-07-15,2005-07-26
4132,36,Dortmund,GER,1,1721.66345215,2005-07-27,2005-07-28
4133,36,Dortmund,GER,1,1721.65966797,2005-07-29,2005-07-29
4134,37,Dortmund,GER,1,1721.65966797,2005-07-30,2005-08-03
4135,36,Dortmund,GER,1,1721.65966797,2005-08-04,2005-08-06
4136,35,Dortmund,GER,1,1721.34875488,2005-08-07,2005-08-10
4137,36,Dortmund,GER,1,1720.22143555,2005-08-11,2005-08-11
4138,36,Dortmund,GER,1,1720.4083252,2005-08-12,2005-08-13
4139,43,Dortmund,GER,1,1709.76489258,2005-08-14,2005-08-23
4140,42,Dortmund,GER,1,1709.76489258,2005-08-24,2005-08-24
4141,41,Dortmund,GER,1,1713.64794922,2005-08-25,2005-08-25
4142,41,Dortmund,GER,1,1713.77526855,2005-08-26,2005-08-27
4143,39,Dortmund,GER,1,1713.77526855,2005-08-28,2005-08-28
4144,40,Dortmund,GER,1,1710.61950684,2005-08-29,2005-09-10
4145,41,Dortmund,GER,1,1710.61950684,2005-09-11,2005-09-11
4146,40,Dortmund,GER,1,1714.05480957,2005-09-12,2005-09-13
4147,40,Dortmund,GER,1,1713.0480957,2005-09-14,2005-09-14
4148,40,Dortmund,GER,1,1709.88500977,2005-09-15,2005-09-15
4149,45,Dortmund,GER,1,1705.55810547,2005-09-16,2005-09-17
4150,48,Dortmund,GER,1,1701.16882324,2005-09-18,2005-09-18
4151,49,Dortmund,GER,1,1701.16882324,2005-09-19,2005-09-19
4152,48,Dortmund,GER,1,1701.16882324,2005-09-20,2005-09-20
4153,44,Dortmund,GER,1,1705.67175293,2005-09-21,2005-09-21
4154,45,Dortmund,GER,1,1705.67175293,2005-09-22,2005-09-24
4155,47,Dortmund,GER,1,1704.18432617,2005-09-25,2005-09-25
4156,46,Dortmund,GER,1,1704.18432617,2005-09-26,2005-09-27
4157,48,Dortmund,GER,1,1701.7668457,2005-09-28,2005-09-28
4158,47,Dortmund,GER,1,1702.60522461,2005-09-29,2005-09-29
4159,53,Dortmund,GER,1,1698.94299316,2005-09-30,2005-10-01
4160,52,Dortmund,GER,1,1698.94299316,2005-10-02,2005-10-02
4161,55,Dortmund,GER,1,1696.38903809,2005-10-03,2005-10-15
4162,54,Dortmund,GER,1,1694.72290039,2005-10-16,2005-10-16
4163,53,Dortmund,GER,1,1694.72290039,2005-10-17,2005-10-18
4164,52,Dortmund,GER,1,1698.10778809,2005-10-19,2005-10-19
4165,53,Dortmund,GER,1,1699.17492676,2005-10-20,2005-10-20
4166,48,Dortmund,GER,1,1709.82177734,2005-10-21,2005-10-23
4167,53,Dortmund,GER,1,1707.9276123,2005-10-24,2005-10-29
4168,49,Dortmund,GER,1,1712.55175781,2005-10-30,2005-10-30
4169,50,Dortmund,GER,1,1712.55175781,2005-10-31,2005-11-01
4170,50,Dortmund,GER,1,1715.23327637,2005-11-02,2005-11-02
4171,51,Dortmund,GER,1,1714.74926758,2005-11-03,2005-11-03
4172,49,Dortmund,GER,1,1710.12158203,2005-11-04,2005-11-05
4173,51,Dortmund,GER,1,1703.984375,2005-11-06,2005-11-06
4174,52,Dortmund,GER,1,1703.984375,2005-11-07,2005-11-19
4175,50,Dortmund,GER,1,1713.32617188,2005-11-20,2005-11-20
4176,49,Dortmund,GER,1,1713.32617188,2005-11-21,2005-11-22
4177,49,Dortmund,GER,1,1712.6496582,2005-11-23,2005-11-23
4178,47,Dortmund,GER,1,1717.89953613,2005-11-24,2005-11-24
4179,47,Dortmund,GER,1,1716.21691895,2005-11-25,2005-11-26
4180,44,Dortmund,GER,1,1722.0291748,2005-11-27,2005-11-27
4181,41,Dortmund,GER,1,1722.0291748,2005-11-28,2005-11-30
4182,42,Dortmund,GER,1,1723.1953125,2005-12-01,2005-12-01
4183,40,Dortmund,GER,1,1723.1953125,2005-12-02,2005-12-03
4184,52,Dortmund,GER,1,1705.75634766,2005-12-04,2005-12-04
4185,51,Dortmund,GER,1,1705.75634766,2005-12-05,2005-12-06
4186,50,Dortmund,GER,1,1704.72229004,2005-12-07,2005-12-07
4187,50,Dortmund,GER,1,1705.00024414,2005-12-08,2005-12-10
4188,54,Dortmund,GER,1,1692.73791504,2005-12-11,2005-12-14
4189,56,Dortmund,GER,1,1693.90246582,2005-12-15,2005-12-15
4190,56,Dortmund,GER,1,1693.36120605,2005-12-16,2005-12-17
4191,57,Dortmund,GER,1,1688.54089355,2005-12-18,2005-12-21
4192,60,Dortmund,GER,1,1688.54089355,2005-12-22,2005-12-22
4193,59,Dortmund,GER,1,1688.54089355,2005-12-23,2005-12-31
4194,60,Dortmund,GER,1,1688.54089355,2006-01-01,2006-01-08
4195,62,Dortmund,GER,1,1688.54089355,2006-01-09,2006-01-21
4196,60,Dortmund,GER,1,1688.54089355,2006-01-22,2006-01-22
4197,58,Dortmund,GER,1,1688.54089355,2006-01-23,2006-01-28
4198,56,Dortmund,GER,1,1692.87475586,2006-01-29,2006-01-29
4199,55,Dortmund,GER,1,1692.87475586,2006-01-30,2006-02-01
4200,53,Dortmund,GER,1,1692.87475586,2006-02-02,2006-02-04
4201,54,Dortmund,GER,1,1696.7722168,2006-02-05,2006-02-05
4202,53,Dortmund,GER,1,1696.7722168,2006-02-06,2006-02-07
4203,50,Dortmund,GER,1,1700.72119141,2006-02-08,2006-02-08
4204,51,Dortmund,GER,1,1700.72119141,2006-02-09,2006-02-12
4205,53,Dortmund,GER,1,1698.44372559,2006-02-13,2006-02-14
4206,54,Dortmund,GER,1,1698.44372559,2006-02-15,2006-02-15
4207,55,Dortmund,GER,1,1694.80444336,2006-02-16,2006-02-16
4208,60,Dortmund,GER,1,1688.96716309,2006-02-17,2006-02-18
4209,67,Dortmund,GER,1,1681.40722656,2006-02-19,2006-02-19
4210,66,Dortmund,GER,1,1681.40722656,2006-02-20,2006-02-21
4211,66,Dortmund,GER,1,1680.09912109,2006-02-22,2006-02-22
4212,65,Dortmund,GER,1,1681.30041504,2006-02-23,2006-02-23
4213,62,Dortmund,GER,1,1685.95715332,2006-02-24,2006-02-25
4214,70,Dortmund,GER,1,1677.17944336,2006-02-26,2006-02-26
4215,68,Dortmund,GER,1,1677.17944336,2006-02-27,2006-03-03
4216,69,Dortmund,GER,1,1677.17944336,2006-03-04,2006-03-04
4217,73,Dortmund,GER,1,1672.29296875,2006-03-05,2006-03-05
4218,70,Dortmund,GER,1,1672.29296875,2006-03-06,2006-03-07
4219,72,Dortmund,GER,1,1669.9831543,2006-03-08,2006-03-08
4220,75,Dortmund,GER,1,1665.42700195,2006-03-09,2006-03-09
4221,82,Dortmund,GER,1,1659.0892334,2006-03-10,2006-03-11
4222,81,Dortmund,GER,1,1662.31213379,2006-03-12,2006-03-12
4223,83,Dortmund,GER,1,1662.31213379,2006-03-13,2006-03-15
4224,82,Dortmund,GER,1,1663.08605957,2006-03-16,2006-03-16
4225,74,Dortmund,GER,1,1668.3157959,2006-03-17,2006-03-18
4226,67,Dortmund,GER,1,1672.17687988,2006-03-19,2006-03-19
4227,69,Dortmund,GER,1,1672.17687988,2006-03-20,2006-03-22
4228,68,Dortmund,GER,1,1672.17687988,2006-03-23,2006-03-25
4229,55,Dortmund,GER,1,1688.82312012,2006-03-26,2006-03-28
4230,57,Dortmund,GER,1,1688.82312012,2006-03-29,2006-03-30
4231,54,Dortmund,GER,1,1692.21862793,2006-03-31,2006-04-01
4232,60,Dortmund,GER,1,1683.78015137,2006-04-02,2006-04-02
4233,59,Dortmund,GER,1,1683.78015137,2006-04-03,2006-04-06
4234,59,Dortmund,GER,1,1683.65185547,2006-04-07,2006-04-07
4235,60,Dortmund,GER,1,1683.65185547,2006-04-08,2006-04-08
4236,68,Dortmund,GER,1,1673.96008301,2006-04-09,2006-04-09
4237,69,Dortmund,GER,1,1673.96008301,2006-04-10,2006-04-12
4238,70,Dortmund,GER,1,1673.96008301,2006-04-13,2006-04-15
4239,64,Dortmund,GER,1,1676.61657715,2006-04-16,2006-04-16
4240,65,Dortmund,GER,1,1676.61657715,2006-04-17,2006-04-17
4241,66,Dortmund,GER,1,1676.61657715,2006-04-18,2006-04-19
4242,67,Dortmund,GER,1,1676.61657715,2006-04-20,2006-04-20
4243,67,Dortmund,GER,1,1676.03100586,2006-04-21,2006-04-22
4244,62,Dortmund,GER,1,1680.70458984,2006-04-23,2006-04-25
4245,63,Dortmund,GER,1,1680.70458984,2006-04-26,2006-04-27
4246,66,Dortmund,GER,1,1678.0847168,2006-04-28,2006-04-29
4247,68,Dortmund,GER,1,1678.0847168,2006-04-30,2006-04-30
4248,67,Dortmund,GER,1,1678.0847168,2006-05-01,2006-05-02
4249,62,Dortmund,GER,1,1686.69543457,2006-05-03,2006-05-03
4250,61,Dortmund,GER,1,1686.69543457,2006-05-04,2006-05-04
4251,60,Dortmund,GER,1,1686.69543457,2006-05-05,2006-05-06
4252,64,Dortmund,GER,1,1682.21679688,2006-05-07,2006-05-07
4253,66,Dortmund,GER,1,1682.21679688,2006-05-08,2006-05-10
4254,64,Dortmund,GER,1,1682.21679688,2006-05-11,2006-05-13
4255,60,Dortmund,GER,1,1688.13342285,2006-05-14,2006-05-14
4256,61,Dortmund,GER,1,1688.13342285,2006-05-15,2006-06-07
4257,60,Dortmund,GER,1,1688.13342285,2006-06-08,2006-08-04
4258,59,Dortmund,GER,1,1688.13342285,2006-08-05,2006-08-05
