,Rank,Club,Country,Level,Elo,From,To
1965,None,Dresden,GER,2,1387.80627441,2004-07-03,2004-08-07
1966,None,Dresden,GER,2,1398.6114502,2004-08-08,2004-08-11
1967,None,Dresden,GER,2,1402.41467285,2004-08-12,2004-08-16
1968,None,Dresden,GER,2,1398.9465332,2004-08-17,2004-08-25
1969,None,Dresden,GER,2,1398.54077148,2004-08-26,2004-08-29
1970,None,Dresden,GER,2,1397.72094727,2004-08-30,2004-09-10
1971,None,Dresden,GER,2,1394.76342773,2004-09-11,2004-09-14
1972,None,Dresden,GER,2,1391.86376953,2004-09-15,2004-09-15
1973,None,Dresden,GER,2,1398.98718262,2004-09-16,2004-09-16
1974,None,Dresden,GER,2,1402.02539062,2004-09-17,2004-09-17
1975,None,Dresden,GER,2,1391.77160645,2004-09-18,2004-09-26
1976,None,Dresden,GER,2,1388.77734375,2004-09-27,2004-09-28
1977,None,Dresden,GER,2,1388.93029785,2004-09-29,2004-09-29
1978,None,Dresden,GER,2,1392.78295898,2004-09-30,2004-09-30
1979,None,Dresden,GER,2,1388.56982422,2004-10-01,2004-10-04
1980,None,Dresden,GER,2,1381.56628418,2004-10-05,2004-10-17
1981,None,Dresden,GER,2,1388.43017578,2004-10-18,2004-10-19
1982,None,Dresden,GER,2,1389.51220703,2004-10-20,2004-10-20
1983,None,Dresden,GER,2,1393.11889648,2004-10-21,2004-10-21
1984,None,Dresden,GER,2,1397.22009277,2004-10-22,2004-10-24
1985,None,Dresden,GER,2,1390.31970215,2004-10-25,2004-10-27
1986,None,Dresden,GER,2,1396.01037598,2004-10-28,2004-11-01
1987,None,Dresden,GER,2,1392.06445312,2004-11-02,2004-11-02
1988,None,Dresden,GER,2,1394.48986816,2004-11-03,2004-11-03
1989,None,Dresden,GER,2,1392.01342773,2004-11-04,2004-11-04
1990,None,Dresden,GER,2,1395.91699219,2004-11-05,2004-11-07
1991,None,Dresden,GER,2,1397.57263184,2004-11-08,2004-11-14
1992,None,Dresden,GER,2,1391.9630127,2004-11-15,2004-11-21
1993,None,Dresden,GER,2,1398.40356445,2004-11-22,2004-11-23
1994,None,Dresden,GER,2,1401.09326172,2004-11-24,2004-11-24
1995,None,Dresden,GER,2,1400.00964355,2004-11-25,2004-11-25
