,Rank,Club,Country,Level,Elo,From,To
2979,None,Duesseldorf,GER,2,1405.93249512,2009-07-01,2009-07-30
2980,None,Duesseldorf,GER,2,1407.30493164,2009-07-31,2009-08-06
2981,None,Duesseldorf,GER,2,1407.08532715,2009-08-07,2009-08-08
2982,None,Duesseldorf,GER,2,1417.62451172,2009-08-09,2009-08-15
2983,None,Duesseldorf,GER,2,1411.79785156,2009-08-16,2009-08-18
2984,None,Duesseldorf,GER,2,1413.03808594,2009-08-19,2009-08-20
2985,None,Duesseldorf,GER,2,1413.10717773,2009-08-21,2009-08-21
2986,None,Duesseldorf,GER,2,1419.80163574,2009-08-22,2009-08-26
2987,None,Duesseldorf,GER,2,1419.71179199,2009-08-27,2009-08-27
2988,None,Duesseldorf,GER,2,1423.61376953,2009-08-28,2009-08-31
2989,None,Duesseldorf,GER,2,1418.20605469,2009-09-01,2009-09-11
2990,None,Duesseldorf,GER,2,1416.75915527,2009-09-12,2009-09-15
2991,None,Duesseldorf,GER,2,1420.36999512,2009-09-16,2009-09-16
2992,None,Duesseldorf,GER,2,1418.60693359,2009-09-17,2009-09-17
2993,None,Duesseldorf,GER,2,1411.16943359,2009-09-18,2009-09-19
2994,None,Duesseldorf,GER,2,1426.88903809,2009-09-20,2009-09-28
2995,None,Duesseldorf,GER,2,1427.78979492,2009-09-29,2009-09-29
2996,None,Duesseldorf,GER,2,1427.03063965,2009-09-30,2009-09-30
2997,None,Duesseldorf,GER,2,1425.5748291,2009-10-01,2009-10-01
2998,None,Duesseldorf,GER,2,1427.60473633,2009-10-02,2009-10-03
2999,None,Duesseldorf,GER,2,1423.09802246,2009-10-04,2009-10-18
3000,None,Duesseldorf,GER,2,1432.09655762,2009-10-19,2009-10-20
3001,None,Duesseldorf,GER,2,1429.34680176,2009-10-21,2009-10-21
3002,None,Duesseldorf,GER,2,1425.13024902,2009-10-22,2009-10-22
3003,None,Duesseldorf,GER,2,1421.7755127,2009-10-23,2009-10-23
3004,None,Duesseldorf,GER,2,1439.56018066,2009-10-24,2009-10-30
3005,None,Duesseldorf,GER,2,1447.85852051,2009-10-31,2009-11-03
3006,None,Duesseldorf,GER,2,1447.12841797,2009-11-04,2009-11-04
3007,None,Duesseldorf,GER,2,1449.23510742,2009-11-05,2009-11-05
3008,None,Duesseldorf,GER,2,1450.79406738,2009-11-06,2009-11-06
3009,None,Duesseldorf,GER,2,1445.98925781,2009-11-07,2009-11-20
3010,None,Duesseldorf,GER,2,1454.03857422,2009-11-21,2009-11-24
3011,None,Duesseldorf,GER,2,1457.47546387,2009-11-25,2009-11-25
3012,None,Duesseldorf,GER,2,1455.41723633,2009-11-26,2009-11-29
3013,None,Duesseldorf,GER,2,1456.22351074,2009-11-30,2009-12-02
3014,None,Duesseldorf,GER,2,1457.69396973,2009-12-03,2009-12-03
3015,None,Duesseldorf,GER,2,1460.19006348,2009-12-04,2009-12-04
3016,None,Duesseldorf,GER,2,1469.87304688,2009-12-05,2009-12-08
3017,None,Duesseldorf,GER,2,1473.35656738,2009-12-09,2009-12-09
3018,None,Duesseldorf,GER,2,1475.1529541,2009-12-10,2009-12-13
3019,None,Duesseldorf,GER,2,1482.3067627,2009-12-14,2009-12-16
3020,None,Duesseldorf,GER,2,1490.12182617,2009-12-17,2009-12-17
3021,None,Duesseldorf,GER,2,1486.65026855,2009-12-18,2009-12-19
3022,None,Duesseldorf,GER,2,1479.25622559,2009-12-20,2010-01-15
3023,None,Duesseldorf,GER,2,1479.95788574,2010-01-16,2010-01-22
3024,None,Duesseldorf,GER,2,1485.94665527,2010-01-23,2010-01-29
3025,None,Duesseldorf,GER,2,1476.73144531,2010-01-30,2010-02-07
3026,None,Duesseldorf,GER,2,1488.89685059,2010-02-08,2010-02-14
3027,None,Duesseldorf,GER,2,1480.87072754,2010-02-15,2010-02-17
3028,None,Duesseldorf,GER,2,1481.24914551,2010-02-18,2010-02-18
3029,None,Duesseldorf,GER,2,1481.98168945,2010-02-19,2010-02-19
3030,None,Duesseldorf,GER,2,1490.19165039,2010-02-20,2010-02-23
3031,None,Duesseldorf,GER,2,1487.74975586,2010-02-24,2010-02-25
3032,None,Duesseldorf,GER,2,1498.45874023,2010-02-26,2010-03-01
3033,None,Duesseldorf,GER,2,1508.40002441,2010-03-02,2010-03-05
3034,None,Duesseldorf,GER,2,1506.8671875,2010-03-06,2010-03-09
3035,None,Duesseldorf,GER,2,1507.4831543,2010-03-10,2010-03-11
3036,None,Duesseldorf,GER,2,1512.0793457,2010-03-12,2010-03-13
3037,None,Duesseldorf,GER,2,1499.26623535,2010-03-14,2010-03-17
3038,None,Duesseldorf,GER,2,1497.39758301,2010-03-18,2010-03-18
3039,None,Duesseldorf,GER,2,1496.49572754,2010-03-19,2010-03-22
3040,None,Duesseldorf,GER,2,1497.70898438,2010-03-23,2010-03-27
3041,None,Duesseldorf,GER,2,1499.7208252,2010-03-28,2010-03-30
3042,None,Duesseldorf,GER,2,1501.27148438,2010-03-31,2010-04-01
3043,None,Duesseldorf,GER,2,1500.32165527,2010-04-02,2010-04-05
3044,None,Duesseldorf,GER,2,1508.58374023,2010-04-06,2010-04-07
3045,None,Duesseldorf,GER,2,1510.2277832,2010-04-08,2010-04-08
3046,None,Duesseldorf,GER,2,1508.1854248,2010-04-09,2010-04-10
3047,None,Duesseldorf,GER,2,1499.59631348,2010-04-11,2010-04-18
3048,None,Duesseldorf,GER,2,1508.35412598,2010-04-19,2010-04-21
3049,None,Duesseldorf,GER,2,1509.74487305,2010-04-22,2010-04-22
3050,None,Duesseldorf,GER,2,1509.32397461,2010-04-23,2010-04-25
3051,None,Duesseldorf,GER,2,1512.00695801,2010-04-26,2010-04-27
3052,None,Duesseldorf,GER,2,1516.11474609,2010-04-28,2010-04-29
3053,None,Duesseldorf,GER,2,1512.84777832,2010-04-30,2010-05-02
3054,None,Duesseldorf,GER,2,1521.01184082,2010-05-03,2010-05-09
3055,None,Duesseldorf,GER,2,1528.1784668,2010-05-10,2010-05-22
3056,None,Duesseldorf,GER,2,1524.5489502,2010-05-23,2010-07-29
3057,None,Duesseldorf,GER,2,1524.69543457,2010-07-30,2010-08-05
