,Rank,Club,Country,Level,Elo,From,To
3568,None,Duisburg,GER,2,1572.45495605,2005-01-24,2005-01-30
3569,None,Duisburg,GER,2,1558.65148926,2005-01-31,2005-02-04
3570,None,Duisburg,GER,2,1564.85192871,2005-02-05,2005-02-13
3571,None,Duisburg,GER,2,1555.89428711,2005-02-14,2005-02-16
3572,None,Duisburg,GER,2,1557.4798584,2005-02-17,2005-02-17
3573,None,Duisburg,GER,2,1557.15698242,2005-02-18,2005-02-21
3574,None,Duisburg,GER,2,1546.54992676,2005-02-22,2005-02-22
3575,None,Duisburg,GER,2,1546.70336914,2005-02-23,2005-02-23
3576,None,Duisburg,GER,2,1540.88903809,2005-02-24,2005-02-24
3577,None,Duisburg,GER,2,1524.53955078,2005-02-25,2005-02-28
3578,None,Duisburg,GER,2,1540.39904785,2005-03-01,2005-03-04
3579,None,Duisburg,GER,2,1543.73327637,2005-03-05,2005-03-08
3580,None,Duisburg,GER,2,1541.40905762,2005-03-09,2005-03-09
3581,None,Duisburg,GER,2,1538.28540039,2005-03-10,2005-03-13
3582,None,Duisburg,GER,2,1545.61877441,2005-03-14,2005-03-18
3583,None,Duisburg,GER,2,1541.60803223,2005-03-19,2005-04-04
3584,None,Duisburg,GER,2,1533.56140137,2005-04-05,2005-04-06
3585,None,Duisburg,GER,2,1531.76196289,2005-04-07,2005-04-10
3586,None,Duisburg,GER,2,1537.50891113,2005-04-11,2005-04-12
3587,None,Duisburg,GER,2,1537.19506836,2005-04-13,2005-04-18
3588,None,Duisburg,GER,2,1538.81286621,2005-04-19,2005-04-24
3589,None,Duisburg,GER,2,1531.04125977,2005-04-25,2005-05-01
3590,None,Duisburg,GER,2,1535.65917969,2005-05-02,2005-05-09
3591,None,Duisburg,GER,2,1547.08532715,2005-05-10,2005-05-15
3592,None,Duisburg,GER,2,1524.53466797,2005-05-16,2005-05-22
3593,None,Duisburg,GER,2,1514.20532227,2005-05-23,2005-07-02
3594,None,Duisburg,GER,1,1514.20532227,2005-07-03,2005-07-14
3595,None,Duisburg,GER,1,1514.27001953,2005-07-15,2005-07-28
3596,None,Duisburg,GER,1,1514.26623535,2005-07-29,2005-08-06
3597,None,Duisburg,GER,1,1517.4979248,2005-08-07,2005-08-10
3598,None,Duisburg,GER,1,1516.37060547,2005-08-11,2005-08-11
3599,None,Duisburg,GER,1,1516.55749512,2005-08-12,2005-08-13
3600,None,Duisburg,GER,1,1510.5682373,2005-08-14,2005-08-24
3601,None,Duisburg,GER,1,1514.45129395,2005-08-25,2005-08-25
3602,None,Duisburg,GER,1,1514.57849121,2005-08-26,2005-08-28
3603,None,Duisburg,GER,1,1517.73425293,2005-08-29,2005-09-10
3604,None,Duisburg,GER,1,1513.61425781,2005-09-11,2005-09-13
3605,None,Duisburg,GER,1,1512.60754395,2005-09-14,2005-09-14
3606,None,Duisburg,GER,1,1509.44445801,2005-09-15,2005-09-15
3607,None,Duisburg,GER,1,1505.11767578,2005-09-16,2005-09-18
3608,None,Duisburg,GER,1,1498.73388672,2005-09-19,2005-09-21
