,Rank,Club,Country,Level,Elo,From,To
4122,None,Frankfurt,GER,1,1544.42651367,2004-02-01,2004-02-07
4123,None,Frankfurt,GER,1,1557.96716309,2004-02-08,2004-02-14
4124,None,Frankfurt,GER,1,1556.96582031,2004-02-15,2004-02-22
4125,None,Frankfurt,GER,1,1568.50488281,2004-02-23,2004-02-24
4126,None,Frankfurt,GER,1,1567.80615234,2004-02-25,2004-02-25
4127,None,Frankfurt,GER,1,1565.44055176,2004-02-26,2004-02-28
4128,None,Frankfurt,GER,1,1575.13256836,2004-02-29,2004-03-06
4129,None,Frankfurt,GER,1,1569.36193848,2004-03-07,2004-03-09
4130,None,Frankfurt,GER,1,1569.26745605,2004-03-10,2004-03-10
4131,None,Frankfurt,GER,1,1567.97302246,2004-03-11,2004-03-13
4132,None,Frankfurt,GER,1,1583.59301758,2004-03-14,2004-03-20
4133,None,Frankfurt,GER,1,1578.29724121,2004-03-21,2004-03-27
4134,None,Frankfurt,GER,1,1560.96313477,2004-03-28,2004-04-03
4135,None,Frankfurt,GER,1,1550.59960938,2004-04-04,2004-04-10
4136,None,Frankfurt,GER,1,1546.39099121,2004-04-11,2004-04-17
4137,None,Frankfurt,GER,1,1543.3092041,2004-04-18,2004-04-24
4138,None,Frankfurt,GER,1,1554.71716309,2004-04-25,2004-05-01
4139,None,Frankfurt,GER,1,1550.14611816,2004-05-02,2004-05-08
4140,None,Frankfurt,GER,1,1541.69836426,2004-05-09,2004-05-15
4141,None,Frankfurt,GER,1,1551.09985352,2004-05-16,2004-05-22
4142,None,Frankfurt,GER,1,1547.22460938,2004-05-23,2004-07-03
4143,None,Frankfurt,GER,2,1547.22460938,2004-07-04,2004-08-09
4144,None,Frankfurt,GER,2,1547.59509277,2004-08-10,2004-08-11
4145,None,Frankfurt,GER,2,1551.3984375,2004-08-12,2004-08-15
4146,None,Frankfurt,GER,2,1554.56066895,2004-08-16,2004-08-25
4147,None,Frankfurt,GER,2,1554.15490723,2004-08-26,2004-08-30
4148,None,Frankfurt,GER,2,1543.99707031,2004-08-31,2004-09-10
4149,None,Frankfurt,GER,2,1546.95446777,2004-09-11,2004-09-14
4150,None,Frankfurt,GER,2,1544.05480957,2004-09-15,2004-09-15
4151,None,Frankfurt,GER,2,1551.17822266,2004-09-16,2004-09-16
4152,None,Frankfurt,GER,2,1554.21655273,2004-09-17,2004-09-19
4153,None,Frankfurt,GER,2,1537.01049805,2004-09-20,2004-09-26
4154,None,Frankfurt,GER,2,1544.33337402,2004-09-27,2004-09-28
4155,None,Frankfurt,GER,2,1544.48632812,2004-09-29,2004-09-29
4156,None,Frankfurt,GER,2,1548.33898926,2004-09-30,2004-09-30
4157,None,Frankfurt,GER,2,1544.12585449,2004-10-01,2004-10-01
4158,None,Frankfurt,GER,2,1542.32971191,2004-10-02,2004-10-18
4159,None,Frankfurt,GER,2,1531.92822266,2004-10-19,2004-10-19
