,Rank,Club,Country,Level,Elo,From,To
1890,None,Freiburg,GER,1,1591.29711914,2004-02-02,2004-02-07
1891,None,Freiburg,GER,1,1581.24621582,2004-02-08,2004-02-14
1892,None,Freiburg,GER,1,1571.7364502,2004-02-15,2004-02-21
1893,None,Freiburg,GER,1,1574.83093262,2004-02-22,2004-02-24
1894,None,Freiburg,GER,1,1574.13220215,2004-02-25,2004-02-25
1895,None,Freiburg,GER,1,1571.76660156,2004-02-26,2004-02-29
1896,None,Freiburg,GER,1,1578.26708984,2004-03-01,2004-03-06
1897,None,Freiburg,GER,1,1571.7668457,2004-03-07,2004-03-09
1898,None,Freiburg,GER,1,1571.67236328,2004-03-10,2004-03-10
1899,None,Freiburg,GER,1,1570.37780762,2004-03-11,2004-03-13
1900,None,Freiburg,GER,1,1571.45361328,2004-03-14,2004-03-21
1901,None,Freiburg,GER,1,1574.12390137,2004-03-22,2004-03-27
1902,None,Freiburg,GER,1,1581.9876709,2004-03-28,2004-04-04
1903,None,Freiburg,GER,1,1588.8248291,2004-04-05,2004-04-11
1904,None,Freiburg,GER,1,1582.94787598,2004-04-12,2004-04-17
1905,None,Freiburg,GER,1,1571.53881836,2004-04-18,2004-04-24
1906,None,Freiburg,GER,1,1560.13085938,2004-04-25,2004-05-01
1907,None,Freiburg,GER,1,1571.70739746,2004-05-02,2004-05-09
1908,None,Freiburg,GER,1,1565.96130371,2004-05-10,2004-05-15
1909,None,Freiburg,GER,1,1565.33435059,2004-05-16,2004-05-22
1910,None,Freiburg,GER,1,1562.77783203,2004-05-23,2004-08-07
1911,None,Freiburg,GER,1,1561.67260742,2004-08-08,2004-08-11
1912,None,Freiburg,GER,1,1565.47595215,2004-08-12,2004-08-15
1913,None,Freiburg,GER,1,1577.17626953,2004-08-16,2004-08-25
1914,None,Freiburg,GER,1,1576.77050781,2004-08-26,2004-08-28
1915,None,Freiburg,GER,1,1574.85400391,2004-08-29,2004-09-12
1916,None,Freiburg,GER,1,1578.04003906,2004-09-13,2004-09-14
1917,None,Freiburg,GER,1,1575.14025879,2004-09-15,2004-09-15
1918,None,Freiburg,GER,1,1582.26367188,2004-09-16,2004-09-16
1919,None,Freiburg,GER,1,1585.30200195,2004-09-17,2004-09-19
1920,None,Freiburg,GER,1,1586.1307373,2004-09-20,2004-09-25
1921,None,Freiburg,GER,1,1583.37451172,2004-09-26,2004-09-28
1922,None,Freiburg,GER,1,1583.52734375,2004-09-29,2004-09-29
1923,None,Freiburg,GER,1,1587.38012695,2004-09-30,2004-09-30
1924,None,Freiburg,GER,1,1583.16687012,2004-10-01,2004-10-02
1925,None,Freiburg,GER,1,1572.72644043,2004-10-03,2004-10-16
1926,None,Freiburg,GER,1,1562.84912109,2004-10-17,2004-10-19
1927,None,Freiburg,GER,1,1563.93115234,2004-10-20,2004-10-20
1928,None,Freiburg,GER,1,1567.5378418,2004-10-21,2004-10-21
1929,None,Freiburg,GER,1,1571.63903809,2004-10-22,2004-10-24
1930,None,Freiburg,GER,1,1588.40393066,2004-10-25,2004-10-27
1931,None,Freiburg,GER,1,1579.09094238,2004-10-28,2004-10-30
1932,None,Freiburg,GER,1,1566.94995117,2004-10-31,2004-11-02
1933,None,Freiburg,GER,1,1569.37524414,2004-11-03,2004-11-03
1934,None,Freiburg,GER,1,1566.89880371,2004-11-04,2004-11-04
1935,None,Freiburg,GER,1,1570.80249023,2004-11-05,2004-11-06
1936,None,Freiburg,GER,1,1567.18188477,2004-11-07,2004-11-13
1937,None,Freiburg,GER,1,1557.01330566,2004-11-14,2004-11-20
1938,None,Freiburg,GER,1,1553.00976562,2004-11-21,2004-11-23
1939,None,Freiburg,GER,1,1555.69946289,2004-11-24,2004-11-24
