,Rank,Club,Country,Level,Elo,From,To
1983,None,Fuerth,GER,2,1577.25695801,2005-01-24,2005-01-30
1984,None,Fuerth,GER,2,1581.11206055,2005-01-31,2005-02-06
1985,None,Fuerth,GER,2,1573.09020996,2005-02-07,2005-02-13
1986,None,Fuerth,GER,2,1567.86352539,2005-02-14,2005-02-16
1987,None,Fuerth,GER,2,1569.44921875,2005-02-17,2005-02-17
1988,None,Fuerth,GER,2,1569.1262207,2005-02-18,2005-02-20
1989,None,Fuerth,GER,2,1575.3840332,2005-02-21,2005-02-22
1990,None,Fuerth,GER,2,1575.53759766,2005-02-23,2005-02-23
1991,None,Fuerth,GER,2,1569.72314453,2005-02-24,2005-02-24
1992,None,Fuerth,GER,2,1553.37365723,2005-02-25,2005-02-28
1993,None,Fuerth,GER,2,1537.51428223,2005-03-01,2005-03-06
1994,None,Fuerth,GER,2,1527.1652832,2005-03-07,2005-03-08
1995,None,Fuerth,GER,2,1524.84106445,2005-03-09,2005-03-09
1996,None,Fuerth,GER,2,1521.71740723,2005-03-10,2005-03-21
1997,None,Fuerth,GER,2,1516.61022949,2005-03-22,2005-04-03
1998,None,Fuerth,GER,2,1520.22570801,2005-04-04,2005-04-06
1999,None,Fuerth,GER,2,1514.31176758,2005-04-07,2005-04-11
2000,None,Fuerth,GER,2,1509.87231445,2005-04-12,2005-04-12
2001,None,Fuerth,GER,2,1509.55847168,2005-04-13,2005-04-15
2002,None,Fuerth,GER,2,1496.84240723,2005-04-16,2005-04-24
2003,None,Fuerth,GER,2,1488.84655762,2005-04-25,2005-04-29
2004,None,Fuerth,GER,2,1492.59716797,2005-04-30,2005-05-08
2005,None,Fuerth,GER,2,1504.23046875,2005-05-09,2005-05-15
2006,None,Fuerth,GER,2,1495.33190918,2005-05-16,2005-05-22
2007,None,Fuerth,GER,2,1506.05981445,2005-05-23,2005-07-14
2008,None,Fuerth,GER,2,1506.12463379,2005-07-15,2005-07-28
2009,None,Fuerth,GER,2,1506.12084961,2005-07-29,2005-08-06
2010,None,Fuerth,GER,2,1512.71533203,2005-08-07,2005-08-10
2011,None,Fuerth,GER,2,1511.5880127,2005-08-11,2005-08-11
2012,None,Fuerth,GER,2,1511.77490234,2005-08-12,2005-08-14
2013,None,Fuerth,GER,2,1503.20666504,2005-08-15,2005-08-24
