,Rank,Club,Country,Level,Elo,From,To
3631,None,Gladbach,GER,1,1627.82434082,2005-01-23,2005-01-29
3632,None,Gladbach,GER,1,1632.55895996,2005-01-30,2005-02-06
3633,None,Gladbach,GER,1,1636.73608398,2005-02-07,2005-02-12
3634,None,Gladbach,GER,1,1633.66687012,2005-02-13,2005-02-16
3635,None,Gladbach,GER,1,1635.25244141,2005-02-17,2005-02-17
3636,None,Gladbach,GER,1,1634.92956543,2005-02-18,2005-02-20
3637,None,Gladbach,GER,1,1624.07189941,2005-02-21,2005-02-22
3638,None,Gladbach,GER,1,1624.2253418,2005-02-23,2005-02-23
3639,None,Gladbach,GER,1,1618.41101074,2005-02-24,2005-02-24
3640,None,Gladbach,GER,1,1602.06152344,2005-02-25,2005-02-26
3641,None,Gladbach,GER,1,1603.30554199,2005-02-27,2005-03-05
3642,None,Gladbach,GER,1,1609.79138184,2005-03-06,2005-03-08
3643,None,Gladbach,GER,1,1607.46716309,2005-03-09,2005-03-09
3644,None,Gladbach,GER,1,1604.34350586,2005-03-10,2005-03-12
3645,None,Gladbach,GER,1,1599.1706543,2005-03-13,2005-03-19
3646,None,Gladbach,GER,1,1593.66186523,2005-03-20,2005-04-03
3647,None,Gladbach,GER,1,1590.98608398,2005-04-04,2005-04-06
3648,None,Gladbach,GER,1,1589.18676758,2005-04-07,2005-04-09
3649,None,Gladbach,GER,1,1587.51953125,2005-04-10,2005-04-12
3650,None,Gladbach,GER,1,1587.20581055,2005-04-13,2005-04-16
3651,None,Gladbach,GER,1,1583.5,2005-04-17,2005-04-24
3652,None,Gladbach,GER,1,1586.36962891,2005-04-25,2005-04-30
3653,None,Gladbach,GER,1,1600.31091309,2005-05-01,2005-05-08
3654,None,Gladbach,GER,1,1605.0579834,2005-05-09,2005-05-14
3655,None,Gladbach,GER,1,1606.07763672,2005-05-15,2005-05-21
3656,None,Gladbach,GER,1,1599.99267578,2005-05-22,2005-07-14
3657,None,Gladbach,GER,1,1600.05749512,2005-07-15,2005-07-28
3658,None,Gladbach,GER,1,1600.05371094,2005-07-29,2005-08-05
3659,None,Gladbach,GER,1,1597.27990723,2005-08-06,2005-08-10
3660,None,Gladbach,GER,1,1596.15270996,2005-08-11,2005-08-11
3661,None,Gladbach,GER,1,1596.33959961,2005-08-12,2005-08-13
3662,None,Gladbach,GER,1,1594.73840332,2005-08-14,2005-08-24
3663,None,Gladbach,GER,1,1598.62145996,2005-08-25,2005-08-25
3664,None,Gladbach,GER,1,1598.74865723,2005-08-26,2005-08-27
3665,None,Gladbach,GER,1,1604.08666992,2005-08-28,2005-09-10
3666,None,Gladbach,GER,1,1608.20678711,2005-09-11,2005-09-13
3667,None,Gladbach,GER,1,1607.20007324,2005-09-14,2005-09-14
3668,None,Gladbach,GER,1,1604.0369873,2005-09-15,2005-09-15
3669,None,Gladbach,GER,1,1599.71008301,2005-09-16,2005-09-17
