,Rank,Club,Country,Level,Elo,From,To
3328,100,Hannover,GER,1,1623.86474609,2004-02-02,2004-02-08
3329,None,Hannover,GER,1,1620.88220215,2004-02-09,2004-02-14
3330,None,Hannover,GER,1,1620.42578125,2004-02-15,2004-02-21
3331,None,Hannover,GER,1,1611.6583252,2004-02-22,2004-02-24
3332,None,Hannover,GER,1,1610.95959473,2004-02-25,2004-02-25
3333,None,Hannover,GER,1,1608.59399414,2004-02-26,2004-02-29
3334,None,Hannover,GER,1,1594.45056152,2004-03-01,2004-03-06
3335,None,Hannover,GER,1,1588.41369629,2004-03-07,2004-03-09
3336,None,Hannover,GER,1,1588.31921387,2004-03-10,2004-03-10
3337,None,Hannover,GER,1,1587.0246582,2004-03-11,2004-03-13
3338,None,Hannover,GER,1,1577.35168457,2004-03-14,2004-03-20
3339,None,Hannover,GER,1,1582.09655762,2004-03-21,2004-03-27
3340,None,Hannover,GER,1,1582.89929199,2004-03-28,2004-04-03
3341,None,Hannover,GER,1,1597.26867676,2004-04-04,2004-04-11
3342,None,Hannover,GER,1,1601.30957031,2004-04-12,2004-04-18
3343,None,Hannover,GER,1,1607.84313965,2004-04-19,2004-04-24
3344,None,Hannover,GER,1,1601.70935059,2004-04-25,2004-05-01
3345,None,Hannover,GER,1,1590.13293457,2004-05-02,2004-05-08
3346,None,Hannover,GER,1,1598.58068848,2004-05-09,2004-05-15
3347,None,Hannover,GER,1,1596.2956543,2004-05-16,2004-05-22
3348,None,Hannover,GER,1,1590.97351074,2004-05-23,2004-08-07
3349,None,Hannover,GER,1,1588.45678711,2004-08-08,2004-08-11
3350,None,Hannover,GER,1,1592.26013184,2004-08-12,2004-08-25
3351,None,Hannover,GER,1,1591.85437012,2004-08-26,2004-08-29
3352,None,Hannover,GER,1,1597.21337891,2004-08-30,2004-09-12
3353,None,Hannover,GER,1,1594.02734375,2004-09-13,2004-09-14
3354,None,Hannover,GER,1,1591.12768555,2004-09-15,2004-09-15
3355,None,Hannover,GER,1,1598.25109863,2004-09-16,2004-09-16
3356,None,Hannover,GER,1,1601.28942871,2004-09-17,2004-09-18
3357,None,Hannover,GER,1,1596.69555664,2004-09-19,2004-09-25
3358,None,Hannover,GER,1,1603.8828125,2004-09-26,2004-09-28
3359,None,Hannover,GER,1,1592.40966797,2004-09-29,2004-09-29
3360,None,Hannover,GER,1,1596.26245117,2004-09-30,2004-09-30
3361,None,Hannover,GER,1,1592.04919434,2004-10-01,2004-10-02
3362,None,Hannover,GER,1,1607.63928223,2004-10-03,2004-10-17
3363,None,Hannover,GER,1,1619.78442383,2004-10-18,2004-10-19
3364,None,Hannover,GER,1,1620.86645508,2004-10-20,2004-10-20
