,Rank,Club,Country,Level,Elo,From,To
0,None,Heidenheim,GER,2,1397.40576172,2014-07-01,2014-07-31
1,None,Heidenheim,GER,2,1397.76647949,2014-08-01,2014-08-03
2,None,Heidenheim,GER,2,1406.02990723,2014-08-04,2014-08-07
3,None,Heidenheim,GER,2,1397.97058105,2014-08-08,2014-08-09
4,None,Heidenheim,GER,2,1391.80249023,2014-08-10,2014-08-19
5,None,Heidenheim,GER,2,1392.63220215,2014-08-20,2014-08-21
6,None,Heidenheim,GER,2,1392.75683594,2014-08-22,2014-08-22
7,None,Heidenheim,GER,2,1393.05883789,2014-08-23,2014-08-27
8,None,Heidenheim,GER,2,1393.78186035,2014-08-28,2014-08-28
9,None,Heidenheim,GER,2,1394.0300293,2014-08-29,2014-08-30
10,None,Heidenheim,GER,2,1398.50158691,2014-08-31,2014-09-14
11,None,Heidenheim,GER,2,1409.82592773,2014-09-15,2014-09-16
12,None,Heidenheim,GER,2,1409.1373291,2014-09-17,2014-09-17
13,None,Heidenheim,GER,2,1412.56750488,2014-09-18,2014-09-18
14,None,Heidenheim,GER,2,1409.26037598,2014-09-19,2014-09-21
15,None,Heidenheim,GER,2,1405.6427002,2014-09-22,2014-09-24
16,None,Heidenheim,GER,2,1423.32568359,2014-09-25,2014-09-28
17,None,Heidenheim,GER,2,1439.89587402,2014-09-29,2014-09-30
18,None,Heidenheim,GER,2,1438.07226562,2014-10-01,2014-10-01
19,None,Heidenheim,GER,2,1444.08728027,2014-10-02,2014-10-02
20,None,Heidenheim,GER,2,1441.53979492,2014-10-03,2014-10-06
21,None,Heidenheim,GER,2,1443.58703613,2014-10-07,2014-10-17
22,None,Heidenheim,GER,2,1444.89575195,2014-10-18,2014-10-21
23,None,Heidenheim,GER,2,1449.73791504,2014-10-22,2014-10-22
24,None,Heidenheim,GER,2,1456.24108887,2014-10-23,2014-10-23
25,None,Heidenheim,GER,2,1460.47570801,2014-10-24,2014-10-26
26,None,Heidenheim,GER,2,1455.98352051,2014-10-27,2014-11-01
27,None,Heidenheim,GER,2,1454.15393066,2014-11-02,2014-11-04
28,None,Heidenheim,GER,2,1458.56066895,2014-11-05,2014-11-05
29,None,Heidenheim,GER,2,1454.4395752,2014-11-06,2014-11-06
30,None,Heidenheim,GER,2,1457.53027344,2014-11-07,2014-11-08
31,None,Heidenheim,GER,2,1473.96496582,2014-11-09,2014-11-21
32,None,Heidenheim,GER,2,1483.11437988,2014-11-22,2014-11-25
33,None,Heidenheim,GER,2,1475.02062988,2014-11-26,2014-11-26
34,None,Heidenheim,GER,2,1467.5559082,2014-11-27,2014-11-27
35,None,Heidenheim,GER,2,1464.02001953,2014-11-28,2014-11-28
36,None,Heidenheim,GER,2,1467.4206543,2014-11-29,2014-12-05
37,None,Heidenheim,GER,2,1456.62585449,2014-12-06,2014-12-09
38,None,Heidenheim,GER,2,1455.28845215,2014-12-10,2014-12-10
39,None,Heidenheim,GER,2,1456.99963379,2014-12-11,2014-12-11
40,None,Heidenheim,GER,2,1461.9921875,2014-12-12,2014-12-12
41,None,Heidenheim,GER,2,1462.04064941,2014-12-13,2014-12-16
42,None,Heidenheim,GER,2,1452.28015137,2014-12-17,2014-12-19
43,None,Heidenheim,GER,2,1445.28137207,2014-12-20,2015-02-09
44,None,Heidenheim,GER,2,1454.77185059,2015-02-10,2015-02-13
45,None,Heidenheim,GER,2,1447.31164551,2015-02-14,2015-02-17
46,None,Heidenheim,GER,2,1446.81213379,2015-02-18,2015-02-18
47,None,Heidenheim,GER,2,1446.05322266,2015-02-19,2015-02-19
48,None,Heidenheim,GER,2,1446.57727051,2015-02-20,2015-02-22
49,None,Heidenheim,GER,2,1437.68603516,2015-02-23,2015-02-24
50,None,Heidenheim,GER,2,1436.79040527,2015-02-25,2015-02-25
51,None,Heidenheim,GER,2,1439.04467773,2015-02-26,2015-02-26
52,None,Heidenheim,GER,2,1436.67944336,2015-02-27,2015-03-01
53,None,Heidenheim,GER,2,1429.33642578,2015-03-02,2015-03-06
54,None,Heidenheim,GER,2,1441.59790039,2015-03-07,2015-03-10
55,None,Heidenheim,GER,2,1441.8380127,2015-03-11,2015-03-11
56,None,Heidenheim,GER,2,1443.93408203,2015-03-12,2015-03-12
57,None,Heidenheim,GER,2,1445.48596191,2015-03-13,2015-03-13
58,None,Heidenheim,GER,2,1434.15637207,2015-03-14,2015-03-17
59,None,Heidenheim,GER,2,1434.19360352,2015-03-18,2015-03-18
60,None,Heidenheim,GER,2,1430.22070312,2015-03-19,2015-03-19
61,None,Heidenheim,GER,2,1431.09875488,2015-03-20,2015-03-22
62,None,Heidenheim,GER,2,1438.59204102,2015-03-23,2015-04-04
63,None,Heidenheim,GER,2,1430.92382812,2015-04-05,2015-04-10
64,None,Heidenheim,GER,2,1424.28161621,2015-04-11,2015-04-15
65,None,Heidenheim,GER,2,1419.87744141,2015-04-16,2015-04-16
66,None,Heidenheim,GER,2,1412.36694336,2015-04-17,2015-04-19
67,None,Heidenheim,GER,2,1416.27954102,2015-04-20,2015-04-21
68,None,Heidenheim,GER,2,1423.13916016,2015-04-22,2015-04-23
69,None,Heidenheim,GER,2,1422.99523926,2015-04-24,2015-04-26
70,None,Heidenheim,GER,2,1429.51159668,2015-04-27,2015-05-03
71,None,Heidenheim,GER,2,1431.57958984,2015-05-04,2015-05-06
72,None,Heidenheim,GER,2,1427.48754883,2015-05-07,2015-05-10
73,None,Heidenheim,GER,2,1440.59338379,2015-05-11,2015-05-12
74,None,Heidenheim,GER,2,1441.09277344,2015-05-13,2015-05-17
75,None,Heidenheim,GER,2,1454.63830566,2015-05-18,2015-05-24
