,Rank,Club,Country,Level,Elo,From,To
3693,44,Hertha,GER,1,1722.70495605,2005-01-10,2005-01-15
3694,43,Hertha,GER,1,1722.70495605,2005-01-16,2005-01-22
3695,44,Hertha,GER,1,1722.70495605,2005-01-23,2005-01-23
3696,42,Hertha,GER,1,1723.33032227,2005-01-24,2005-01-29
3697,41,Hertha,GER,1,1723.33032227,2005-01-30,2005-01-30
3698,40,Hertha,GER,1,1723.86547852,2005-01-31,2005-02-01
3699,39,Hertha,GER,1,1723.86547852,2005-02-02,2005-02-05
3700,34,Hertha,GER,1,1736.37219238,2005-02-06,2005-02-06
3701,33,Hertha,GER,1,1736.37219238,2005-02-07,2005-02-12
3702,33,Hertha,GER,1,1739.56469727,2005-02-13,2005-02-16
3703,32,Hertha,GER,1,1741.15039062,2005-02-17,2005-02-17
3704,33,Hertha,GER,1,1740.82739258,2005-02-18,2005-02-19
3705,34,Hertha,GER,1,1740.82739258,2005-02-20,2005-02-20
3706,34,Hertha,GER,1,1735.78320312,2005-02-21,2005-02-22
3707,33,Hertha,GER,1,1735.93676758,2005-02-23,2005-02-23
3708,35,Hertha,GER,1,1730.12231445,2005-02-24,2005-02-24
3709,42,Hertha,GER,1,1713.77282715,2005-02-25,2005-02-26
3710,38,Hertha,GER,1,1722.97119141,2005-02-27,2005-02-27
3711,37,Hertha,GER,1,1722.97119141,2005-02-28,2005-03-05
3712,36,Hertha,GER,1,1722.97119141,2005-03-06,2005-03-06
3713,42,Hertha,GER,1,1718.04418945,2005-03-07,2005-03-07
3714,43,Hertha,GER,1,1718.04418945,2005-03-08,2005-03-08
3715,44,Hertha,GER,1,1715.7199707,2005-03-09,2005-03-09
3716,46,Hertha,GER,1,1712.59631348,2005-03-10,2005-03-12
3717,44,Hertha,GER,1,1716.28540039,2005-03-13,2005-03-13
3718,43,Hertha,GER,1,1716.28540039,2005-03-14,2005-03-16
3719,45,Hertha,GER,1,1716.28540039,2005-03-17,2005-03-18
3720,44,Hertha,GER,1,1716.28540039,2005-03-19,2005-03-19
3721,38,Hertha,GER,1,1721.66418457,2005-03-20,2005-03-20
3722,37,Hertha,GER,1,1721.66418457,2005-03-21,2005-04-02
3723,36,Hertha,GER,1,1721.66418457,2005-04-03,2005-04-03
3724,40,Hertha,GER,1,1715.25927734,2005-04-04,2005-04-06
3725,41,Hertha,GER,1,1713.45983887,2005-04-07,2005-04-09
3726,38,Hertha,GER,1,1716.22912598,2005-04-10,2005-04-10
3727,40,Hertha,GER,1,1716.22912598,2005-04-11,2005-04-12
3728,41,Hertha,GER,1,1715.9152832,2005-04-13,2005-04-14
3729,42,Hertha,GER,1,1715.9152832,2005-04-15,2005-04-16
3730,31,Hertha,GER,1,1727.73522949,2005-04-17,2005-04-17
3731,32,Hertha,GER,1,1727.73522949,2005-04-18,2005-04-18
3732,33,Hertha,GER,1,1727.73522949,2005-04-19,2005-04-20
3733,32,Hertha,GER,1,1727.73522949,2005-04-21,2005-04-22
3734,33,Hertha,GER,1,1727.73522949,2005-04-23,2005-04-23
3735,25,Hertha,GER,1,1737.08947754,2005-04-24,2005-04-24
3736,27,Hertha,GER,1,1737.08947754,2005-04-25,2005-04-30
3737,35,Hertha,GER,1,1726.9699707,2005-05-01,2005-05-01
3738,37,Hertha,GER,1,1726.9699707,2005-05-02,2005-05-04
3739,38,Hertha,GER,1,1726.9699707,2005-05-05,2005-05-05
3740,37,Hertha,GER,1,1726.9699707,2005-05-06,2005-05-07
3741,32,Hertha,GER,1,1731.9362793,2005-05-08,2005-05-14
3742,31,Hertha,GER,1,1730.91662598,2005-05-15,2005-05-15
3743,30,Hertha,GER,1,1730.91662598,2005-05-16,2005-05-18
3744,29,Hertha,GER,1,1730.91662598,2005-05-19,2005-05-21
3745,33,Hertha,GER,1,1725.64526367,2005-05-22,2005-05-22
3746,32,Hertha,GER,1,1725.64526367,2005-05-23,2005-05-28
3747,31,Hertha,GER,1,1725.64526367,2005-05-29,2005-05-29
3748,32,Hertha,GER,1,1725.64526367,2005-05-30,2005-07-09
3749,33,Hertha,GER,1,1725.64526367,2005-07-10,2005-07-14
3750,33,Hertha,GER,1,1725.71008301,2005-07-15,2005-07-17
3751,32,Hertha,GER,1,1725.71008301,2005-07-18,2005-07-23
3752,33,Hertha,GER,1,1725.71008301,2005-07-24,2005-07-26
3753,32,Hertha,GER,1,1725.71008301,2005-07-27,2005-07-28
3754,32,Hertha,GER,1,1725.70629883,2005-07-29,2005-07-29
3755,33,Hertha,GER,1,1725.70629883,2005-07-30,2005-08-06
3756,33,Hertha,GER,1,1725.05480957,2005-08-07,2005-08-09
3757,32,Hertha,GER,1,1725.05480957,2005-08-10,2005-08-10
3758,33,Hertha,GER,1,1723.92749023,2005-08-11,2005-08-11
3759,33,Hertha,GER,1,1724.11437988,2005-08-12,2005-08-13
3760,31,Hertha,GER,1,1728.27429199,2005-08-14,2005-08-20
3761,32,Hertha,GER,1,1728.27429199,2005-08-21,2005-08-21
3762,31,Hertha,GER,1,1728.27429199,2005-08-22,2005-08-24
3763,32,Hertha,GER,1,1732.15734863,2005-08-25,2005-08-25
3764,32,Hertha,GER,1,1732.2845459,2005-08-26,2005-08-27
3765,31,Hertha,GER,1,1727.31286621,2005-08-28,2005-09-10
3766,32,Hertha,GER,1,1727.31286621,2005-09-11,2005-09-11
3767,29,Hertha,GER,1,1734.42114258,2005-09-12,2005-09-13
3768,29,Hertha,GER,1,1733.41455078,2005-09-14,2005-09-14
3769,29,Hertha,GER,1,1730.25146484,2005-09-15,2005-09-15
3770,30,Hertha,GER,1,1727.37084961,2005-09-16,2005-09-18
3771,30,Hertha,GER,1,1729.07678223,2005-09-19,2005-09-21
3772,29,Hertha,GER,1,1731.03271484,2005-09-22,2005-09-25
3773,25,Hertha,GER,1,1737.19213867,2005-09-26,2005-09-27
3774,25,Hertha,GER,1,1734.7746582,2005-09-28,2005-09-28
3775,25,Hertha,GER,1,1735.61315918,2005-09-29,2005-09-29
3776,30,Hertha,GER,1,1733.0838623,2005-09-30,2005-10-01
3777,35,Hertha,GER,1,1723.79333496,2005-10-02,2005-10-02
3778,36,Hertha,GER,1,1723.79333496,2005-10-03,2005-10-15
3779,49,Hertha,GER,1,1705.08056641,2005-10-16,2005-10-16
3780,50,Hertha,GER,1,1705.08056641,2005-10-17,2005-10-18
3781,47,Hertha,GER,1,1708.46533203,2005-10-19,2005-10-19
3782,48,Hertha,GER,1,1709.53259277,2005-10-20,2005-10-20
3783,36,Hertha,GER,1,1723.80786133,2005-10-21,2005-10-22
3784,32,Hertha,GER,1,1728.34814453,2005-10-23,2005-10-27
3785,33,Hertha,GER,1,1728.34814453,2005-10-28,2005-10-29
3786,33,Hertha,GER,1,1730.41882324,2005-10-30,2005-10-30
3787,32,Hertha,GER,1,1730.41882324,2005-10-31,2005-11-01
3788,32,Hertha,GER,1,1733.1003418,2005-11-02,2005-11-02
3789,33,Hertha,GER,1,1732.61633301,2005-11-03,2005-11-03
3790,39,Hertha,GER,1,1727.98864746,2005-11-04,2005-11-05
3791,36,Hertha,GER,1,1732.70581055,2005-11-06,2005-11-06
3792,34,Hertha,GER,1,1732.70581055,2005-11-07,2005-11-07
3793,35,Hertha,GER,1,1732.70581055,2005-11-08,2005-11-19
3794,41,Hertha,GER,1,1723.36401367,2005-11-20,2005-11-22
3795,42,Hertha,GER,1,1722.68737793,2005-11-23,2005-11-23
3796,39,Hertha,GER,1,1727.93737793,2005-11-24,2005-11-24
3797,43,Hertha,GER,1,1723.09521484,2005-11-25,2005-11-26
3798,42,Hertha,GER,1,1723.09521484,2005-11-27,2005-11-27
3799,46,Hertha,GER,1,1718.64550781,2005-11-28,2005-11-30
3800,43,Hertha,GER,1,1723.09350586,2005-12-01,2005-12-01
3801,41,Hertha,GER,1,1723.09350586,2005-12-02,2005-12-03
