,Rank,Club,Country,Level,Elo,From,To
1231,None,Holstein,GER,2,1403.20202637,2017-07-01,2017-07-27
1232,None,Holstein,GER,2,1403.18066406,2017-07-28,2017-07-30
1233,None,Holstein,GER,2,1402.63049316,2017-07-31,2017-08-03
1234,None,Holstein,GER,2,1393.70544434,2017-08-04,2017-08-04
1235,None,Holstein,GER,2,1390.40795898,2017-08-05,2017-08-15
1236,None,Holstein,GER,2,1387.7232666,2017-08-16,2017-08-20
1237,None,Holstein,GER,2,1398.25402832,2017-08-21,2017-08-23
1238,None,Holstein,GER,2,1396.65002441,2017-08-24,2017-08-26
1239,None,Holstein,GER,2,1406.21704102,2017-08-27,2017-09-09
1240,None,Holstein,GER,2,1413.47607422,2017-09-10,2017-09-12
1241,None,Holstein,GER,2,1414.08422852,2017-09-13,2017-09-13
1242,None,Holstein,GER,2,1412.19775391,2017-09-14,2017-09-14
1243,None,Holstein,GER,2,1406.44995117,2017-09-15,2017-09-15
1244,None,Holstein,GER,2,1423.62390137,2017-09-16,2017-09-19
1245,None,Holstein,GER,2,1415.69824219,2017-09-20,2017-09-22
1246,None,Holstein,GER,2,1428.35144043,2017-09-23,2017-09-26
1247,None,Holstein,GER,2,1423.19946289,2017-09-27,2017-09-27
1248,None,Holstein,GER,2,1418.97436523,2017-09-28,2017-09-28
1249,None,Holstein,GER,2,1407.64147949,2017-09-29,2017-09-30
1250,None,Holstein,GER,2,1419.63977051,2017-10-01,2017-10-15
1251,None,Holstein,GER,2,1432.21728516,2017-10-16,2017-10-17
1252,None,Holstein,GER,2,1433.44128418,2017-10-18,2017-10-18
1253,None,Holstein,GER,2,1434.10095215,2017-10-19,2017-10-19
1254,None,Holstein,GER,2,1430.18408203,2017-10-20,2017-10-21
1255,None,Holstein,GER,2,1436.6348877,2017-10-22,2017-10-28
1256,None,Holstein,GER,2,1439.47814941,2017-10-29,2017-10-31
1257,None,Holstein,GER,2,1440.53735352,2017-11-01,2017-11-01
1258,None,Holstein,GER,2,1436.03088379,2017-11-02,2017-11-02
1259,None,Holstein,GER,2,1440.35644531,2017-11-03,2017-11-05
1260,None,Holstein,GER,2,1450.5723877,2017-11-06,2017-11-18
1261,None,Holstein,GER,2,1452.54418945,2017-11-19,2017-11-21
1262,None,Holstein,GER,2,1457.82714844,2017-11-22,2017-11-22
1263,None,Holstein,GER,2,1458.7130127,2017-11-23,2017-11-23
1264,None,Holstein,GER,2,1457.67700195,2017-11-24,2017-11-25
1265,None,Holstein,GER,2,1458.80627441,2017-11-26,2017-12-02
1266,None,Holstein,GER,2,1456.83410645,2017-12-03,2017-12-05
1267,None,Holstein,GER,2,1459.10681152,2017-12-06,2017-12-06
1268,None,Holstein,GER,2,1455.05969238,2017-12-07,2017-12-07
1269,None,Holstein,GER,2,1449.48852539,2017-12-08,2017-12-08
1270,None,Holstein,GER,2,1452.19470215,2017-12-09,2017-12-17
1271,None,Holstein,GER,2,1441.94921875,2017-12-18,2018-01-23
1272,None,Holstein,GER,2,1441.13769531,2018-01-24,2018-01-27
1273,None,Holstein,GER,2,1441.46020508,2018-01-28,2018-02-03
1274,None,Holstein,GER,2,1438.84729004,2018-02-04,2018-02-09
1275,None,Holstein,GER,2,1426.9206543,2018-02-10,2018-02-15
1276,None,Holstein,GER,2,1434.76159668,2018-02-16,2018-02-17
1277,None,Holstein,GER,2,1431.24511719,2018-02-18,2018-02-20
1278,None,Holstein,GER,2,1432.66247559,2018-02-21,2018-02-22
1279,None,Holstein,GER,2,1432.51257324,2018-02-23,2018-02-25
1280,None,Holstein,GER,2,1426.38635254,2018-02-26,2018-03-03
1281,None,Holstein,GER,2,1441.02392578,2018-03-04,2018-03-08
1282,None,Holstein,GER,2,1438.79467773,2018-03-09,2018-03-10
1283,None,Holstein,GER,2,1439.86206055,2018-03-11,2018-03-14
1284,None,Holstein,GER,2,1440.30651855,2018-03-15,2018-03-15
1285,None,Holstein,GER,2,1442.84057617,2018-03-16,2018-03-16
1286,None,Holstein,GER,2,1448.87988281,2018-03-17,2018-04-01
1287,None,Holstein,GER,2,1450.36206055,2018-04-02,2018-04-03
1288,None,Holstein,GER,2,1451.42199707,2018-04-04,2018-04-05
1289,None,Holstein,GER,2,1453.05004883,2018-04-06,2018-04-07
1290,None,Holstein,GER,2,1451.31176758,2018-04-08,2018-04-11
1291,None,Holstein,GER,2,1451.0838623,2018-04-12,2018-04-12
1292,None,Holstein,GER,2,1444.48278809,2018-04-13,2018-04-14
1293,None,Holstein,GER,2,1462.01245117,2018-04-15,2018-04-23
1294,None,Holstein,GER,2,1449.55065918,2018-04-24,2018-04-25
1295,None,Holstein,GER,2,1446.5670166,2018-04-26,2018-04-29
1296,None,Holstein,GER,2,1468.14904785,2018-04-30,2018-05-01
1297,None,Holstein,GER,2,1468.14318848,2018-05-02,2018-05-06
1298,None,Holstein,GER,2,1469.86364746,2018-05-07,2018-05-13
1299,None,Holstein,GER,2,1481.31274414,2018-05-14,2018-05-17
1300,None,Holstein,GER,2,1475.12194824,2018-05-18,2018-05-21
1301,None,Holstein,GER,2,1471.25219727,2018-05-22,2018-07-26
1302,None,Holstein,GER,2,1472.42199707,2018-07-27,2018-08-02
1303,None,Holstein,GER,2,1472.39855957,2018-08-03,2018-08-03
1304,None,Holstein,GER,2,1493.39306641,2018-08-04,2018-08-09
1305,None,Holstein,GER,2,1494.04443359,2018-08-10,2018-08-12
1306,None,Holstein,GER,2,1490.28137207,2018-08-13,2018-08-16
1307,None,Holstein,GER,2,1490.63220215,2018-08-17,2018-08-23
1308,None,Holstein,GER,2,1490.4609375,2018-08-24,2018-08-26
1309,None,Holstein,GER,2,1489.75012207,2018-08-27,2018-08-30
1310,None,Holstein,GER,2,1491.03808594,2018-08-31,2018-09-03
1311,None,Holstein,GER,2,1494.62768555,2018-09-04,2018-09-15
1312,None,Holstein,GER,2,1480.30627441,2018-09-16,2018-09-18
1313,None,Holstein,GER,2,1482.36572266,2018-09-19,2018-09-19
1314,None,Holstein,GER,2,1486.56896973,2018-09-20,2018-09-20
1315,None,Holstein,GER,2,1490.25756836,2018-09-21,2018-09-22
1316,None,Holstein,GER,2,1488.31616211,2018-09-23,2018-09-25
1317,None,Holstein,GER,2,1479.3762207,2018-09-26,2018-09-28
