,Rank,Club,Country,Level,Elo,From,To
440,None,Ingolstadt,GER,2,1383.28930664,2008-07-01,2008-07-17
441,None,Ingolstadt,GER,2,1383.70666504,2008-07-18,2008-07-31
442,None,Ingolstadt,GER,2,1383.74145508,2008-08-01,2008-08-13
443,None,Ingolstadt,GER,2,1385.69213867,2008-08-14,2008-08-14
444,None,Ingolstadt,GER,2,1385.77441406,2008-08-15,2008-08-17
445,None,Ingolstadt,GER,2,1394.46008301,2008-08-18,2008-08-24
446,None,Ingolstadt,GER,2,1387.84228516,2008-08-25,2008-08-27
447,None,Ingolstadt,GER,2,1379.98803711,2008-08-28,2008-08-28
448,None,Ingolstadt,GER,2,1380.67565918,2008-08-29,2008-08-29
449,None,Ingolstadt,GER,2,1370.43701172,2008-08-30,2008-09-12
450,None,Ingolstadt,GER,2,1367.1685791,2008-09-13,2008-09-16
451,None,Ingolstadt,GER,2,1366.28625488,2008-09-17,2008-09-17
452,None,Ingolstadt,GER,2,1368.71044922,2008-09-18,2008-09-18
453,None,Ingolstadt,GER,2,1364.14660645,2008-09-19,2008-09-21
454,None,Ingolstadt,GER,2,1370.99829102,2008-09-22,2008-09-28
455,None,Ingolstadt,GER,2,1374.15197754,2008-09-29,2008-09-30
456,None,Ingolstadt,GER,2,1373.71728516,2008-10-01,2008-10-01
457,None,Ingolstadt,GER,2,1375.70446777,2008-10-02,2008-10-02
458,None,Ingolstadt,GER,2,1385.01928711,2008-10-03,2008-10-05
459,None,Ingolstadt,GER,2,1398.43408203,2008-10-06,2008-10-19
460,None,Ingolstadt,GER,2,1391.27075195,2008-10-20,2008-10-21
461,None,Ingolstadt,GER,2,1394.43859863,2008-10-22,2008-10-22
462,None,Ingolstadt,GER,2,1394.11193848,2008-10-23,2008-10-23
463,None,Ingolstadt,GER,2,1395.70825195,2008-10-24,2008-10-24
464,None,Ingolstadt,GER,2,1385.42602539,2008-10-25,2008-10-28
465,None,Ingolstadt,GER,2,1388.34765625,2008-10-29,2008-11-02
466,None,Ingolstadt,GER,2,1407.8392334,2008-11-03,2008-11-04
467,None,Ingolstadt,GER,2,1399.86083984,2008-11-05,2008-11-05
468,None,Ingolstadt,GER,2,1400.5534668,2008-11-06,2008-11-06
469,None,Ingolstadt,GER,2,1404.92248535,2008-11-07,2008-11-09
470,None,Ingolstadt,GER,2,1429.92333984,2008-11-10,2008-11-16
471,None,Ingolstadt,GER,2,1418.19104004,2008-11-17,2008-11-21
472,None,Ingolstadt,GER,2,1408.40209961,2008-11-22,2008-11-25
473,None,Ingolstadt,GER,2,1409.41296387,2008-11-26,2008-11-26
474,None,Ingolstadt,GER,2,1408.75134277,2008-11-27,2008-11-27
475,None,Ingolstadt,GER,2,1403.75585938,2008-11-28,2008-11-30
476,None,Ingolstadt,GER,2,1398.74243164,2008-12-01,2008-12-03
477,None,Ingolstadt,GER,2,1391.93713379,2008-12-04,2008-12-04
478,None,Ingolstadt,GER,2,1398.01831055,2008-12-05,2008-12-05
479,None,Ingolstadt,GER,2,1394.21252441,2008-12-06,2008-12-09
480,None,Ingolstadt,GER,2,1397.74365234,2008-12-10,2008-12-10
481,None,Ingolstadt,GER,2,1400.97497559,2008-12-11,2008-12-12
482,None,Ingolstadt,GER,2,1412.2454834,2008-12-13,2008-12-17
483,None,Ingolstadt,GER,2,1417.44775391,2008-12-18,2008-12-18
484,None,Ingolstadt,GER,2,1416.71887207,2008-12-19,2009-02-01
485,None,Ingolstadt,GER,2,1408.89465332,2009-02-02,2009-02-08
486,None,Ingolstadt,GER,2,1405.60192871,2009-02-09,2009-02-15
487,None,Ingolstadt,GER,2,1400.4588623,2009-02-16,2009-02-18
488,None,Ingolstadt,GER,2,1396.9432373,2009-02-19,2009-02-20
489,None,Ingolstadt,GER,2,1398.05249023,2009-02-21,2009-02-25
490,None,Ingolstadt,GER,2,1402.99401855,2009-02-26,2009-02-26
491,None,Ingolstadt,GER,2,1399.390625,2009-02-27,2009-03-01
492,None,Ingolstadt,GER,2,1393.3013916,2009-03-02,2009-03-08
493,None,Ingolstadt,GER,2,1384.25927734,2009-03-09,2009-03-10
494,None,Ingolstadt,GER,2,1386.20300293,2009-03-11,2009-03-12
495,None,Ingolstadt,GER,2,1386.09729004,2009-03-13,2009-03-15
496,None,Ingolstadt,GER,2,1389.86853027,2009-03-16,2009-03-18
497,None,Ingolstadt,GER,2,1391.29101562,2009-03-19,2009-03-19
498,None,Ingolstadt,GER,2,1395.44042969,2009-03-20,2009-03-22
499,None,Ingolstadt,GER,2,1397.66809082,2009-03-23,2009-04-03
500,None,Ingolstadt,GER,2,1401.19311523,2009-04-04,2009-04-08
501,None,Ingolstadt,GER,2,1397.76098633,2009-04-09,2009-04-09
502,None,Ingolstadt,GER,2,1400.00256348,2009-04-10,2009-04-14
503,None,Ingolstadt,GER,2,1399.76147461,2009-04-15,2009-04-16
504,None,Ingolstadt,GER,2,1400.88220215,2009-04-17,2009-04-19
505,None,Ingolstadt,GER,2,1398.03723145,2009-04-20,2009-04-26
506,None,Ingolstadt,GER,2,1392.18273926,2009-04-27,2009-05-03
507,None,Ingolstadt,GER,2,1390.03503418,2009-05-04,2009-05-10
508,None,Ingolstadt,GER,2,1375.72912598,2009-05-11,2009-05-14
509,None,Ingolstadt,GER,2,1367.38061523,2009-05-15,2009-05-17
510,None,Ingolstadt,GER,2,1371.09985352,2009-05-18,2009-05-20
511,None,Ingolstadt,GER,2,1369.0390625,2009-05-21,2009-05-24
512,None,Ingolstadt,GER,2,1385.62341309,2009-05-25,2009-07-01
513,None,Ingolstadt,GER,2,1412.54040527,2010-07-01,2010-07-29
