,Rank,Club,Country,Level,Elo,From,To
2228,None,Jena,GER,2,1385.28137207,2006-07-02,2006-08-09
2229,None,Jena,GER,2,1384.60119629,2006-08-10,2006-08-10
2230,None,Jena,GER,2,1384.57763672,2006-08-11,2006-08-11
2231,None,Jena,GER,2,1387.62597656,2006-08-12,2006-08-18
2232,None,Jena,GER,2,1385.62072754,2006-08-19,2006-08-22
2233,None,Jena,GER,2,1389.73168945,2006-08-23,2006-08-24
2234,None,Jena,GER,2,1389.88037109,2006-08-25,2006-08-25
2235,None,Jena,GER,2,1400.71813965,2006-08-26,2006-09-12
2236,None,Jena,GER,2,1400.89221191,2006-09-13,2006-09-13
2237,None,Jena,GER,2,1398.23852539,2006-09-14,2006-09-14
2238,None,Jena,GER,2,1401.51062012,2006-09-15,2006-09-15
2239,None,Jena,GER,2,1403.4519043,2006-09-16,2006-09-24
2240,None,Jena,GER,2,1402.29248047,2006-09-25,2006-09-26
2241,None,Jena,GER,2,1400.51269531,2006-09-27,2006-09-27
2242,None,Jena,GER,2,1407.2109375,2006-09-28,2006-09-28
2243,None,Jena,GER,2,1397.66625977,2006-09-29,2006-10-01
2244,None,Jena,GER,2,1391.6751709,2006-10-02,2006-10-15
2245,None,Jena,GER,2,1377.42431641,2006-10-16,2006-10-17
2246,None,Jena,GER,2,1374.81225586,2006-10-18,2006-10-18
2247,None,Jena,GER,2,1379.20825195,2006-10-19,2006-10-19
2248,None,Jena,GER,2,1376.00476074,2006-10-20,2006-10-20
2249,None,Jena,GER,2,1370.43017578,2006-10-21,2006-10-27
2250,None,Jena,GER,2,1380.06896973,2006-10-28,2006-10-31
2251,None,Jena,GER,2,1382.10498047,2006-11-01,2006-11-01
2252,None,Jena,GER,2,1377.41357422,2006-11-02,2006-11-02
2253,None,Jena,GER,2,1379.88232422,2006-11-03,2006-11-03
2254,None,Jena,GER,2,1385.25524902,2006-11-04,2006-11-08
2255,None,Jena,GER,2,1386.18005371,2006-11-09,2006-11-12
2256,None,Jena,GER,2,1376.43444824,2006-11-13,2006-11-17
2257,None,Jena,GER,2,1385.38708496,2006-11-18,2006-11-21
2258,None,Jena,GER,2,1384.59008789,2006-11-22,2006-11-22
2259,None,Jena,GER,2,1387.35559082,2006-11-23,2006-11-23
2260,None,Jena,GER,2,1384.15454102,2006-11-24,2006-11-24
2261,None,Jena,GER,2,1377.44335938,2006-11-25,2006-11-29
2262,None,Jena,GER,2,1375.50183105,2006-11-30,2006-11-30
2263,None,Jena,GER,2,1375.93713379,2006-12-01,2006-12-03
2264,None,Jena,GER,2,1363.1171875,2006-12-04,2006-12-05
2265,None,Jena,GER,2,1361.40539551,2006-12-06,2006-12-06
2266,None,Jena,GER,2,1364.06506348,2006-12-07,2006-12-08
2267,None,Jena,GER,2,1370.49768066,2006-12-09,2006-12-13
2268,None,Jena,GER,2,1372.31945801,2006-12-14,2006-12-14
2269,None,Jena,GER,2,1373.46154785,2006-12-15,2006-12-15
2270,None,Jena,GER,2,1361.02294922,2006-12-16,2007-01-19
2271,None,Jena,GER,2,1353.16040039,2007-01-20,2007-01-26
2272,None,Jena,GER,2,1346.32885742,2007-01-27,2007-02-04
2273,None,Jena,GER,2,1343.1661377,2007-02-05,2007-02-11
2274,None,Jena,GER,2,1352.87841797,2007-02-12,2007-02-14
2275,None,Jena,GER,2,1356.53503418,2007-02-15,2007-02-18
2276,None,Jena,GER,2,1368.23620605,2007-02-19,2007-02-20
2277,None,Jena,GER,2,1368.11547852,2007-02-21,2007-02-22
2278,None,Jena,GER,2,1371.31408691,2007-02-23,2007-02-23
2279,None,Jena,GER,2,1383.46643066,2007-02-24,2007-03-02
2280,None,Jena,GER,2,1374.8939209,2007-03-03,2007-03-07
2281,None,Jena,GER,2,1378.66003418,2007-03-08,2007-03-08
2282,None,Jena,GER,2,1380.62487793,2007-03-09,2007-03-11
2283,None,Jena,GER,2,1373.42102051,2007-03-12,2007-03-14
2284,None,Jena,GER,2,1382.1809082,2007-03-15,2007-03-16
2285,None,Jena,GER,2,1385.3170166,2007-03-17,2007-03-30
2286,None,Jena,GER,2,1379.36291504,2007-03-31,2007-04-03
2287,None,Jena,GER,2,1381.41687012,2007-04-04,2007-04-05
2288,None,Jena,GER,2,1376.08459473,2007-04-06,2007-04-08
