,Rank,Club,Country,Level,Elo,From,To
3717,None,Karlsruhe,GER,2,1436.44567871,2004-02-02,2004-02-06
3718,None,Karlsruhe,GER,2,1443.55957031,2004-02-07,2004-02-13
3719,None,Karlsruhe,GER,2,1438.8223877,2004-02-14,2004-02-22
3720,None,Karlsruhe,GER,2,1444.09387207,2004-02-23,2004-02-24
3721,None,Karlsruhe,GER,2,1443.3951416,2004-02-25,2004-02-25
3722,None,Karlsruhe,GER,2,1441.02954102,2004-02-26,2004-02-27
3723,None,Karlsruhe,GER,2,1441.07250977,2004-02-28,2004-03-05
3724,None,Karlsruhe,GER,2,1444.08984375,2004-03-06,2004-03-09
3725,None,Karlsruhe,GER,2,1443.99536133,2004-03-10,2004-03-10
3726,None,Karlsruhe,GER,2,1442.70080566,2004-03-11,2004-03-15
3727,None,Karlsruhe,GER,2,1443.04907227,2004-03-16,2004-03-19
3728,None,Karlsruhe,GER,2,1439.09887695,2004-03-20,2004-03-28
3729,None,Karlsruhe,GER,2,1423.46813965,2004-03-29,2004-04-04
3730,None,Karlsruhe,GER,2,1418.75817871,2004-04-05,2004-04-11
3731,None,Karlsruhe,GER,2,1425.84362793,2004-04-12,2004-04-16
3732,None,Karlsruhe,GER,2,1427.96679688,2004-04-17,2004-04-25
3733,None,Karlsruhe,GER,2,1416.47961426,2004-04-26,2004-05-02
3734,None,Karlsruhe,GER,2,1418.16577148,2004-05-03,2004-05-09
3735,None,Karlsruhe,GER,2,1408.59057617,2004-05-10,2004-05-16
3736,None,Karlsruhe,GER,2,1411.31103516,2004-05-17,2004-05-23
3737,None,Karlsruhe,GER,2,1418.46472168,2004-05-24,2004-08-07
3738,None,Karlsruhe,GER,2,1416.46936035,2004-08-08,2004-08-11
3739,None,Karlsruhe,GER,2,1420.27258301,2004-08-12,2004-08-15
3740,None,Karlsruhe,GER,2,1417.11035156,2004-08-16,2004-08-25
3741,None,Karlsruhe,GER,2,1416.70458984,2004-08-26,2004-08-27
3742,None,Karlsruhe,GER,2,1407.60949707,2004-08-28,2004-09-12
3743,None,Karlsruhe,GER,2,1399.8215332,2004-09-13,2004-09-14
3744,None,Karlsruhe,GER,2,1396.921875,2004-09-15,2004-09-15
3745,None,Karlsruhe,GER,2,1404.04516602,2004-09-16,2004-09-16
3746,None,Karlsruhe,GER,2,1407.08349609,2004-09-17,2004-09-17
3747,None,Karlsruhe,GER,2,1417.33728027,2004-09-18,2004-09-24
3748,None,Karlsruhe,GER,2,1414.59741211,2004-09-25,2004-09-28
3749,None,Karlsruhe,GER,2,1414.75036621,2004-09-29,2004-09-29
3750,None,Karlsruhe,GER,2,1418.60302734,2004-09-30,2004-09-30
3751,None,Karlsruhe,GER,2,1414.38989258,2004-10-01,2004-10-03
3752,None,Karlsruhe,GER,2,1408.86938477,2004-10-04,2004-10-15
3753,None,Karlsruhe,GER,2,1418.30212402,2004-10-16,2004-10-19
3754,None,Karlsruhe,GER,2,1419.3840332,2004-10-20,2004-10-20
3755,None,Karlsruhe,GER,2,1422.99072266,2004-10-21,2004-10-21
3756,None,Karlsruhe,GER,2,1427.09204102,2004-10-22,2004-10-22
3757,None,Karlsruhe,GER,2,1432.6907959,2004-10-23,2004-10-26
3758,None,Karlsruhe,GER,2,1433.8145752,2004-10-27,2004-10-29
3759,None,Karlsruhe,GER,2,1437.49450684,2004-10-30,2004-11-02
3760,None,Karlsruhe,GER,2,1439.91992188,2004-11-03,2004-11-03
3761,None,Karlsruhe,GER,2,1437.44348145,2004-11-04,2004-11-04
3762,None,Karlsruhe,GER,2,1441.3470459,2004-11-05,2004-11-05
3763,None,Karlsruhe,GER,2,1447.08215332,2004-11-06,2004-11-14
3764,None,Karlsruhe,GER,2,1441.8717041,2004-11-15,2004-11-21
3765,None,Karlsruhe,GER,2,1448.15368652,2004-11-22,2004-11-23
3766,None,Karlsruhe,GER,2,1450.84326172,2004-11-24,2004-11-24
3767,None,Karlsruhe,GER,2,1449.75976562,2004-11-25,2004-11-25
3768,None,Karlsruhe,GER,2,1447.39245605,2004-11-26,2004-11-28
3769,None,Karlsruhe,GER,2,1437.69812012,2004-11-29,2004-12-01
3770,None,Karlsruhe,GER,2,1435.69274902,2004-12-02,2004-12-02
3771,None,Karlsruhe,GER,2,1435.06188965,2004-12-03,2004-12-03
3772,None,Karlsruhe,GER,2,1420.89746094,2004-12-04,2004-12-07
3773,None,Karlsruhe,GER,2,1427.59558105,2004-12-08,2004-12-08
3774,None,Karlsruhe,GER,2,1431.29699707,2004-12-09,2004-12-10
3775,None,Karlsruhe,GER,2,1423.38452148,2004-12-11,2004-12-15
3776,None,Karlsruhe,GER,2,1429.90112305,2004-12-16,2005-01-22
3777,None,Karlsruhe,GER,2,1434.16345215,2005-01-23,2005-01-30
3778,None,Karlsruhe,GER,2,1449.51342773,2005-01-31,2005-02-06
3779,None,Karlsruhe,GER,2,1441.82580566,2005-02-07,2005-02-14
3780,None,Karlsruhe,GER,2,1448.00292969,2005-02-15,2005-02-16
3781,None,Karlsruhe,GER,2,1449.58862305,2005-02-17,2005-02-17
3782,None,Karlsruhe,GER,2,1449.265625,2005-02-18,2005-02-18
3783,None,Karlsruhe,GER,2,1445.59289551,2005-02-19,2005-02-22
3784,None,Karlsruhe,GER,2,1445.74633789,2005-02-23,2005-02-23
3785,None,Karlsruhe,GER,2,1439.93200684,2005-02-24,2005-02-24
3786,None,Karlsruhe,GER,2,1423.58251953,2005-02-25,2005-03-08
3787,None,Karlsruhe,GER,2,1421.25830078,2005-03-09,2005-03-09
3788,None,Karlsruhe,GER,2,1418.13464355,2005-03-10,2005-03-13
3789,None,Karlsruhe,GER,2,1411.89074707,2005-03-14,2005-03-16
3790,None,Karlsruhe,GER,2,1422.84851074,2005-03-17,2005-03-20
3791,None,Karlsruhe,GER,2,1423.95654297,2005-03-21,2005-04-03
