,Rank,Club,Country,Level,Elo,From,To
902,None,Koblenz,GER,2,1385.28137207,2006-07-02,2006-08-09
903,None,Koblenz,GER,2,1384.60119629,2006-08-10,2006-08-10
904,None,Koblenz,GER,2,1384.57763672,2006-08-11,2006-08-13
905,None,Koblenz,GER,2,1380.94689941,2006-08-14,2006-08-20
906,None,Koblenz,GER,2,1389.95483398,2006-08-21,2006-08-22
907,None,Koblenz,GER,2,1394.0657959,2006-08-23,2006-08-24
908,None,Koblenz,GER,2,1394.21435547,2006-08-25,2006-08-27
909,None,Koblenz,GER,2,1408.2911377,2006-08-28,2006-09-12
910,None,Koblenz,GER,2,1408.46508789,2006-09-13,2006-09-13
911,None,Koblenz,GER,2,1405.81152344,2006-09-14,2006-09-14
912,None,Koblenz,GER,2,1409.08349609,2006-09-15,2006-09-17
913,None,Koblenz,GER,2,1399.34216309,2006-09-18,2006-09-22
914,None,Koblenz,GER,2,1396.31079102,2006-09-23,2006-09-26
915,None,Koblenz,GER,2,1394.53088379,2006-09-27,2006-09-27
916,None,Koblenz,GER,2,1401.22924805,2006-09-28,2006-09-28
917,None,Koblenz,GER,2,1391.68457031,2006-09-29,2006-09-29
918,None,Koblenz,GER,2,1389.69799805,2006-09-30,2006-10-15
919,None,Koblenz,GER,2,1401.13842773,2006-10-16,2006-10-17
920,None,Koblenz,GER,2,1398.52636719,2006-10-18,2006-10-18
921,None,Koblenz,GER,2,1402.92236328,2006-10-19,2006-10-19
922,None,Koblenz,GER,2,1399.71887207,2006-10-20,2006-10-23
923,None,Koblenz,GER,2,1397.19714355,2006-10-24,2006-10-27
924,None,Koblenz,GER,2,1387.55834961,2006-10-28,2006-10-31
925,None,Koblenz,GER,2,1389.59436035,2006-11-01,2006-11-01
926,None,Koblenz,GER,2,1384.9029541,2006-11-02,2006-11-02
927,None,Koblenz,GER,2,1387.37182617,2006-11-03,2006-11-03
928,None,Koblenz,GER,2,1401.48510742,2006-11-04,2006-11-07
929,None,Koblenz,GER,2,1410.94226074,2006-11-08,2006-11-10
930,None,Koblenz,GER,2,1412.67358398,2006-11-11,2006-11-19
931,None,Koblenz,GER,2,1410.27075195,2006-11-20,2006-11-21
932,None,Koblenz,GER,2,1409.47375488,2006-11-22,2006-11-22
933,None,Koblenz,GER,2,1412.23925781,2006-11-23,2006-11-23
934,None,Koblenz,GER,2,1409.03820801,2006-11-24,2006-11-27
935,None,Koblenz,GER,2,1404.00305176,2006-11-28,2006-11-29
936,None,Koblenz,GER,2,1402.06164551,2006-11-30,2006-11-30
937,None,Koblenz,GER,2,1402.49682617,2006-12-01,2006-12-01
938,None,Koblenz,GER,2,1391.08959961,2006-12-02,2006-12-05
939,None,Koblenz,GER,2,1389.37780762,2006-12-06,2006-12-06
940,None,Koblenz,GER,2,1392.03747559,2006-12-07,2006-12-08
941,None,Koblenz,GER,2,1384.45666504,2006-12-09,2006-12-13
942,None,Koblenz,GER,2,1386.27844238,2006-12-14,2006-12-14
943,None,Koblenz,GER,2,1387.4206543,2006-12-15,2006-12-17
944,None,Koblenz,GER,2,1379.06799316,2006-12-18,2007-01-21
945,None,Koblenz,GER,2,1381.96728516,2007-01-22,2007-01-28
946,None,Koblenz,GER,2,1376.21386719,2007-01-29,2007-02-02
947,None,Koblenz,GER,2,1382.10742188,2007-02-03,2007-02-11
948,None,Koblenz,GER,2,1384.33178711,2007-02-12,2007-02-14
949,None,Koblenz,GER,2,1387.98828125,2007-02-15,2007-02-16
950,None,Koblenz,GER,2,1390.89477539,2007-02-17,2007-02-20
951,None,Koblenz,GER,2,1390.77404785,2007-02-21,2007-02-22
952,None,Koblenz,GER,2,1393.97265625,2007-02-23,2007-02-23
953,None,Koblenz,GER,2,1404.5435791,2007-02-24,2007-03-04
954,None,Koblenz,GER,2,1414.59521484,2007-03-05,2007-03-07
955,None,Koblenz,GER,2,1418.36132812,2007-03-08,2007-03-08
956,None,Koblenz,GER,2,1420.32629395,2007-03-09,2007-03-09
957,None,Koblenz,GER,2,1412.29980469,2007-03-10,2007-03-14
958,None,Koblenz,GER,2,1421.05969238,2007-03-15,2007-03-16
959,None,Koblenz,GER,2,1417.92358398,2007-03-17,2007-04-01
960,None,Koblenz,GER,2,1411.97033691,2007-04-02,2007-04-03
961,None,Koblenz,GER,2,1414.02429199,2007-04-04,2007-04-05
962,None,Koblenz,GER,2,1398.47802734,2007-04-06,2007-04-11
963,None,Koblenz,GER,2,1391.43640137,2007-04-12,2007-04-12
964,None,Koblenz,GER,2,1395.34936523,2007-04-13,2007-04-15
965,None,Koblenz,GER,2,1390.90063477,2007-04-16,2007-04-22
966,None,Koblenz,GER,2,1384.39904785,2007-04-23,2007-04-26
