,Rank,Club,Country,Level,Elo,From,To
3898,None,Koeln,GER,1,1548.91357422,2004-02-01,2004-02-07
3899,None,Koeln,GER,1,1543.76721191,2004-02-08,2004-02-14
3900,None,Koeln,GER,1,1534.13916016,2004-02-15,2004-02-22
3901,None,Koeln,GER,1,1531.52307129,2004-02-23,2004-02-24
3902,None,Koeln,GER,1,1530.82421875,2004-02-25,2004-02-25
3903,None,Koeln,GER,1,1528.45874023,2004-02-26,2004-02-28
3904,None,Koeln,GER,1,1516.31481934,2004-02-29,2004-03-07
3905,None,Koeln,GER,1,1511.14624023,2004-03-08,2004-03-09
3906,None,Koeln,GER,1,1511.05175781,2004-03-10,2004-03-10
3907,None,Koeln,GER,1,1509.75720215,2004-03-11,2004-03-13
3908,None,Koeln,GER,1,1508.21862793,2004-03-14,2004-03-20
3909,None,Koeln,GER,1,1512.39550781,2004-03-21,2004-03-27
3910,None,Koeln,GER,1,1504.53186035,2004-03-28,2004-04-03
3911,None,Koeln,GER,1,1514.89538574,2004-04-04,2004-04-11
3912,None,Koeln,GER,1,1510.85449219,2004-04-12,2004-04-18
3913,None,Koeln,GER,1,1505.03320312,2004-04-19,2004-04-24
3914,None,Koeln,GER,1,1500.2902832,2004-04-25,2004-05-01
3915,None,Koeln,GER,1,1497.42114258,2004-05-02,2004-05-08
3916,None,Koeln,GER,1,1494.59008789,2004-05-09,2004-05-15
3917,None,Koeln,GER,1,1512.34362793,2004-05-16,2004-05-22
3918,None,Koeln,GER,1,1507.45898438,2004-05-23,2004-07-03
3919,None,Koeln,GER,2,1507.45898438,2004-07-04,2004-08-08
3920,None,Koeln,GER,2,1504.79675293,2004-08-09,2004-08-11
3921,None,Koeln,GER,2,1508.59997559,2004-08-12,2004-08-13
3922,None,Koeln,GER,2,1498.41760254,2004-08-14,2004-08-25
3923,None,Koeln,GER,2,1498.01184082,2004-08-26,2004-08-30
3924,None,Koeln,GER,2,1508.1697998,2004-08-31,2004-09-12
3925,None,Koeln,GER,2,1515.95788574,2004-09-13,2004-09-14
3926,None,Koeln,GER,2,1513.05822754,2004-09-15,2004-09-15
3927,None,Koeln,GER,2,1520.18151855,2004-09-16,2004-09-16
3928,None,Koeln,GER,2,1523.21984863,2004-09-17,2004-09-19
