,Rank,Club,Country,Level,Elo,From,To
4564,97,Lautern,GER,1,1637.86828613,2005-01-23,2005-01-23
4565,96,Lautern,GER,1,1637.86828613,2005-01-24,2005-01-29
4566,91,Lautern,GER,1,1649.48706055,2005-01-30,2005-02-05
4567,87,Lautern,GER,1,1655.33056641,2005-02-06,2005-02-12
4568,84,Lautern,GER,1,1659.3092041,2005-02-13,2005-02-16
4569,82,Lautern,GER,1,1660.89489746,2005-02-17,2005-02-17
4570,82,Lautern,GER,1,1660.57189941,2005-02-18,2005-02-19
4571,86,Lautern,GER,1,1656.26708984,2005-02-20,2005-02-20
4572,87,Lautern,GER,1,1656.26708984,2005-02-21,2005-02-22
4573,86,Lautern,GER,1,1656.42053223,2005-02-23,2005-02-23
4574,90,Lautern,GER,1,1650.60620117,2005-02-24,2005-02-24
4575,None,Lautern,GER,1,1634.25671387,2005-02-25,2005-02-26
4576,None,Lautern,GER,1,1631.51635742,2005-02-27,2005-03-06
4577,99,Lautern,GER,1,1636.4432373,2005-03-07,2005-03-08
4578,None,Lautern,GER,1,1634.11901855,2005-03-09,2005-03-09
4579,None,Lautern,GER,1,1630.99536133,2005-03-10,2005-03-12
4580,100,Lautern,GER,1,1636.16821289,2005-03-13,2005-03-17
4581,99,Lautern,GER,1,1636.16821289,2005-03-18,2005-03-19
4582,None,Lautern,GER,1,1631.53161621,2005-03-20,2005-04-02
4583,None,Lautern,GER,1,1615.68786621,2005-04-03,2005-04-06
4584,None,Lautern,GER,1,1613.88842773,2005-04-07,2005-04-10
4585,None,Lautern,GER,1,1628.13232422,2005-04-11,2005-04-12
4586,None,Lautern,GER,1,1627.81848145,2005-04-13,2005-04-17
4587,None,Lautern,GER,1,1616.69055176,2005-04-18,2005-04-23
4588,None,Lautern,GER,1,1611.03759766,2005-04-24,2005-04-30
4589,None,Lautern,GER,1,1601.60668945,2005-05-01,2005-05-07
4590,None,Lautern,GER,1,1609.09216309,2005-05-08,2005-05-14
4591,None,Lautern,GER,1,1602.67285156,2005-05-15,2005-05-21
4592,None,Lautern,GER,1,1596.77380371,2005-05-22,2005-07-14
4593,None,Lautern,GER,1,1596.83862305,2005-07-15,2005-07-28
4594,None,Lautern,GER,1,1596.83483887,2005-07-29,2005-08-07
4595,None,Lautern,GER,1,1593.14135742,2005-08-08,2005-08-10
4596,None,Lautern,GER,1,1592.01416016,2005-08-11,2005-08-11
4597,None,Lautern,GER,1,1592.2010498,2005-08-12,2005-08-13
4598,None,Lautern,GER,1,1598.19030762,2005-08-14,2005-08-24
4599,None,Lautern,GER,1,1602.07336426,2005-08-25,2005-08-25
4600,None,Lautern,GER,1,1602.20056152,2005-08-26,2005-08-27
4601,None,Lautern,GER,1,1612.13500977,2005-08-28,2005-09-10
4602,None,Lautern,GER,1,1601.21374512,2005-09-11,2005-09-13
4603,None,Lautern,GER,1,1600.20703125,2005-09-14,2005-09-14
4604,None,Lautern,GER,1,1597.04406738,2005-09-15,2005-09-15
4605,None,Lautern,GER,1,1592.71716309,2005-09-16,2005-09-17
4606,None,Lautern,GER,1,1594.13671875,2005-09-18,2005-09-21
4607,None,Lautern,GER,1,1578.43859863,2005-09-22,2005-09-25
4608,None,Lautern,GER,1,1574.7376709,2005-09-26,2005-09-27
4609,None,Lautern,GER,1,1572.32019043,2005-09-28,2005-09-28
4610,None,Lautern,GER,1,1573.15856934,2005-09-29,2005-09-29
4611,None,Lautern,GER,1,1569.49621582,2005-09-30,2005-10-02
4612,None,Lautern,GER,1,1558.27270508,2005-10-03,2005-10-15
4613,None,Lautern,GER,1,1559.93884277,2005-10-16,2005-10-18
