,Rank,Club,Country,Level,Elo,From,To
3358,21,Leverkusen,GER,1,1788.48657227,2005-01-10,2005-01-16
3359,20,Leverkusen,GER,1,1788.48657227,2005-01-17,2005-01-23
3360,16,Leverkusen,GER,1,1801.93029785,2005-01-24,2005-01-29
3361,15,Leverkusen,GER,1,1806.88586426,2005-01-30,2005-02-02
3362,16,Leverkusen,GER,1,1806.88586426,2005-02-03,2005-02-05
3363,16,Leverkusen,GER,1,1800.11486816,2005-02-06,2005-02-06
3364,17,Leverkusen,GER,1,1800.11486816,2005-02-07,2005-02-13
3365,17,Leverkusen,GER,1,1802.72485352,2005-02-14,2005-02-16
3366,16,Leverkusen,GER,1,1804.31054688,2005-02-17,2005-02-17
3367,18,Leverkusen,GER,1,1803.98754883,2005-02-18,2005-02-19
3368,16,Leverkusen,GER,1,1811.77575684,2005-02-20,2005-02-20
3369,17,Leverkusen,GER,1,1811.77575684,2005-02-21,2005-02-22
3370,18,Leverkusen,GER,1,1802.49609375,2005-02-23,2005-02-23
3371,19,Leverkusen,GER,1,1796.6817627,2005-02-24,2005-02-24
3372,21,Leverkusen,GER,1,1780.33227539,2005-02-25,2005-02-27
3373,21,Leverkusen,GER,1,1776.24621582,2005-02-28,2005-03-01
3374,22,Leverkusen,GER,1,1776.24621582,2005-03-02,2005-03-05
3375,24,Leverkusen,GER,1,1768.69433594,2005-03-06,2005-03-08
3376,23,Leverkusen,GER,1,1766.37011719,2005-03-09,2005-03-09
3377,27,Leverkusen,GER,1,1750.99853516,2005-03-10,2005-03-11
3378,26,Leverkusen,GER,1,1750.99853516,2005-03-12,2005-03-12
3379,27,Leverkusen,GER,1,1747.30944824,2005-03-13,2005-03-19
3380,26,Leverkusen,GER,1,1751.94604492,2005-03-20,2005-03-20
3381,25,Leverkusen,GER,1,1751.94604492,2005-03-21,2005-04-02
3382,29,Leverkusen,GER,1,1742.21337891,2005-04-03,2005-04-03
3383,28,Leverkusen,GER,1,1742.21337891,2005-04-04,2005-04-05
3384,27,Leverkusen,GER,1,1742.21337891,2005-04-06,2005-04-06
