,Rank,Club,Country,Level,Elo,From,To
959,None,Luebeck,GER,2,1458.82971191,2004-02-09,2004-02-11
960,None,Luebeck,GER,2,1455.80065918,2004-02-12,2004-02-15
961,None,Luebeck,GER,2,1464.94262695,2004-02-16,2004-02-22
962,None,Luebeck,GER,2,1444.05407715,2004-02-23,2004-02-24
963,None,Luebeck,GER,2,1443.35534668,2004-02-25,2004-02-25
964,None,Luebeck,GER,2,1440.98974609,2004-02-26,2004-03-01
965,None,Luebeck,GER,2,1431.29528809,2004-03-02,2004-03-05
966,None,Luebeck,GER,2,1417.65319824,2004-03-06,2004-03-09
967,None,Luebeck,GER,2,1417.55871582,2004-03-10,2004-03-10
968,None,Luebeck,GER,2,1416.26416016,2004-03-11,2004-03-12
969,None,Luebeck,GER,2,1409.21118164,2004-03-13,2004-03-22
970,None,Luebeck,GER,2,1418.50427246,2004-03-23,2004-03-26
971,None,Luebeck,GER,2,1407.42834473,2004-03-27,2004-04-02
972,None,Luebeck,GER,2,1414.39416504,2004-04-03,2004-04-11
973,None,Luebeck,GER,2,1416.99609375,2004-04-12,2004-04-16
974,None,Luebeck,GER,2,1414.8729248,2004-04-17,2004-04-23
975,None,Luebeck,GER,2,1408.89770508,2004-04-24,2004-04-30
976,None,Luebeck,GER,2,1396.42578125,2004-05-01,2004-05-09
977,None,Luebeck,GER,2,1401.92822266,2004-05-10,2004-05-16
978,None,Luebeck,GER,2,1400.56213379,2004-05-17,2004-05-23
979,None,Luebeck,GER,2,1395.68029785,2004-05-24,2004-07-03
