,Rank,Club,Country,Level,Elo,From,To
1956,None,Mainz,GER,2,1545.88122559,2004-02-02,2004-02-08
1957,None,Mainz,GER,2,1550.32299805,2004-02-09,2004-02-16
1958,None,Mainz,GER,2,1552.03955078,2004-02-17,2004-02-20
1959,None,Mainz,GER,2,1545.46850586,2004-02-21,2004-02-24
1960,None,Mainz,GER,2,1544.76965332,2004-02-25,2004-02-25
1961,None,Mainz,GER,2,1542.4041748,2004-02-26,2004-03-07
1962,None,Mainz,GER,2,1536.68261719,2004-03-08,2004-03-09
1963,None,Mainz,GER,2,1536.58813477,2004-03-10,2004-03-10
1964,None,Mainz,GER,2,1536.0,2004-03-11,2004-03-15
1965,None,Mainz,GER,2,1535.6517334,2004-03-16,2004-03-21
1966,None,Mainz,GER,2,1539.70336914,2004-03-22,2004-03-29
1967,None,Mainz,GER,2,1524.93652344,2004-03-30,2004-04-05
1968,None,Mainz,GER,2,1527.77758789,2004-04-06,2004-04-11
1969,None,Mainz,GER,2,1523.14245605,2004-04-12,2004-04-18
1970,None,Mainz,GER,2,1513.88793945,2004-04-19,2004-04-23
1971,None,Mainz,GER,2,1522.22741699,2004-04-24,2004-04-30
1972,None,Mainz,GER,2,1534.69934082,2004-05-01,2004-05-07
1973,None,Mainz,GER,2,1538.98815918,2004-05-08,2004-05-16
1974,None,Mainz,GER,2,1537.05834961,2004-05-17,2004-05-23
1975,None,Mainz,GER,2,1543.75036621,2004-05-24,2004-07-03
1976,None,Mainz,GER,1,1543.75036621,2004-07-04,2004-08-08
1977,None,Mainz,GER,1,1540.81933594,2004-08-09,2004-08-11
1978,None,Mainz,GER,1,1544.62255859,2004-08-12,2004-08-14
1979,None,Mainz,GER,1,1552.40063477,2004-08-15,2004-08-25
1980,None,Mainz,GER,1,1551.99487305,2004-08-26,2004-08-28
1981,None,Mainz,GER,1,1556.70446777,2004-08-29,2004-09-11
1982,None,Mainz,GER,1,1572.22802734,2004-09-12,2004-09-14
1983,None,Mainz,GER,1,1569.32836914,2004-09-15,2004-09-15
1984,None,Mainz,GER,1,1576.45166016,2004-09-16,2004-09-16
1985,None,Mainz,GER,1,1579.48999023,2004-09-17,2004-09-18
1986,None,Mainz,GER,1,1580.89282227,2004-09-19,2004-09-26
1987,None,Mainz,GER,1,1582.06115723,2004-09-27,2004-09-28
1988,None,Mainz,GER,1,1582.21411133,2004-09-29,2004-09-29
1989,None,Mainz,GER,1,1586.06677246,2004-09-30,2004-09-30
1990,None,Mainz,GER,1,1581.85351562,2004-10-01,2004-10-02
1991,None,Mainz,GER,1,1592.29406738,2004-10-03,2004-10-16
1992,None,Mainz,GER,1,1602.66674805,2004-10-17,2004-10-19
1993,None,Mainz,GER,1,1603.7487793,2004-10-20,2004-10-20
1994,None,Mainz,GER,1,1607.35546875,2004-10-21,2004-10-21
1995,None,Mainz,GER,1,1611.45666504,2004-10-22,2004-10-24
1996,None,Mainz,GER,1,1607.01403809,2004-10-25,2004-10-27
1997,None,Mainz,GER,1,1615.41479492,2004-10-28,2004-10-30
1998,None,Mainz,GER,1,1610.88122559,2004-10-31,2004-11-02
1999,None,Mainz,GER,1,1613.30651855,2004-11-03,2004-11-03
2000,None,Mainz,GER,1,1610.83007812,2004-11-04,2004-11-04
2001,None,Mainz,GER,1,1614.73376465,2004-11-05,2004-11-06
2002,None,Mainz,GER,1,1612.2364502,2004-11-07,2004-11-13
2003,None,Mainz,GER,1,1605.95910645,2004-11-14,2004-11-20
2004,None,Mainz,GER,1,1612.32580566,2004-11-21,2004-11-23
2005,None,Mainz,GER,1,1615.01538086,2004-11-24,2004-11-24
2006,None,Mainz,GER,1,1613.9317627,2004-11-25,2004-11-25
2007,None,Mainz,GER,1,1611.5645752,2004-11-26,2004-11-27
2008,None,Mainz,GER,1,1608.85839844,2004-11-28,2004-12-01
2009,None,Mainz,GER,1,1606.85302734,2004-12-02,2004-12-02
2010,None,Mainz,GER,1,1606.22216797,2004-12-03,2004-12-05
2011,None,Mainz,GER,1,1597.96496582,2004-12-06,2004-12-07
2012,None,Mainz,GER,1,1604.66308594,2004-12-08,2004-12-08
2013,None,Mainz,GER,1,1608.36450195,2004-12-09,2004-12-11
2014,None,Mainz,GER,1,1597.79162598,2004-12-12,2004-12-15
2015,None,Mainz,GER,1,1604.30822754,2004-12-16,2005-01-22
2016,None,Mainz,GER,1,1598.52209473,2005-01-23,2005-01-29
2017,None,Mainz,GER,1,1594.96911621,2005-01-30,2005-02-05
2018,None,Mainz,GER,1,1582.46252441,2005-02-06,2005-02-13
2019,None,Mainz,GER,1,1579.85253906,2005-02-14,2005-02-16
2020,None,Mainz,GER,1,1581.43811035,2005-02-17,2005-02-17
2021,None,Mainz,GER,1,1581.11523438,2005-02-18,2005-02-19
2022,None,Mainz,GER,1,1579.30786133,2005-02-20,2005-02-22
2023,None,Mainz,GER,1,1579.46130371,2005-02-23,2005-02-23
2024,None,Mainz,GER,1,1573.64697266,2005-02-24,2005-02-24
2025,None,Mainz,GER,1,1557.29748535,2005-02-25,2005-02-26
2026,None,Mainz,GER,1,1552.10534668,2005-02-27,2005-03-05
2027,None,Mainz,GER,1,1563.99279785,2005-03-06,2005-03-08
2028,None,Mainz,GER,1,1561.6685791,2005-03-09,2005-03-09
2029,None,Mainz,GER,1,1558.54492188,2005-03-10,2005-03-12
2030,None,Mainz,GER,1,1565.91687012,2005-03-13,2005-03-20
2031,None,Mainz,GER,1,1575.84399414,2005-03-21,2005-04-02
2032,None,Mainz,GER,1,1567.48266602,2005-04-03,2005-04-06
2033,None,Mainz,GER,1,1565.68322754,2005-04-07,2005-04-09
2034,None,Mainz,GER,1,1552.14355469,2005-04-10,2005-04-12
2035,None,Mainz,GER,1,1551.82971191,2005-04-13,2005-04-16
