,Rank,Club,Country,Level,Elo,From,To
3801,None,Nuernberg,GER,2,1522.96655273,2004-01-27,2004-02-01
3802,None,Nuernberg,GER,2,1528.9876709,2004-02-02,2004-02-06
3803,None,Nuernberg,GER,2,1529.7734375,2004-02-07,2004-02-16
3804,None,Nuernberg,GER,2,1528.05700684,2004-02-17,2004-02-20
3805,None,Nuernberg,GER,2,1542.79992676,2004-02-21,2004-02-24
3806,None,Nuernberg,GER,2,1542.10119629,2004-02-25,2004-02-25
3807,None,Nuernberg,GER,2,1539.7355957,2004-02-26,2004-02-27
3808,None,Nuernberg,GER,2,1543.83837891,2004-02-28,2004-03-07
3809,None,Nuernberg,GER,2,1544.80981445,2004-03-08,2004-03-09
3810,None,Nuernberg,GER,2,1544.71533203,2004-03-10,2004-03-10
3811,None,Nuernberg,GER,2,1543.42077637,2004-03-11,2004-03-14
3812,None,Nuernberg,GER,2,1549.20666504,2004-03-15,2004-03-22
3813,None,Nuernberg,GER,2,1539.91345215,2004-03-23,2004-03-28
3814,None,Nuernberg,GER,2,1545.3302002,2004-03-29,2004-04-02
3815,None,Nuernberg,GER,2,1535.68713379,2004-04-03,2004-04-12
3816,None,Nuernberg,GER,2,1540.97412109,2004-04-13,2004-04-18
3817,None,Nuernberg,GER,2,1550.82861328,2004-04-19,2004-04-26
3818,None,Nuernberg,GER,2,1557.8762207,2004-04-27,2004-05-03
3819,None,Nuernberg,GER,2,1572.63842773,2004-05-04,2004-05-07
3820,None,Nuernberg,GER,2,1577.17370605,2004-05-08,2004-05-16
3821,None,Nuernberg,GER,2,1558.04406738,2004-05-17,2004-05-23
3822,None,Nuernberg,GER,2,1545.96032715,2004-05-24,2004-07-03
3823,None,Nuernberg,GER,1,1545.96032715,2004-07-04,2004-08-07
3824,None,Nuernberg,GER,1,1561.84729004,2004-08-08,2004-08-11
3825,None,Nuernberg,GER,1,1565.6505127,2004-08-12,2004-08-14
3826,None,Nuernberg,GER,1,1568.49365234,2004-08-15,2004-08-25
3827,None,Nuernberg,GER,1,1568.08789062,2004-08-26,2004-08-28
3828,None,Nuernberg,GER,1,1563.73535156,2004-08-29,2004-09-11
3829,None,Nuernberg,GER,1,1563.13684082,2004-09-12,2004-09-14
3830,None,Nuernberg,GER,1,1560.23718262,2004-09-15,2004-09-15
3831,None,Nuernberg,GER,1,1567.3605957,2004-09-16,2004-09-16
3832,None,Nuernberg,GER,1,1570.39880371,2004-09-17,2004-09-18
3833,None,Nuernberg,GER,1,1577.36181641,2004-09-19,2004-09-25
3834,None,Nuernberg,GER,1,1565.97814941,2004-09-26,2004-09-28
3835,None,Nuernberg,GER,1,1566.13098145,2004-09-29,2004-09-29
3836,None,Nuernberg,GER,1,1569.98376465,2004-09-30,2004-09-30
3837,None,Nuernberg,GER,1,1565.77050781,2004-10-01,2004-10-02
3838,None,Nuernberg,GER,1,1571.74645996,2004-10-03,2004-10-16
3839,None,Nuernberg,GER,1,1581.6237793,2004-10-17,2004-10-19
3840,None,Nuernberg,GER,1,1582.70581055,2004-10-20,2004-10-20
3841,None,Nuernberg,GER,1,1586.3125,2004-10-21,2004-10-21
3842,None,Nuernberg,GER,1,1590.41381836,2004-10-22,2004-10-23
3843,None,Nuernberg,GER,1,1586.68896484,2004-10-24,2004-10-27
3844,None,Nuernberg,GER,1,1575.59997559,2004-10-28,2004-10-31
3845,None,Nuernberg,GER,1,1591.50024414,2004-11-01,2004-11-02
3846,None,Nuernberg,GER,1,1593.92553711,2004-11-03,2004-11-03
3847,None,Nuernberg,GER,1,1591.44909668,2004-11-04,2004-11-04
