,Rank,Club,Country,Level,Elo,From,To
1712,None,Oberhausen,GER,2,1491.14501953,2004-02-03,2004-02-06
1713,None,Oberhausen,GER,2,1502.53186035,2004-02-07,2004-02-13
1714,None,Oberhausen,GER,2,1507.26904297,2004-02-14,2004-02-22
1715,None,Oberhausen,GER,2,1490.87451172,2004-02-23,2004-02-24
1716,None,Oberhausen,GER,2,1490.17565918,2004-02-25,2004-02-25
1717,None,Oberhausen,GER,2,1487.81018066,2004-02-26,2004-03-07
1718,None,Oberhausen,GER,2,1480.78417969,2004-03-08,2004-03-09
1719,None,Oberhausen,GER,2,1480.68969727,2004-03-10,2004-03-10
1720,None,Oberhausen,GER,2,1478.6887207,2004-03-11,2004-03-14
1721,None,Oberhausen,GER,2,1457.0925293,2004-03-15,2004-03-19
1722,None,Oberhausen,GER,2,1468.40332031,2004-03-20,2004-03-26
1723,None,Oberhausen,GER,2,1450.51306152,2004-03-27,2004-04-02
1724,None,Oberhausen,GER,2,1443.54736328,2004-04-03,2004-04-08
1725,None,Oberhausen,GER,2,1450.63574219,2004-04-09,2004-04-16
1726,None,Oberhausen,GER,2,1451.4387207,2004-04-17,2004-04-25
1727,None,Oberhausen,GER,2,1440.64624023,2004-04-26,2004-05-02
1728,None,Oberhausen,GER,2,1442.58898926,2004-05-03,2004-05-10
1729,None,Oberhausen,GER,2,1433.10742188,2004-05-11,2004-05-16
1730,None,Oberhausen,GER,2,1452.23706055,2004-05-17,2004-05-23
1731,None,Oberhausen,GER,2,1455.69567871,2004-05-24,2004-08-08
1732,None,Oberhausen,GER,2,1452.78955078,2004-08-09,2004-08-11
1733,None,Oberhausen,GER,2,1456.59277344,2004-08-12,2004-08-15
1734,None,Oberhausen,GER,2,1457.83508301,2004-08-16,2004-08-25
1735,None,Oberhausen,GER,2,1457.42932129,2004-08-26,2004-08-29
1736,None,Oberhausen,GER,2,1443.44250488,2004-08-30,2004-09-10
1737,None,Oberhausen,GER,2,1439.18676758,2004-09-11,2004-09-14
1738,None,Oberhausen,GER,2,1436.28710938,2004-09-15,2004-09-15
1739,None,Oberhausen,GER,2,1443.41040039,2004-09-16,2004-09-16
1740,None,Oberhausen,GER,2,1446.44873047,2004-09-17,2004-09-19
1741,None,Oberhausen,GER,2,1436.39685059,2004-09-20,2004-09-26
1742,None,Oberhausen,GER,2,1429.07397461,2004-09-27,2004-09-28
1743,None,Oberhausen,GER,2,1429.22680664,2004-09-29,2004-09-29
