,Rank,Club,Country,Level,Elo,From,To
2469,None,Offenbach,GER,2,1388.49169922,2005-07-02,2005-07-14
2470,None,Offenbach,GER,2,1388.55651855,2005-07-15,2005-07-28
2471,None,Offenbach,GER,2,1388.55273438,2005-07-29,2005-08-07
2472,None,Offenbach,GER,2,1402.46643066,2005-08-08,2005-08-10
2473,None,Offenbach,GER,2,1401.3392334,2005-08-11,2005-08-11
2474,None,Offenbach,GER,2,1401.52612305,2005-08-12,2005-08-14
2475,None,Offenbach,GER,2,1410.09436035,2005-08-15,2005-08-24
2476,None,Offenbach,GER,2,1413.97741699,2005-08-25,2005-08-25
2477,None,Offenbach,GER,2,1414.10473633,2005-08-26,2005-08-26
2478,None,Offenbach,GER,2,1405.36767578,2005-08-27,2005-09-11
2479,None,Offenbach,GER,2,1413.28405762,2005-09-12,2005-09-13
2480,None,Offenbach,GER,2,1412.27734375,2005-09-14,2005-09-14
2481,None,Offenbach,GER,2,1409.11425781,2005-09-15,2005-09-15
2482,None,Offenbach,GER,2,1404.78735352,2005-09-16,2005-09-16
2483,None,Offenbach,GER,2,1394.1060791,2005-09-17,2005-09-20
2484,None,Offenbach,GER,2,1386.38232422,2005-09-21,2005-09-23
2485,None,Offenbach,GER,2,1390.56726074,2005-09-24,2005-09-27
2486,None,Offenbach,GER,2,1388.1496582,2005-09-28,2005-09-28
2487,None,Offenbach,GER,2,1388.98815918,2005-09-29,2005-09-29
2488,None,Offenbach,GER,2,1385.32580566,2005-09-30,2005-10-02
2489,None,Offenbach,GER,2,1375.51611328,2005-10-03,2005-10-16
2490,None,Offenbach,GER,2,1373.74182129,2005-10-17,2005-10-18
2491,None,Offenbach,GER,2,1377.12670898,2005-10-19,2005-10-19
2492,None,Offenbach,GER,2,1378.19384766,2005-10-20,2005-10-20
2493,None,Offenbach,GER,2,1388.84057617,2005-10-21,2005-10-21
2494,None,Offenbach,GER,2,1401.59619141,2005-10-22,2005-10-30
2495,None,Offenbach,GER,2,1388.80969238,2005-10-31,2005-11-01
2496,None,Offenbach,GER,2,1391.49121094,2005-11-02,2005-11-02
2497,None,Offenbach,GER,2,1391.00720215,2005-11-03,2005-11-03
2498,None,Offenbach,GER,2,1386.3795166,2005-11-04,2005-11-06
2499,None,Offenbach,GER,2,1382.56396484,2005-11-07,2005-11-18
2500,None,Offenbach,GER,2,1371.57910156,2005-11-19,2005-11-22
2501,None,Offenbach,GER,2,1370.90258789,2005-11-23,2005-11-23
2502,None,Offenbach,GER,2,1376.15258789,2005-11-24,2005-11-24
2503,None,Offenbach,GER,2,1374.46984863,2005-11-25,2005-11-27
2504,None,Offenbach,GER,2,1367.109375,2005-11-28,2005-11-30
2505,None,Offenbach,GER,2,1368.27539062,2005-12-01,2005-12-04
2506,None,Offenbach,GER,2,1357.4588623,2005-12-05,2005-12-06
2507,None,Offenbach,GER,2,1356.42492676,2005-12-07,2005-12-07
2508,None,Offenbach,GER,2,1356.70288086,2005-12-08,2005-12-11
