,Rank,Club,Country,Level,Elo,From,To
51,None,Paderborn,GER,2,1388.49169922,2005-07-02,2005-07-14
52,None,Paderborn,GER,2,1388.55651855,2005-07-15,2005-07-28
53,None,Paderborn,GER,2,1388.55273438,2005-07-29,2005-08-07
54,None,Paderborn,GER,2,1378.91381836,2005-08-08,2005-08-10
55,None,Paderborn,GER,2,1377.78662109,2005-08-11,2005-08-11
56,None,Paderborn,GER,2,1377.97351074,2005-08-12,2005-08-14
57,None,Paderborn,GER,2,1391.8260498,2005-08-15,2005-08-24
58,None,Paderborn,GER,2,1395.70910645,2005-08-25,2005-08-25
59,None,Paderborn,GER,2,1395.83630371,2005-08-26,2005-08-28
60,None,Paderborn,GER,2,1407.41992188,2005-08-29,2005-09-11
61,None,Paderborn,GER,2,1413.72961426,2005-09-12,2005-09-13
62,None,Paderborn,GER,2,1412.72290039,2005-09-14,2005-09-14
63,None,Paderborn,GER,2,1409.55993652,2005-09-15,2005-09-15
64,None,Paderborn,GER,2,1405.23303223,2005-09-16,2005-09-18
65,None,Paderborn,GER,2,1400.01660156,2005-09-19,2005-09-21
66,None,Paderborn,GER,2,1391.84838867,2005-09-22,2005-09-25
67,None,Paderborn,GER,2,1408.31677246,2005-09-26,2005-09-27
68,None,Paderborn,GER,2,1405.89916992,2005-09-28,2005-09-28
69,None,Paderborn,GER,2,1406.7376709,2005-09-29,2005-09-29
70,None,Paderborn,GER,2,1403.07531738,2005-09-30,2005-10-02
71,None,Paderborn,GER,2,1412.88500977,2005-10-03,2005-10-14
72,None,Paderborn,GER,2,1409.61560059,2005-10-15,2005-10-18
73,None,Paderborn,GER,2,1413.00048828,2005-10-19,2005-10-19
74,None,Paderborn,GER,2,1414.06762695,2005-10-20,2005-10-20
75,None,Paderborn,GER,2,1424.71435547,2005-10-21,2005-10-21
76,None,Paderborn,GER,2,1435.82287598,2005-10-22,2005-10-28
77,None,Paderborn,GER,2,1442.50854492,2005-10-29,2005-11-01
78,None,Paderborn,GER,2,1445.19018555,2005-11-02,2005-11-02
79,None,Paderborn,GER,2,1444.70617676,2005-11-03,2005-11-03
80,None,Paderborn,GER,2,1440.07836914,2005-11-04,2005-11-06
81,None,Paderborn,GER,2,1439.30029297,2005-11-07,2005-11-18
82,None,Paderborn,GER,2,1450.13830566,2005-11-19,2005-11-22
83,None,Paderborn,GER,2,1449.46179199,2005-11-23,2005-11-23
84,None,Paderborn,GER,2,1454.71179199,2005-11-24,2005-11-24
85,None,Paderborn,GER,2,1453.02905273,2005-11-25,2005-11-27
86,None,Paderborn,GER,2,1448.79772949,2005-11-28,2005-11-30
87,None,Paderborn,GER,2,1449.96374512,2005-12-01,2005-12-04
88,None,Paderborn,GER,2,1436.04187012,2005-12-05,2005-12-06
89,None,Paderborn,GER,2,1435.00793457,2005-12-07,2005-12-07
90,None,Paderborn,GER,2,1435.2857666,2005-12-08,2005-12-09
91,None,Paderborn,GER,2,1430.02331543,2005-12-10,2005-12-14
