,Rank,Club,Country,Level,Elo,From,To
4340,65,Schalke,GER,1,1668.43444824,2004-01-05,2004-01-07
4341,66,Schalke,GER,1,1668.43444824,2004-01-08,2004-01-10
4342,65,Schalke,GER,1,1668.43444824,2004-01-11,2004-01-17
4343,66,Schalke,GER,1,1668.43444824,2004-01-18,2004-01-25
4344,64,Schalke,GER,1,1668.43444824,2004-01-26,2004-01-30
4345,58,Schalke,GER,1,1679.28833008,2004-01-31,2004-01-31
4346,60,Schalke,GER,1,1679.28833008,2004-02-01,2004-02-07
4347,62,Schalke,GER,1,1674.94946289,2004-02-08,2004-02-08
4348,63,Schalke,GER,1,1674.94946289,2004-02-09,2004-02-11
4349,62,Schalke,GER,1,1674.94946289,2004-02-12,2004-02-14
4350,57,Schalke,GER,1,1684.57751465,2004-02-15,2004-02-15
4351,58,Schalke,GER,1,1684.57751465,2004-02-16,2004-02-21
4352,57,Schalke,GER,1,1684.74450684,2004-02-22,2004-02-24
4353,58,Schalke,GER,1,1684.04577637,2004-02-25,2004-02-25
4354,59,Schalke,GER,1,1681.68017578,2004-02-26,2004-02-26
4355,62,Schalke,GER,1,1681.68017578,2004-02-27,2004-02-28
4356,56,Schalke,GER,1,1685.25366211,2004-02-29,2004-02-29
4357,58,Schalke,GER,1,1685.25366211,2004-03-01,2004-03-06
4358,54,Schalke,GER,1,1691.75390625,2004-03-07,2004-03-09
4359,53,Schalke,GER,1,1691.65942383,2004-03-10,2004-03-10
4360,55,Schalke,GER,1,1690.36499023,2004-03-11,2004-03-13
4361,64,Schalke,GER,1,1674.74487305,2004-03-14,2004-03-14
4362,69,Schalke,GER,1,1674.74487305,2004-03-15,2004-03-20
4363,71,Schalke,GER,1,1670.0,2004-03-21,2004-03-21
4364,69,Schalke,GER,1,1670.0,2004-03-22,2004-03-27
4365,61,Schalke,GER,1,1680.52380371,2004-03-28,2004-03-28
4366,60,Schalke,GER,1,1680.52380371,2004-03-29,2004-04-03
4367,57,Schalke,GER,1,1689.41601562,2004-04-04,2004-04-06
4368,56,Schalke,GER,1,1689.41601562,2004-04-07,2004-04-07
4369,57,Schalke,GER,1,1689.41601562,2004-04-08,2004-04-10
4370,60,Schalke,GER,1,1686.22119141,2004-04-11,2004-04-12
4371,59,Schalke,GER,1,1686.22119141,2004-04-13,2004-04-14
4372,60,Schalke,GER,1,1686.22119141,2004-04-15,2004-04-17
4373,66,Schalke,GER,1,1676.28588867,2004-04-18,2004-04-18
4374,71,Schalke,GER,1,1676.28588867,2004-04-19,2004-04-20
4375,70,Schalke,GER,1,1676.28588867,2004-04-21,2004-04-23
4376,69,Schalke,GER,1,1676.28588867,2004-04-24,2004-04-24
4377,78,Schalke,GER,1,1665.72265625,2004-04-25,2004-04-25
4378,77,Schalke,GER,1,1665.72265625,2004-04-26,2004-05-02
4379,69,Schalke,GER,1,1673.8885498,2004-05-03,2004-05-05
4380,70,Schalke,GER,1,1673.8885498,2004-05-06,2004-05-08
4381,75,Schalke,GER,1,1662.86791992,2004-05-09,2004-05-15
4382,69,Schalke,GER,1,1669.85766602,2004-05-16,2004-05-16
4383,71,Schalke,GER,1,1669.85766602,2004-05-17,2004-05-22
4384,71,Schalke,GER,1,1670.82727051,2004-05-23,2004-06-06
4385,70,Schalke,GER,1,1670.82727051,2004-06-07,2004-06-13
4386,71,Schalke,GER,1,1670.82727051,2004-06-14,2004-06-19
4387,72,Schalke,GER,1,1670.82727051,2004-06-20,2004-07-15
4388,71,Schalke,GER,1,1670.82727051,2004-07-16,2004-07-20
4389,72,Schalke,GER,1,1670.82727051,2004-07-21,2004-08-02
4390,71,Schalke,GER,1,1670.82727051,2004-08-03,2004-08-06
4391,73,Schalke,GER,1,1667.25561523,2004-08-07,2004-08-10
4392,72,Schalke,GER,1,1667.25561523,2004-08-11,2004-08-11
4393,70,Schalke,GER,1,1671.05883789,2004-08-12,2004-08-12
4394,69,Schalke,GER,1,1671.05883789,2004-08-13,2004-08-14
4395,66,Schalke,GER,1,1674.5534668,2004-08-15,2004-08-20
4396,67,Schalke,GER,1,1674.5534668,2004-08-21,2004-08-24
4397,69,Schalke,GER,1,1674.5534668,2004-08-25,2004-08-25
4398,72,Schalke,GER,1,1674.14770508,2004-08-26,2004-08-28
4399,79,Schalke,GER,1,1657.39367676,2004-08-29,2004-08-29
4400,80,Schalke,GER,1,1657.39367676,2004-08-30,2004-09-11
4401,87,Schalke,GER,1,1646.05102539,2004-09-12,2004-09-12
4402,86,Schalke,GER,1,1646.05102539,2004-09-13,2004-09-14
4403,90,Schalke,GER,1,1643.15136719,2004-09-15,2004-09-15
4404,85,Schalke,GER,1,1650.27478027,2004-09-16,2004-09-16
4405,85,Schalke,GER,1,1654.07836914,2004-09-17,2004-09-18
4406,81,Schalke,GER,1,1659.3626709,2004-09-19,2004-09-19
4407,79,Schalke,GER,1,1659.3626709,2004-09-20,2004-09-22
4408,80,Schalke,GER,1,1659.3626709,2004-09-23,2004-09-25
4409,85,Schalke,GER,1,1652.17553711,2004-09-26,2004-09-26
4410,84,Schalke,GER,1,1652.17553711,2004-09-27,2004-09-28
4411,84,Schalke,GER,1,1652.32836914,2004-09-29,2004-09-29
4412,83,Schalke,GER,1,1656.18115234,2004-09-30,2004-09-30
4413,82,Schalke,GER,1,1652.31677246,2004-10-01,2004-10-01
4414,83,Schalke,GER,1,1652.31677246,2004-10-02,2004-10-03
4415,79,Schalke,GER,1,1658.6619873,2004-10-04,2004-10-09
4416,78,Schalke,GER,1,1658.6619873,2004-10-10,2004-10-16
4417,71,Schalke,GER,1,1672.58044434,2004-10-17,2004-10-17
4418,70,Schalke,GER,1,1672.58044434,2004-10-18,2004-10-18
4419,69,Schalke,GER,1,1672.58044434,2004-10-19,2004-10-19
4420,67,Schalke,GER,1,1673.66247559,2004-10-20,2004-10-20
4421,67,Schalke,GER,1,1677.26916504,2004-10-21,2004-10-21
4422,67,Schalke,GER,1,1677.0012207,2004-10-22,2004-10-23
4423,66,Schalke,GER,1,1677.0012207,2004-10-24,2004-10-24
4424,66,Schalke,GER,1,1681.44396973,2004-10-25,2004-10-27
4425,59,Schalke,GER,1,1692.53295898,2004-10-28,2004-10-29
4426,60,Schalke,GER,1,1692.53295898,2004-10-30,2004-10-30
4427,56,Schalke,GER,1,1700.59631348,2004-10-31,2004-10-31
4428,57,Schalke,GER,1,1700.59631348,2004-11-01,2004-11-02
4429,56,Schalke,GER,1,1703.02172852,2004-11-03,2004-11-03
4430,56,Schalke,GER,1,1700.54516602,2004-11-04,2004-11-04
4431,52,Schalke,GER,1,1710.39233398,2004-11-05,2004-11-06
4432,51,Schalke,GER,1,1710.39233398,2004-11-07,2004-11-07
4433,47,Schalke,GER,1,1719.57836914,2004-11-08,2004-11-10
4434,46,Schalke,GER,1,1719.57836914,2004-11-11,2004-11-13
4435,54,Schalke,GER,1,1702.75512695,2004-11-14,2004-11-20
4436,42,Schalke,GER,1,1723.50500488,2004-11-21,2004-11-21
4437,43,Schalke,GER,1,1723.50500488,2004-11-22,2004-11-23
4438,41,Schalke,GER,1,1726.19470215,2004-11-24,2004-11-24
4439,42,Schalke,GER,1,1725.11108398,2004-11-25,2004-11-25
4440,44,Schalke,GER,1,1725.70898438,2004-11-26,2004-11-27
4441,43,Schalke,GER,1,1725.70898438,2004-11-28,2004-11-28
4442,38,Schalke,GER,1,1729.00805664,2004-11-29,2004-12-01
4443,43,Schalke,GER,1,1721.47460938,2004-12-02,2004-12-02
4444,44,Schalke,GER,1,1720.84375,2004-12-03,2004-12-05
4445,38,Schalke,GER,1,1730.77282715,2004-12-06,2004-12-07
4446,33,Schalke,GER,1,1737.47094727,2004-12-08,2004-12-08
4447,33,Schalke,GER,1,1741.17224121,2004-12-09,2004-12-11
4448,39,Schalke,GER,1,1734.13903809,2004-12-12,2004-12-12
4449,37,Schalke,GER,1,1734.13903809,2004-12-13,2004-12-15
4450,35,Schalke,GER,1,1740.65563965,2004-12-16,2004-12-29
4451,36,Schalke,GER,1,1740.65563965,2004-12-30,2005-01-04
4452,35,Schalke,GER,1,1740.65563965,2005-01-05,2005-01-09
4453,34,Schalke,GER,1,1740.65563965,2005-01-10,2005-01-16
4454,35,Schalke,GER,1,1740.65563965,2005-01-17,2005-01-22
4455,30,Schalke,GER,1,1748.06604004,2005-01-23,2005-01-25
4456,29,Schalke,GER,1,1748.06604004,2005-01-26,2005-01-26
4457,28,Schalke,GER,1,1748.06604004,2005-01-27,2005-01-29
4458,34,Schalke,GER,1,1736.44726562,2005-01-30,2005-02-05
4459,35,Schalke,GER,1,1734.8145752,2005-02-06,2005-02-06
4460,34,Schalke,GER,1,1734.8145752,2005-02-07,2005-02-12
4461,31,Schalke,GER,1,1741.48706055,2005-02-13,2005-02-16
4462,30,Schalke,GER,1,1746.5892334,2005-02-17,2005-02-17
4463,31,Schalke,GER,1,1746.26635742,2005-02-18,2005-02-20
4464,28,Schalke,GER,1,1757.12390137,2005-02-21,2005-02-22
4465,28,Schalke,GER,1,1757.27746582,2005-02-23,2005-02-23
4466,29,Schalke,GER,1,1751.4630127,2005-02-24,2005-02-24
4467,39,Schalke,GER,1,1718.30773926,2005-02-25,2005-02-26
4468,40,Schalke,GER,1,1718.30773926,2005-02-27,2005-02-27
4469,38,Schalke,GER,1,1722.10778809,2005-02-28,2005-03-05
4470,34,Schalke,GER,1,1732.65881348,2005-03-06,2005-03-06
4471,33,Schalke,GER,1,1732.65881348,2005-03-07,2005-03-08
4472,33,Schalke,GER,1,1730.33459473,2005-03-09,2005-03-09
4473,33,Schalke,GER,1,1727.2109375,2005-03-10,2005-03-10
4474,32,Schalke,GER,1,1727.2109375,2005-03-11,2005-03-12
4475,33,Schalke,GER,1,1727.2109375,2005-03-13,2005-03-13
4476,31,Schalke,GER,1,1735.54321289,2005-03-14,2005-03-15
4477,30,Schalke,GER,1,1735.54321289,2005-03-16,2005-03-17
4478,29,Schalke,GER,1,1735.54321289,2005-03-18,2005-03-20
4479,35,Schalke,GER,1,1725.61608887,2005-03-21,2005-03-21
4480,34,Schalke,GER,1,1725.61608887,2005-03-22,2005-04-02
4481,32,Schalke,GER,1,1730.29492188,2005-04-03,2005-04-03
4482,31,Schalke,GER,1,1730.29492188,2005-04-04,2005-04-06
4483,32,Schalke,GER,1,1728.49560547,2005-04-07,2005-04-07
4484,33,Schalke,GER,1,1728.49560547,2005-04-08,2005-04-09
4485,37,Schalke,GER,1,1719.69421387,2005-04-10,2005-04-10
4486,38,Schalke,GER,1,1719.69421387,2005-04-11,2005-04-12
4487,38,Schalke,GER,1,1719.38049316,2005-04-13,2005-04-13
4488,39,Schalke,GER,1,1719.38049316,2005-04-14,2005-04-14
4489,40,Schalke,GER,1,1719.38049316,2005-04-15,2005-04-16
4490,47,Schalke,GER,1,1707.95178223,2005-04-17,2005-04-17
4491,45,Schalke,GER,1,1707.95178223,2005-04-18,2005-04-20
4492,46,Schalke,GER,1,1707.95178223,2005-04-21,2005-04-23
4493,54,Schalke,GER,1,1698.59765625,2005-04-24,2005-04-24
4494,55,Schalke,GER,1,1698.59765625,2005-04-25,2005-04-30
