,Rank,Club,Country,Level,Elo,From,To
156,None,Siegen,GER,2,1388.49169922,2005-07-02,2005-07-14
157,None,Siegen,GER,2,1388.55651855,2005-07-15,2005-07-28
158,None,Siegen,GER,2,1388.55273438,2005-07-29,2005-08-07
159,None,Siegen,GER,2,1382.22680664,2005-08-08,2005-08-10
160,None,Siegen,GER,2,1381.0994873,2005-08-11,2005-08-11
161,None,Siegen,GER,2,1381.28637695,2005-08-12,2005-08-14
162,None,Siegen,GER,2,1395.06506348,2005-08-15,2005-08-24
163,None,Siegen,GER,2,1398.94812012,2005-08-25,2005-08-25
164,None,Siegen,GER,2,1399.07531738,2005-08-26,2005-08-28
165,None,Siegen,GER,2,1415.83557129,2005-08-29,2005-09-11
166,None,Siegen,GER,2,1402.34069824,2005-09-12,2005-09-13
167,None,Siegen,GER,2,1401.33398438,2005-09-14,2005-09-14
168,None,Siegen,GER,2,1398.17102051,2005-09-15,2005-09-15
169,None,Siegen,GER,2,1393.84411621,2005-09-16,2005-09-18
170,None,Siegen,GER,2,1404.16870117,2005-09-19,2005-09-22
171,None,Siegen,GER,2,1405.2565918,2005-09-23,2005-09-25
172,None,Siegen,GER,2,1400.98706055,2005-09-26,2005-09-27
173,None,Siegen,GER,2,1398.56958008,2005-09-28,2005-09-28
174,None,Siegen,GER,2,1399.40795898,2005-09-29,2005-09-29
175,None,Siegen,GER,2,1395.74572754,2005-09-30,2005-10-02
176,None,Siegen,GER,2,1394.7442627,2005-10-03,2005-10-16
177,None,Siegen,GER,2,1396.51855469,2005-10-17,2005-10-18
178,None,Siegen,GER,2,1399.90344238,2005-10-19,2005-10-19
179,None,Siegen,GER,2,1400.97058105,2005-10-20,2005-10-20
180,None,Siegen,GER,2,1411.61730957,2005-10-21,2005-10-23
181,None,Siegen,GER,2,1405.55114746,2005-10-24,2005-10-28
182,None,Siegen,GER,2,1399.95654297,2005-10-29,2005-11-01
183,None,Siegen,GER,2,1402.63806152,2005-11-02,2005-11-02
184,None,Siegen,GER,2,1402.1541748,2005-11-03,2005-11-03
185,None,Siegen,GER,2,1397.52636719,2005-11-04,2005-11-06
186,None,Siegen,GER,2,1417.58459473,2005-11-07,2005-11-18
187,None,Siegen,GER,2,1406.74645996,2005-11-19,2005-11-22
188,None,Siegen,GER,2,1406.06994629,2005-11-23,2005-11-23
189,None,Siegen,GER,2,1411.31982422,2005-11-24,2005-11-24
190,None,Siegen,GER,2,1409.63720703,2005-11-25,2005-11-30
191,None,Siegen,GER,2,1410.80322266,2005-12-01,2005-12-02
192,None,Siegen,GER,2,1412.08728027,2005-12-03,2005-12-06
193,None,Siegen,GER,2,1411.05334473,2005-12-07,2005-12-07
194,None,Siegen,GER,2,1419.75708008,2005-12-08,2005-12-11
195,None,Siegen,GER,2,1414.80175781,2005-12-12,2005-12-14
196,None,Siegen,GER,2,1415.96630859,2005-12-15,2005-12-15
197,None,Siegen,GER,2,1415.42504883,2005-12-16,2005-12-22
198,None,Siegen,GER,2,1406.98474121,2005-12-23,2006-01-24
199,None,Siegen,GER,2,1406.94799805,2006-01-25,2006-01-29
200,None,Siegen,GER,2,1401.640625,2006-01-30,2006-02-03
201,None,Siegen,GER,2,1380.22729492,2006-02-04,2006-02-12
202,None,Siegen,GER,2,1376.11047363,2006-02-13,2006-02-15
203,None,Siegen,GER,2,1372.47119141,2006-02-16,2006-02-16
204,None,Siegen,GER,2,1366.6340332,2006-02-17,2006-02-21
205,None,Siegen,GER,2,1365.32580566,2006-02-22,2006-02-22
206,None,Siegen,GER,2,1366.52722168,2006-02-23,2006-02-23
207,None,Siegen,GER,2,1371.18383789,2006-02-24,2006-02-26
208,None,Siegen,GER,2,1366.69311523,2006-02-27,2006-03-07
209,None,Siegen,GER,2,1364.38330078,2006-03-08,2006-03-08
210,None,Siegen,GER,2,1359.82702637,2006-03-09,2006-03-09
211,None,Siegen,GER,2,1353.48937988,2006-03-10,2006-03-12
212,None,Siegen,GER,2,1348.31286621,2006-03-13,2006-03-15
213,None,Siegen,GER,2,1349.08679199,2006-03-16,2006-03-16
214,None,Siegen,GER,2,1354.31665039,2006-03-17,2006-03-17
215,None,Siegen,GER,2,1352.24133301,2006-03-18,2006-03-22
216,None,Siegen,GER,2,1343.75708008,2006-03-23,2006-03-26
217,None,Siegen,GER,2,1338.06494141,2006-03-27,2006-03-29
218,None,Siegen,GER,2,1323.61328125,2006-03-30,2006-03-30
219,None,Siegen,GER,2,1327.00891113,2006-03-31,2006-04-02
220,None,Siegen,GER,2,1341.67480469,2006-04-03,2006-04-06
221,None,Siegen,GER,2,1341.54650879,2006-04-07,2006-04-07
222,None,Siegen,GER,2,1339.2052002,2006-04-08,2006-04-13
223,None,Siegen,GER,2,1327.39746094,2006-04-14,2006-04-20
224,None,Siegen,GER,2,1326.81188965,2006-04-21,2006-04-23
225,None,Siegen,GER,2,1332.65087891,2006-04-24,2006-04-27
226,None,Siegen,GER,2,1330.03100586,2006-04-28,2006-05-02
227,None,Siegen,GER,2,1326.55541992,2006-05-03,2006-05-07
228,None,Siegen,GER,2,1335.92834473,2006-05-08,2006-05-14
229,None,Siegen,GER,2,1355.1907959,2006-05-15,2006-07-02
