,Rank,Club,Country,Level,Elo,From,To
4115,30,Stuttgart,GER,1,1764.75488281,2004-01-12,2004-01-25
4116,28,Stuttgart,GER,1,1764.75488281,2004-01-26,2004-01-31
4117,28,Stuttgart,GER,1,1768.85876465,2004-02-01,2004-02-01
4118,26,Stuttgart,GER,1,1768.85876465,2004-02-02,2004-02-07
4119,25,Stuttgart,GER,1,1768.85876465,2004-02-08,2004-02-08
4120,33,Stuttgart,GER,1,1758.20239258,2004-02-09,2004-02-14
4121,33,Stuttgart,GER,1,1752.1192627,2004-02-15,2004-02-21
4122,38,Stuttgart,GER,1,1741.76184082,2004-02-22,2004-02-24
4123,38,Stuttgart,GER,1,1741.06311035,2004-02-25,2004-02-25
4124,40,Stuttgart,GER,1,1732.08666992,2004-02-26,2004-02-26
4125,41,Stuttgart,GER,1,1732.08666992,2004-02-27,2004-02-28
4126,42,Stuttgart,GER,1,1728.51318359,2004-02-29,2004-02-29
4127,40,Stuttgart,GER,1,1728.51318359,2004-03-01,2004-03-03
4128,39,Stuttgart,GER,1,1728.51318359,2004-03-04,2004-03-06
4129,36,Stuttgart,GER,1,1742.01794434,2004-03-07,2004-03-07
4130,37,Stuttgart,GER,1,1742.01794434,2004-03-08,2004-03-09
4131,36,Stuttgart,GER,1,1741.66027832,2004-03-10,2004-03-10
4132,37,Stuttgart,GER,1,1740.36572266,2004-03-11,2004-03-11
4133,38,Stuttgart,GER,1,1740.36572266,2004-03-12,2004-03-14
4134,36,Stuttgart,GER,1,1744.61999512,2004-03-15,2004-03-20
4135,35,Stuttgart,GER,1,1740.44311523,2004-03-21,2004-03-21
4136,36,Stuttgart,GER,1,1740.44311523,2004-03-22,2004-03-23
4137,34,Stuttgart,GER,1,1740.44311523,2004-03-24,2004-03-24
4138,36,Stuttgart,GER,1,1740.44311523,2004-03-25,2004-03-25
4139,34,Stuttgart,GER,1,1740.44311523,2004-03-26,2004-03-28
4140,34,Stuttgart,GER,1,1739.43310547,2004-03-29,2004-04-03
4141,33,Stuttgart,GER,1,1752.63781738,2004-04-04,2004-04-04
4142,34,Stuttgart,GER,1,1752.63781738,2004-04-05,2004-04-07
4143,33,Stuttgart,GER,1,1752.63781738,2004-04-08,2004-04-11
4144,33,Stuttgart,GER,1,1758.51477051,2004-04-12,2004-04-12
4145,32,Stuttgart,GER,1,1758.51477051,2004-04-13,2004-04-17
4146,30,Stuttgart,GER,1,1761.59655762,2004-04-18,2004-04-24
4147,29,Stuttgart,GER,1,1767.73034668,2004-04-25,2004-05-01
4148,28,Stuttgart,GER,1,1767.73034668,2004-05-02,2004-05-02
4149,31,Stuttgart,GER,1,1763.06958008,2004-05-03,2004-05-08
4150,32,Stuttgart,GER,1,1753.93713379,2004-05-09,2004-05-09
4151,34,Stuttgart,GER,1,1753.93713379,2004-05-10,2004-05-12
4152,32,Stuttgart,GER,1,1753.93713379,2004-05-13,2004-05-15
4153,28,Stuttgart,GER,1,1764.18103027,2004-05-16,2004-05-22
4154,32,Stuttgart,GER,1,1755.1505127,2004-05-23,2004-05-23
4155,31,Stuttgart,GER,1,1755.1505127,2004-05-24,2004-08-08
4156,31,Stuttgart,GER,1,1758.0814209,2004-08-09,2004-08-11
4157,31,Stuttgart,GER,1,1761.88476562,2004-08-12,2004-08-14
4158,32,Stuttgart,GER,1,1759.04162598,2004-08-15,2004-08-25
4159,32,Stuttgart,GER,1,1758.63586426,2004-08-26,2004-08-26
4160,31,Stuttgart,GER,1,1758.63586426,2004-08-27,2004-08-28
4161,30,Stuttgart,GER,1,1763.97937012,2004-08-29,2004-08-29
4162,29,Stuttgart,GER,1,1763.97937012,2004-08-30,2004-09-11
4163,24,Stuttgart,GER,1,1768.43261719,2004-09-12,2004-09-12
4164,26,Stuttgart,GER,1,1768.43261719,2004-09-13,2004-09-14
4165,28,Stuttgart,GER,1,1765.53295898,2004-09-15,2004-09-15
4166,26,Stuttgart,GER,1,1772.65625,2004-09-16,2004-09-16
4167,22,Stuttgart,GER,1,1778.90161133,2004-09-17,2004-09-19
4168,22,Stuttgart,GER,1,1777.47216797,2004-09-20,2004-09-22
4169,20,Stuttgart,GER,1,1777.47216797,2004-09-23,2004-09-25
4170,19,Stuttgart,GER,1,1787.23510742,2004-09-26,2004-09-28
4171,18,Stuttgart,GER,1,1787.38806152,2004-09-29,2004-09-29
4172,16,Stuttgart,GER,1,1791.24072266,2004-09-30,2004-09-30
4173,17,Stuttgart,GER,1,1787.99987793,2004-10-01,2004-10-03
4174,16,Stuttgart,GER,1,1794.70324707,2004-10-04,2004-10-16
4175,16,Stuttgart,GER,1,1800.19262695,2004-10-17,2004-10-19
4176,16,Stuttgart,GER,1,1801.27453613,2004-10-20,2004-10-20
4177,17,Stuttgart,GER,1,1804.88122559,2004-10-21,2004-10-21
4178,17,Stuttgart,GER,1,1813.9239502,2004-10-22,2004-10-24
4179,18,Stuttgart,GER,1,1797.15917969,2004-10-25,2004-10-27
4180,21,Stuttgart,GER,1,1786.64025879,2004-10-28,2004-10-30
4181,24,Stuttgart,GER,1,1778.57678223,2004-10-31,2004-10-31
4182,23,Stuttgart,GER,1,1778.57678223,2004-11-01,2004-11-02
4183,23,Stuttgart,GER,1,1781.00219727,2004-11-03,2004-11-03
4184,22,Stuttgart,GER,1,1778.52575684,2004-11-04,2004-11-04
4185,20,Stuttgart,GER,1,1788.83166504,2004-11-05,2004-11-07
4186,20,Stuttgart,GER,1,1793.14111328,2004-11-08,2004-11-13
4187,21,Stuttgart,GER,1,1778.31970215,2004-11-14,2004-11-14
4188,22,Stuttgart,GER,1,1778.31970215,2004-11-15,2004-11-20
4189,21,Stuttgart,GER,1,1781.09130859,2004-11-21,2004-11-21
4190,20,Stuttgart,GER,1,1781.09130859,2004-11-22,2004-11-23
4191,20,Stuttgart,GER,1,1783.78100586,2004-11-24,2004-11-24
4192,20,Stuttgart,GER,1,1782.6973877,2004-11-25,2004-11-25
4193,25,Stuttgart,GER,1,1770.84118652,2004-11-26,2004-11-27
4194,24,Stuttgart,GER,1,1770.84118652,2004-11-28,2004-11-28
4195,24,Stuttgart,GER,1,1770.73156738,2004-11-29,2004-12-01
4196,24,Stuttgart,GER,1,1768.72619629,2004-12-02,2004-12-02
4197,25,Stuttgart,GER,1,1768.09533691,2004-12-03,2004-12-04
4198,23,Stuttgart,GER,1,1773.34802246,2004-12-05,2004-12-07
4199,21,Stuttgart,GER,1,1780.04614258,2004-12-08,2004-12-08
4200,19,Stuttgart,GER,1,1783.74755859,2004-12-09,2004-12-11
4201,18,Stuttgart,GER,1,1787.90551758,2004-12-12,2004-12-15
4202,16,Stuttgart,GER,1,1795.7767334,2004-12-16,2004-12-19
4203,17,Stuttgart,GER,1,1795.7767334,2004-12-20,2004-12-22
4204,18,Stuttgart,GER,1,1795.7767334,2004-12-23,2005-01-09
4205,19,Stuttgart,GER,1,1795.7767334,2005-01-10,2005-01-15
4206,18,Stuttgart,GER,1,1795.7767334,2005-01-16,2005-01-22
4207,15,Stuttgart,GER,1,1801.56286621,2005-01-23,2005-01-23
4208,17,Stuttgart,GER,1,1801.56286621,2005-01-24,2005-01-29
4209,22,Stuttgart,GER,1,1781.16760254,2005-01-30,2005-01-30
4210,21,Stuttgart,GER,1,1781.16760254,2005-01-31,2005-02-05
4211,22,Stuttgart,GER,1,1775.32409668,2005-02-06,2005-02-12
4212,24,Stuttgart,GER,1,1768.14135742,2005-02-13,2005-02-13
4213,25,Stuttgart,GER,1,1768.14135742,2005-02-14,2005-02-16
4214,25,Stuttgart,GER,1,1770.53051758,2005-02-17,2005-02-17
4215,25,Stuttgart,GER,1,1770.2076416,2005-02-18,2005-02-20
4216,22,Stuttgart,GER,1,1775.25183105,2005-02-21,2005-02-22
4217,22,Stuttgart,GER,1,1775.40527344,2005-02-23,2005-02-23
4218,23,Stuttgart,GER,1,1769.59082031,2005-02-24,2005-02-24
4219,35,Stuttgart,GER,1,1729.09228516,2005-02-25,2005-02-27
4220,32,Stuttgart,GER,1,1733.17834473,2005-02-28,2005-03-02
4221,33,Stuttgart,GER,1,1733.17834473,2005-03-03,2005-03-05
4222,33,Stuttgart,GER,1,1736.36962891,2005-03-06,2005-03-06
4223,31,Stuttgart,GER,1,1736.36962891,2005-03-07,2005-03-08
4224,32,Stuttgart,GER,1,1734.04528809,2005-03-09,2005-03-09
4225,31,Stuttgart,GER,1,1730.92163086,2005-03-10,2005-03-10
4226,30,Stuttgart,GER,1,1730.92163086,2005-03-11,2005-03-13
4227,29,Stuttgart,GER,1,1744.52636719,2005-03-14,2005-03-15
4228,28,Stuttgart,GER,1,1744.52636719,2005-03-16,2005-03-20
4229,28,Stuttgart,GER,1,1746.23999023,2005-03-21,2005-04-02
4230,24,Stuttgart,GER,1,1757.75256348,2005-04-03,2005-04-03
4231,25,Stuttgart,GER,1,1757.75256348,2005-04-04,2005-04-06
4232,25,Stuttgart,GER,1,1755.953125,2005-04-07,2005-04-07
4233,24,Stuttgart,GER,1,1755.953125,2005-04-08,2005-04-09
4234,21,Stuttgart,GER,1,1764.75439453,2005-04-10,2005-04-12
4235,21,Stuttgart,GER,1,1764.44067383,2005-04-13,2005-04-13
4236,22,Stuttgart,GER,1,1764.44067383,2005-04-14,2005-04-14
4237,21,Stuttgart,GER,1,1764.44067383,2005-04-15,2005-04-16
4238,22,Stuttgart,GER,1,1753.50366211,2005-04-17,2005-04-23
4239,23,Stuttgart,GER,1,1747.57409668,2005-04-24,2005-04-30
4240,26,Stuttgart,GER,1,1733.6328125,2005-05-01,2005-05-01
4241,28,Stuttgart,GER,1,1733.6328125,2005-05-02,2005-05-04
4242,29,Stuttgart,GER,1,1733.6328125,2005-05-05,2005-05-07
4243,28,Stuttgart,GER,1,1736.93395996,2005-05-08,2005-05-08
4244,27,Stuttgart,GER,1,1736.93395996,2005-05-09,2005-05-14
4245,35,Stuttgart,GER,1,1723.45812988,2005-05-15,2005-05-21
4246,41,Stuttgart,GER,1,1713.81726074,2005-05-22,2005-05-22
4247,40,Stuttgart,GER,1,1713.81726074,2005-05-23,2005-05-28
4248,41,Stuttgart,GER,1,1713.81726074,2005-05-29,2005-05-29
4249,40,Stuttgart,GER,1,1713.81726074,2005-05-30,2005-07-14
4250,40,Stuttgart,GER,1,1713.88208008,2005-07-15,2005-07-28
4251,40,Stuttgart,GER,1,1713.8782959,2005-07-29,2005-08-03
4252,39,Stuttgart,GER,1,1713.8782959,2005-08-04,2005-08-06
4253,43,Stuttgart,GER,1,1710.64672852,2005-08-07,2005-08-07
4254,42,Stuttgart,GER,1,1710.64672852,2005-08-08,2005-08-10
4255,42,Stuttgart,GER,1,1709.51940918,2005-08-11,2005-08-11
4256,42,Stuttgart,GER,1,1709.70629883,2005-08-12,2005-08-13
4257,44,Stuttgart,GER,1,1709.70629883,2005-08-14,2005-08-14
4258,47,Stuttgart,GER,1,1696.51037598,2005-08-15,2005-08-21
4259,48,Stuttgart,GER,1,1696.51037598,2005-08-22,2005-08-23
4260,49,Stuttgart,GER,1,1696.51037598,2005-08-24,2005-08-24
4261,47,Stuttgart,GER,1,1700.39343262,2005-08-25,2005-08-25
4262,48,Stuttgart,GER,1,1700.52062988,2005-08-26,2005-08-27
4263,46,Stuttgart,GER,1,1705.22021484,2005-08-28,2005-08-28
4264,45,Stuttgart,GER,1,1705.22021484,2005-08-29,2005-09-10
4265,51,Stuttgart,GER,1,1699.53283691,2005-09-11,2005-09-11
4266,52,Stuttgart,GER,1,1699.53283691,2005-09-12,2005-09-13
4267,51,Stuttgart,GER,1,1698.52612305,2005-09-14,2005-09-14
4268,52,Stuttgart,GER,1,1695.36315918,2005-09-15,2005-09-15
4269,54,Stuttgart,GER,1,1692.50842285,2005-09-16,2005-09-17
4270,49,Stuttgart,GER,1,1699.37011719,2005-09-18,2005-09-18
4271,50,Stuttgart,GER,1,1699.37011719,2005-09-19,2005-09-21
4272,59,Stuttgart,GER,1,1688.42553711,2005-09-22,2005-09-24
4273,60,Stuttgart,GER,1,1688.42553711,2005-09-25,2005-09-25
4274,58,Stuttgart,GER,1,1692.12646484,2005-09-26,2005-09-27
4275,58,Stuttgart,GER,1,1689.70898438,2005-09-28,2005-09-28
4276,59,Stuttgart,GER,1,1690.54748535,2005-09-29,2005-09-29
4277,61,Stuttgart,GER,1,1686.83666992,2005-09-30,2005-10-01
4278,60,Stuttgart,GER,1,1686.83666992,2005-10-02,2005-10-02
4279,58,Stuttgart,GER,1,1689.390625,2005-10-03,2005-10-15
4280,59,Stuttgart,GER,1,1685.2590332,2005-10-16,2005-10-16
4281,58,Stuttgart,GER,1,1685.2590332,2005-10-17,2005-10-18
4282,57,Stuttgart,GER,1,1688.6439209,2005-10-19,2005-10-19
4283,58,Stuttgart,GER,1,1689.71118164,2005-10-20,2005-10-20
4284,43,Stuttgart,GER,1,1716.87145996,2005-10-21,2005-10-23
4285,41,Stuttgart,GER,1,1718.82165527,2005-10-24,2005-10-26
4286,40,Stuttgart,GER,1,1718.82165527,2005-10-27,2005-10-29
4287,44,Stuttgart,GER,1,1716.75097656,2005-10-30,2005-10-30
4288,45,Stuttgart,GER,1,1716.75097656,2005-10-31,2005-11-01
4289,44,Stuttgart,GER,1,1719.43249512,2005-11-02,2005-11-02
4290,47,Stuttgart,GER,1,1718.94848633,2005-11-03,2005-11-03
4291,53,Stuttgart,GER,1,1698.96630859,2005-11-04,2005-11-05
4292,54,Stuttgart,GER,1,1698.96630859,2005-11-06,2005-11-06
4293,50,Stuttgart,GER,1,1705.13793945,2005-11-07,2005-11-19
4294,52,Stuttgart,GER,1,1705.13793945,2005-11-20,2005-11-20
4295,55,Stuttgart,GER,1,1700.36572266,2005-11-21,2005-11-22
4296,57,Stuttgart,GER,1,1699.68920898,2005-11-23,2005-11-23
