,Rank,Club,Country,Level,Elo,From,To
0,None,Wehen,GER,2,1400.60168457,2007-07-01,2007-08-12
1,None,Wehen,GER,2,1410.14233398,2007-08-13,2007-08-15
2,None,Wehen,GER,2,1409.90881348,2007-08-16,2007-08-16
3,None,Wehen,GER,2,1409.49157715,2007-08-17,2007-08-17
4,None,Wehen,GER,2,1408.11462402,2007-08-18,2007-08-26
5,None,Wehen,GER,2,1397.4855957,2007-08-27,2007-08-29
6,None,Wehen,GER,2,1399.41589355,2007-08-30,2007-08-30
7,None,Wehen,GER,2,1400.13208008,2007-08-31,2007-09-02
8,None,Wehen,GER,2,1417.81970215,2007-09-03,2007-09-16
9,None,Wehen,GER,2,1405.9296875,2007-09-17,2007-09-18
10,None,Wehen,GER,2,1403.13549805,2007-09-19,2007-09-19
11,None,Wehen,GER,2,1399.87426758,2007-09-20,2007-09-20
12,None,Wehen,GER,2,1400.49487305,2007-09-21,2007-09-23
13,None,Wehen,GER,2,1412.38378906,2007-09-24,2007-09-26
14,None,Wehen,GER,2,1428.55993652,2007-09-27,2007-09-30
15,None,Wehen,GER,2,1436.46398926,2007-10-01,2007-10-02
16,None,Wehen,GER,2,1434.37390137,2007-10-03,2007-10-03
17,None,Wehen,GER,2,1429.80041504,2007-10-04,2007-10-04
18,None,Wehen,GER,2,1435.23449707,2007-10-05,2007-10-05
19,None,Wehen,GER,2,1439.22302246,2007-10-06,2007-10-21
20,None,Wehen,GER,2,1430.49780273,2007-10-22,2007-10-23
21,None,Wehen,GER,2,1426.99377441,2007-10-24,2007-10-24
22,None,Wehen,GER,2,1427.5078125,2007-10-25,2007-10-25
23,None,Wehen,GER,2,1432.04760742,2007-10-26,2007-10-26
24,None,Wehen,GER,2,1432.57946777,2007-10-27,2007-11-04
25,None,Wehen,GER,2,1432.1862793,2007-11-05,2007-11-06
26,None,Wehen,GER,2,1430.60412598,2007-11-07,2007-11-07
27,None,Wehen,GER,2,1429.25036621,2007-11-08,2007-11-08
28,None,Wehen,GER,2,1421.36914062,2007-11-09,2007-11-09
