,Rank,Club,Country,Level,Elo,From,To
1973,72,Wolfsburg,GER,1,1678.43676758,2005-01-05,2005-01-06
1974,73,Wolfsburg,GER,1,1678.43676758,2005-01-07,2005-01-08
1975,72,Wolfsburg,GER,1,1678.43676758,2005-01-09,2005-01-09
1976,71,Wolfsburg,GER,1,1678.43676758,2005-01-10,2005-01-22
1977,79,Wolfsburg,GER,1,1668.24499512,2005-01-23,2005-01-24
1978,78,Wolfsburg,GER,1,1668.24499512,2005-01-25,2005-01-29
1979,86,Wolfsburg,GER,1,1660.22717285,2005-01-30,2005-01-30
1980,84,Wolfsburg,GER,1,1660.22717285,2005-01-31,2005-02-02
1981,85,Wolfsburg,GER,1,1660.22717285,2005-02-03,2005-02-05
1982,84,Wolfsburg,GER,1,1660.22717285,2005-02-06,2005-02-06
1983,88,Wolfsburg,GER,1,1654.13317871,2005-02-07,2005-02-12
1984,93,Wolfsburg,GER,1,1647.46057129,2005-02-13,2005-02-13
1985,94,Wolfsburg,GER,1,1647.46057129,2005-02-14,2005-02-16
1986,93,Wolfsburg,GER,1,1649.04626465,2005-02-17,2005-02-17
1987,93,Wolfsburg,GER,1,1648.7232666,2005-02-18,2005-02-18
1988,92,Wolfsburg,GER,1,1648.7232666,2005-02-19,2005-02-19
1989,85,Wolfsburg,GER,1,1656.66906738,2005-02-20,2005-02-20
1990,86,Wolfsburg,GER,1,1656.66906738,2005-02-21,2005-02-22
1991,85,Wolfsburg,GER,1,1656.82263184,2005-02-23,2005-02-23
1992,88,Wolfsburg,GER,1,1651.00817871,2005-02-24,2005-02-24
1993,None,Wolfsburg,GER,1,1634.65869141,2005-02-25,2005-02-26
1994,100,Wolfsburg,GER,1,1637.39916992,2005-02-27,2005-02-27
1995,None,Wolfsburg,GER,1,1637.39916992,2005-02-28,2005-03-05
1996,None,Wolfsburg,GER,1,1630.91333008,2005-03-06,2005-03-08
1997,None,Wolfsburg,GER,1,1628.58911133,2005-03-09,2005-03-09
1998,None,Wolfsburg,GER,1,1625.4654541,2005-03-10,2005-03-12
1999,None,Wolfsburg,GER,1,1630.81140137,2005-03-13,2005-03-19
2000,None,Wolfsburg,GER,1,1617.66162109,2005-03-20,2005-04-02
2001,None,Wolfsburg,GER,1,1608.69458008,2005-04-03,2005-04-06
2002,None,Wolfsburg,GER,1,1606.89526367,2005-04-07,2005-04-09
2003,None,Wolfsburg,GER,1,1620.43493652,2005-04-10,2005-04-12
2004,None,Wolfsburg,GER,1,1620.12121582,2005-04-13,2005-04-17
2005,None,Wolfsburg,GER,1,1608.98742676,2005-04-18,2005-04-23
2006,None,Wolfsburg,GER,1,1614.91711426,2005-04-24,2005-05-01
2007,None,Wolfsburg,GER,1,1622.28369141,2005-05-02,2005-05-07
2008,None,Wolfsburg,GER,1,1617.31738281,2005-05-08,2005-05-14
2009,None,Wolfsburg,GER,1,1618.42626953,2005-05-15,2005-05-21
2010,None,Wolfsburg,GER,1,1627.63183594,2005-05-22,2005-07-14
2011,None,Wolfsburg,GER,1,1627.6965332,2005-07-15,2005-07-28
2012,None,Wolfsburg,GER,1,1627.69274902,2005-07-29,2005-08-06
2013,None,Wolfsburg,GER,1,1628.00366211,2005-08-07,2005-08-10
2014,None,Wolfsburg,GER,1,1626.87646484,2005-08-11,2005-08-11
2015,None,Wolfsburg,GER,1,1627.06335449,2005-08-12,2005-08-13
2016,None,Wolfsburg,GER,1,1628.66455078,2005-08-14,2005-08-24
2017,None,Wolfsburg,GER,1,1632.54748535,2005-08-25,2005-08-25
2018,100,Wolfsburg,GER,1,1632.67480469,2005-08-26,2005-08-26
2019,99,Wolfsburg,GER,1,1632.67480469,2005-08-27,2005-08-27
2020,93,Wolfsburg,GER,1,1641.19006348,2005-08-28,2005-08-28
2021,94,Wolfsburg,GER,1,1641.19006348,2005-08-29,2005-09-10
2022,93,Wolfsburg,GER,1,1641.19006348,2005-09-11,2005-09-11
2023,98,Wolfsburg,GER,1,1634.08178711,2005-09-12,2005-09-13
2024,99,Wolfsburg,GER,1,1633.07507324,2005-09-14,2005-09-14
2025,None,Wolfsburg,GER,1,1629.91210938,2005-09-15,2005-09-15
2026,None,Wolfsburg,GER,1,1625.58520508,2005-09-16,2005-09-17
2027,None,Wolfsburg,GER,1,1621.46191406,2005-09-18,2005-09-20
2028,94,Wolfsburg,GER,1,1635.88024902,2005-09-21,2005-09-23
2029,95,Wolfsburg,GER,1,1635.88024902,2005-09-24,2005-09-24
2030,91,Wolfsburg,GER,1,1640.40429688,2005-09-25,2005-09-25
2031,92,Wolfsburg,GER,1,1640.40429688,2005-09-26,2005-09-27
2032,93,Wolfsburg,GER,1,1637.98681641,2005-09-28,2005-09-28
2033,93,Wolfsburg,GER,1,1638.82531738,2005-09-29,2005-09-29
2034,97,Wolfsburg,GER,1,1635.16296387,2005-09-30,2005-10-01
2035,99,Wolfsburg,GER,1,1632.5144043,2005-10-02,2005-10-02
2036,None,Wolfsburg,GER,1,1632.5144043,2005-10-03,2005-10-09
2037,100,Wolfsburg,GER,1,1632.5144043,2005-10-10,2005-10-15
2038,91,Wolfsburg,GER,1,1644.16210938,2005-10-16,2005-10-18
