,Rank,Club,Country,Level,Elo,From,To
51,None,Wuerzburg,GER,2,1405.54846191,2016-07-01,2016-07-28
52,None,Wuerzburg,GER,2,1406.07885742,2016-07-29,2016-08-04
53,None,Wuerzburg,GER,2,1398.7442627,2016-08-05,2016-08-07
54,None,Wuerzburg,GER,2,1393.65258789,2016-08-08,2016-08-14
55,None,Wuerzburg,GER,2,1394.46484375,2016-08-15,2016-08-16
56,None,Wuerzburg,GER,2,1396.38647461,2016-08-17,2016-08-24
57,None,Wuerzburg,GER,2,1397.60644531,2016-08-25,2016-08-26
58,None,Wuerzburg,GER,2,1409.00463867,2016-08-27,2016-09-09
59,None,Wuerzburg,GER,2,1421.84265137,2016-09-10,2016-09-13
60,None,Wuerzburg,GER,2,1422.7019043,2016-09-14,2016-09-14
61,None,Wuerzburg,GER,2,1420.74584961,2016-09-15,2016-09-15
62,None,Wuerzburg,GER,2,1422.88696289,2016-09-16,2016-09-16
63,None,Wuerzburg,GER,2,1440.61621094,2016-09-17,2016-09-21
64,None,Wuerzburg,GER,2,1433.25793457,2016-09-22,2016-09-25
65,None,Wuerzburg,GER,2,1434.11474609,2016-09-26,2016-09-27
66,None,Wuerzburg,GER,2,1435.56689453,2016-09-28,2016-09-28
67,None,Wuerzburg,GER,2,1432.14807129,2016-09-29,2016-09-29
68,None,Wuerzburg,GER,2,1435.8762207,2016-09-30,2016-10-02
69,None,Wuerzburg,GER,2,1444.78430176,2016-10-03,2016-10-14
70,None,Wuerzburg,GER,2,1454.06872559,2016-10-15,2016-10-18
71,None,Wuerzburg,GER,2,1455.92236328,2016-10-19,2016-10-19
72,None,Wuerzburg,GER,2,1459.20776367,2016-10-20,2016-10-20
73,None,Wuerzburg,GER,2,1461.21777344,2016-10-21,2016-10-21
74,None,Wuerzburg,GER,2,1448.21520996,2016-10-22,2016-10-30
75,None,Wuerzburg,GER,2,1442.76757812,2016-10-31,2016-11-01
76,None,Wuerzburg,GER,2,1441.59887695,2016-11-02,2016-11-02
77,None,Wuerzburg,GER,2,1446.36315918,2016-11-03,2016-11-03
78,None,Wuerzburg,GER,2,1442.74841309,2016-11-04,2016-11-07
79,None,Wuerzburg,GER,2,1448.9987793,2016-11-08,2016-11-18
80,None,Wuerzburg,GER,2,1453.76940918,2016-11-19,2016-11-22
81,None,Wuerzburg,GER,2,1454.26940918,2016-11-23,2016-11-23
82,None,Wuerzburg,GER,2,1450.17236328,2016-11-24,2016-11-24
83,None,Wuerzburg,GER,2,1453.0032959,2016-11-25,2016-11-25
84,None,Wuerzburg,GER,2,1449.42822266,2016-11-26,2016-12-04
85,None,Wuerzburg,GER,2,1448.2935791,2016-12-05,2016-12-06
86,None,Wuerzburg,GER,2,1449.16650391,2016-12-07,2016-12-07
87,None,Wuerzburg,GER,2,1454.67456055,2016-12-08,2016-12-08
88,None,Wuerzburg,GER,2,1451.12597656,2016-12-09,2016-12-11
89,None,Wuerzburg,GER,2,1453.22912598,2016-12-12,2016-12-18
90,None,Wuerzburg,GER,2,1471.0534668,2016-12-19,2017-01-28
91,None,Wuerzburg,GER,2,1471.13012695,2017-01-29,2017-02-03
92,None,Wuerzburg,GER,2,1464.47155762,2017-02-04,2017-02-11
93,None,Wuerzburg,GER,2,1451.88842773,2017-02-12,2017-02-14
94,None,Wuerzburg,GER,2,1450.04309082,2017-02-15,2017-02-15
95,None,Wuerzburg,GER,2,1452.96313477,2017-02-16,2017-02-16
96,None,Wuerzburg,GER,2,1451.8013916,2017-02-17,2017-02-18
97,None,Wuerzburg,GER,2,1445.98742676,2017-02-19,2017-02-21
98,None,Wuerzburg,GER,2,1443.28137207,2017-02-22,2017-02-22
99,None,Wuerzburg,GER,2,1443.14208984,2017-02-23,2017-02-23
100,None,Wuerzburg,GER,2,1449.69873047,2017-02-24,2017-02-24
101,None,Wuerzburg,GER,2,1448.01184082,2017-02-25,2017-03-03
102,None,Wuerzburg,GER,2,1442.21801758,2017-03-04,2017-03-07
103,None,Wuerzburg,GER,2,1443.24060059,2017-03-08,2017-03-08
104,None,Wuerzburg,GER,2,1449.67138672,2017-03-09,2017-03-11
105,None,Wuerzburg,GER,2,1437.38549805,2017-03-12,2017-03-15
106,None,Wuerzburg,GER,2,1437.81213379,2017-03-16,2017-03-17
107,None,Wuerzburg,GER,2,1431.07702637,2017-03-18,2017-04-01
108,None,Wuerzburg,GER,2,1429.35974121,2017-04-02,2017-04-04
109,None,Wuerzburg,GER,2,1431.26708984,2017-04-05,2017-04-07
110,None,Wuerzburg,GER,2,1434.02563477,2017-04-08,2017-04-12
111,None,Wuerzburg,GER,2,1426.97827148,2017-04-13,2017-04-13
112,None,Wuerzburg,GER,2,1423.28796387,2017-04-14,2017-04-16
113,None,Wuerzburg,GER,2,1418.05078125,2017-04-17,2017-04-18
114,None,Wuerzburg,GER,2,1415.73754883,2017-04-19,2017-04-19
115,None,Wuerzburg,GER,2,1412.90136719,2017-04-20,2017-04-20
116,None,Wuerzburg,GER,2,1412.97229004,2017-04-21,2017-04-23
