Rank,Club,Country,Level,Elo,From,To
1,Man United,ENG,1,1975.86999512,2007-12-30,2008-01-01
2,Barcelona,ESP,1,1965.60632324,2007-12-24,2008-01-05
3,Real Madrid,ESP,1,1962.44311523,2007-12-24,2008-01-06
4,Chelsea,ENG,1,1950.86047363,2007-12-30,2008-01-01
5,Inter,ITA,1,1942.64343262,2007-12-24,2008-01-13
6,Arsenal,ENG,1,1933.71350098,2007-12-30,2008-01-01
7,Liverpool,ENG,1,1900.41833496,2007-12-31,2008-01-02
8,Sevilla,ESP,1,1892.0994873,2007-12-23,2008-01-06
9,Villarreal,ESP,1,1868.4630127,2007-12-24,2008-01-05
10,Atletico,ESP,1,1856.07165527,2007-12-24,2008-01-05
11,Milan,ITA,1,1852.02087402,2007-12-24,2008-01-05
12,Espanyol,ESP,1,1848.42211914,2007-12-24,2008-01-05
13,Roma,ITA,1,1846.57055664,2007-12-24,2008-01-13
14,Juventus,ITA,1,1840.22314453,2007-12-24,2008-01-12
15,Lyon,FRA,1,1832.49572754,2007-12-30,2008-01-12
16,Everton,ENG,1,1822.5982666,2007-12-30,2008-01-01
17,Bayern,GER,1,1816.15368652,2007-12-22,2008-01-12
18,Porto,POR,1,1812.39465332,2007-12-22,2008-01-06
19,Werder,GER,1,1800.3371582,2007-12-21,2008-01-21
20,Getafe,ESP,1,1790.39538574,2007-12-23,2008-01-01
21,Valencia,ESP,1,1788.9083252,2007-12-23,2008-01-01
22,Aston Villa,ENG,1,1784.43920898,2007-12-30,2008-01-01
23,Osasuna,ESP,1,1778.85241699,2007-12-24,2008-01-01
24,Zaragoza,ESP,1,1777.75109863,2007-12-30,2008-01-01
25,Fiorentina,ITA,1,1776.46166992,2007-12-30,2008-01-01
26,Tottenham,ENG,1,1774.30187988,2007-12-30,2008-01-01
27,Schalke,GER,1,1771.37463379,2007-12-24,2008-01-06
28,Santander,ESP,1,1770.52832031,2007-12-24,2008-01-06
29,Portsmouth,ENG,1,1770.47216797,2007-12-30,2008-01-01
30,Recreativo,ESP,1,1769.87268066,2007-12-30,2008-01-01
31,Hamburg,GER,1,1760.00952148,2007-12-27,2008-01-13
32,Leverkusen,GER,1,1758.04504395,2007-12-24,2008-01-13
33,Mallorca,ESP,1,1757.9621582,2007-12-24,2008-01-05
34,Benfica,POR,1,1757.79943848,2007-12-20,2008-01-05
35,Olympiakos,GRE,1,1747.40112305,2007-12-30,2008-01-02
36,Bilbao,ESP,1,1740.63757324,2007-12-24,2008-01-02
37,Man City,ENG,1,1740.48803711,2007-12-31,2008-01-02
38,Sporting,POR,1,1739.61706543,2007-12-31,2008-01-02
39,Blackburn,ENG,1,1736.78967285,2007-12-31,2008-01-02
40,Fenerbahce,TUR,1,1735.91723633,2007-12-31,2008-01-05
41,Depor,ESP,1,1729.76525879,2007-12-24,2008-01-05
42,Betis,ESP,1,1727.60107422,2007-12-24,2008-01-05
43,West Ham,ENG,1,1722.50524902,2007-12-30,2008-01-01
44,Bordeaux,FRA,1,1722.24072266,2007-12-30,2008-01-01
45,Valladolid,ESP,1,1716.21899414,2007-12-30,2008-01-06
46,Stuttgart,GER,1,1706.53588867,2007-12-27,2008-01-13
47,Lazio,ITA,1,1706.08117676,2007-12-27,2008-01-13
48,Newcastle,ENG,1,1702.9588623,2007-12-30,2008-01-02
49,PSV,NED,1,1698.47351074,2007-12-31,2008-01-02
50,Reading,ENG,1,1696.47277832,2007-12-31,2008-01-01
51,Sociedad,ESP,2,1693.52490234,2007-12-30,2008-01-01
52,Almeria,ESP,1,1693.07873535,2007-12-30,2008-01-01
53,Celta,ESP,2,1692.85925293,2007-12-30,2008-01-01
54,Bolton,ENG,1,1691.74389648,2007-12-30,2008-01-01
55,Marseille,FRA,1,1689.77709961,2007-12-24,2008-01-01
56,AEK,GRE,1,1683.28991699,2007-12-31,2008-01-06
57,Palermo,ITA,1,1683.10205078,2007-12-31,2008-01-12
58,Nancy,FRA,1,1681.78161621,2007-12-31,2008-01-12
59,Murcia,ESP,1,1679.73266602,2007-12-24,2008-01-06
60,Basel,SUI,1,1679.43103027,2007-12-24,2008-01-06
61,Middlesbrough,ENG,1,1677.16711426,2007-12-30,2008-01-01
62,Panathinaikos,GRE,1,1674.66174316,2007-12-31,2008-01-01
63,Nice,FRA,1,1672.01696777,2007-12-31,2008-01-01
64,Zenit,RUS,1,1671.08581543,2007-12-31,2008-01-01
65,Monaco,FRA,1,1670.2442627,2007-12-31,2008-01-01
66,Numancia,ESP,2,1665.03369141,2007-12-30,2008-01-05
67,Udinese,ITA,1,1663.04467773,2007-12-24,2008-01-05
68,Rangers,SCO,1,1662.71679688,2007-12-30,2008-01-05
69,Spartak Moskva,RUS,1,1661.50378418,2007-12-30,2008-01-05
70,Atalanta,ITA,1,1659.21081543,2007-12-30,2008-01-05
71,Le Mans,FRA,1,1657.58642578,2007-12-27,2008-01-05
72,Malaga,ESP,2,1656.70458984,2007-12-27,2008-01-05
73,Galatasaray,TUR,1,1652.81140137,2007-12-24,2008-01-12
74,Caen,FRA,1,1651.72570801,2007-12-24,2008-01-12
