	DATE	WEEKDAY	MONTH	SEASON	MATCHDAY_x	HOME_TEAM	PLACE_HOME_TEAM	AWAY_TEAM	PLACE_AWAY_TEAM	WIN_PERC_HOME	REMIS_PERC	WIN_PERC_AWAY	HOME_GOALS	AWAY_GOALS	RESULT	REFEREE	WEATHER_STATION	MIN_TEMP_C	MAX_TEMP_C	SNOW_HEIGHT_cm	RAIN_l/m2	SUNSHINE_DURATION_h	MATCHDAY_y
0	1963-08-24	5	8	1963	1	Hertha BSC	14	1.FC Nürnberg	9				1.0	1.0	DRAW	Rolf Seekamp							
1	1963-08-24	5	8	1963	1	Werder Bremen	10	Bor. Dortmund	4				3.0	2.0	HOME_WIN	Alfred Ott							
2	1963-08-24	5	8	1963	1	E. Frankfurt	2	1.FC K'lautern	12				1.0	1.0	DRAW	Johannes Malka							
3	1963-08-24	5	8	1963	1	Karlsruher SC	13	Meidericher SV	3				1.0	4.0	AWAY_WIN	Walter Zimmermann							
4	1963-08-24	5	8	1963	1	1860 München	7	E. Braunschweig	11				1.0	1.0	DRAW	Helmut Fritz							
5	1963-08-24	5	8	1963	1	Pr. Münster	15	Hamburger SV	6				1.0	1.0	DRAW	Kurt Tschenscher							
6	1963-08-24	5	8	1963	1	Saarbrücken	16	1.FC Köln	1				0.0	2.0	AWAY_WIN	Rudolf Kreitlein							
7	1963-08-24	5	8	1963	1	FC Schalke 04	8	VfB Stuttgart	5				2.0	0.0	HOME_WIN	Gerhard Schulenburg							
8	1963-08-31	5	8	1963	2	VfB Stuttgart	15	Hertha BSC	10				2.0	0.0	HOME_WIN	Fritz Schörnich							
9	1963-08-31	5	8	1963	2	Hamburger SV	9	Saarbrücken	14				4.0	2.0	HOME_WIN	Günther Baumgärtl							
10	1963-08-31	5	8	1963	2	1.FC K'lautern	5	FC Schalke 04	3				2.0	3.0	AWAY_WIN	Karl Riegg							
11	1963-08-31	5	8	1963	2	1.FC Nürnberg	6	Werder Bremen	4				3.0	0.0	HOME_WIN	Horst Mathieu							
12	1963-08-31	5	8	1963	2	E. Braunschweig	7	Pr. Münster	12				1.0	0.0	HOME_WIN	Günter Sparing							
13	1963-08-31	5	8	1963	2	Bor. Dortmund	13	1860 München	11				3.0	3.0	DRAW	Edgar Deuschel							
14	1963-08-31	5	8	1963	2	1.FC Köln	2	Karlsruher SC	16				4.0	0.0	HOME_WIN	Werner Treichel							
15	1963-08-31	5	8	1963	2	Meidericher SV	1	E. Frankfurt	8				3.0	1.0	HOME_WIN	Werner Spiewak							
16	1963-09-07	5	9	1963	3	1860 München	7	1.FC Köln	1				1.0	3.0	AWAY_WIN	Herbert Lutz							
17	1963-09-07	5	9	1963	3	Pr. Münster	12	Meidericher SV	2				4.0	2.0	HOME_WIN	Karl Niemeyer							
18	1963-09-07	5	9	1963	3	E. Frankfurt	13	1.FC Nürnberg	4				2.0	3.0	AWAY_WIN	Kurt Handwerker							
19	1963-09-07	5	9	1963	3	FC Schalke 04	3	Bor. Dortmund	10				3.0	1.0	HOME_WIN	Helmut Fritz							
20	1963-09-07	5	9	1963	3	Werder Bremen	9	VfB Stuttgart	8				2.0	2.0	DRAW	Günther Baumgärtl							
21	1963-09-07	5	9	1963	3	Karlsruher SC	16	Hamburger SV	5				0.0	4.0	AWAY_WIN	Johannes Malka							
22	1963-09-07	5	9	1963	3	Saarbrücken	15	E. Braunschweig	6				2.0	2.0	DRAW	Josef Kandlbinder							
23	1963-09-07	5	9	1963	3	Hertha BSC	14	1.FC K'lautern	11				2.0	2.0	DRAW	Walter Zimmermann							
24	1963-09-14	5	9	1963	4	1.FC Köln	1	FC Schalke 04	2				2.0	2.0	DRAW	Fritz Schömich							
25	1963-09-14	5	9	1963	4	E. Braunschweig	6	Karlsruher SC	16				2.0	0.0	HOME_WIN	Willi Thier							
26	1963-09-14	5	9	1963	4	Meidericher SV	5	Hertha BSC	12				1.0	3.0	AWAY_WIN	Edgar Deuschel							
27	1963-09-14	5	9	1963	4	Hamburger SV	3	E. Frankfurt	14				3.0	0.0	HOME_WIN	Hans-Joachim Weyland							
28	1963-09-14	5	9	1963	4	1.FC K'lautern	10	Werder Bremen	9				3.0	0.0	HOME_WIN	Rudolf Kreitlein							
29	1963-09-14	5	9	1963	4	Bor. Dortmund	13	Saarbrücken	15				2.0	1.0	HOME_WIN	Günter Sparing							
30	1963-09-14	5	9	1963	4	1.FC Nürnberg	4	Pr. Münster	7				2.0	2.0	DRAW	Gerhard Schulenburg							
